,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,song,reached,number,reach,song number,4027
1,song,reached,number,reach,song number,4027
2,song,reached,number,reach,song number,4027
3,song,reached,number,reach,song number,4027
4,song,reached,number,reach,song number,4027
5,song,reached,number,reach,song number,4027
6,song,reached,number,reach,song number,4027
7,song,reached,number,reach,song number,4027
8,song,reached,number,reach,song number,4027
9,song,reached,number,reach,song number,4027
10,song,reached,number,reach,song number,4027
11,song,reached,number,reach,song number,4027
12,song,reached,number,reach,song number,4027
13,song,reached,number,reach,song number,4027
14,song,reaching,number,reach,song number,4027
15,song,reached,number,reach,song number,4027
16,song,reached,number,reach,song number,4027
17,song,reached,number,reach,song number,4027
18,song,reached,number,reach,song number,4027
19,song,reached,number,reach,song number,4027
20,song,reached,number,reach,song number,4027
21,song,reached,number,reach,song number,4027
22,song,reached,number,reach,song number,4027
23,song,reached,number,reach,song number,4027
24,song,reached,number,reach,song number,4027
25,song,reached,number,reach,song number,4027
26,song,reached,number,reach,song number,4027
27,song,reached,number,reach,song number,4027
28,song,reached,number,reach,song number,4027
29,song,reached,number,reach,song number,4027
30,song,reached,number,reach,song number,4027
31,song,reached,number,reach,song number,4027
32,song,reached,number,reach,song number,4027
33,song,reached,number,reach,song number,4027
34,song,reached,number,reach,song number,4027
35,song,reached,number,reach,song number,4027
36,song,reached,number,reach,song number,4027
37,song,reached,number,reach,song number,4027
38,song,reached,number,reach,song number,4027
39,song,reached,number,reach,song number,4027
40,song,reached,number,reach,song number,4027
41,song,reached,number,reach,song number,4027
42,song,reached,number,reach,song number,4027
43,song,reached,number,reach,song number,4027
44,song,reached,number,reach,song number,4027
45,song,reached,number,reach,song number,4027
46,song,reached,number,reach,song number,4027
47,song,reached,number,reach,song number,4027
48,song,reached,number,reach,song number,4027
49,song,reached,number,reach,song number,4027
50,song,reached,number,reach,song number,4027
51,song,reached,number,reach,song number,4027
52,song,reached,number,reach,song number,4027
53,song,reached,number,reach,song number,4027
54,song,reached,number,reach,song number,4027
55,song,reached,number,reach,song number,4027
56,song,reached,number,reach,song number,4027
57,song,reached,number,reach,song number,4027
58,song,reached,number,reach,song number,4027
59,song,reached,number,reach,song number,4027
60,song,reached,number,reach,song number,4027
61,song,reached,number,reach,song number,4027
62,song,reached,number,reach,song number,4027
63,song,reached,number,reach,song number,4027
64,song,reached,number,reach,song number,4027
65,song,reached,number,reach,song number,4027
66,song,reached,number,reach,song number,4027
67,song,reached,number,reach,song number,4027
68,song,reached,number,reach,song number,4027
69,song,reached,number,reach,song number,4027
70,song,reached,number,reach,song number,4027
71,song,reached,number,reach,song number,4027
72,song,reached,number,reach,song number,4027
73,song,reached,number,reach,song number,4027
74,song,reached,number,reach,song number,4027
75,song,reached,number,reach,song number,4027
76,song,reached,number,reach,song number,4027
77,song,reached,number,reach,song number,4027
78,song,reached,number,reach,song number,4027
79,song,reached,number,reach,song number,4027
80,song,reached,number,reach,song number,4027
81,song,reached,number,reach,song number,4027
82,song,reached,number,reach,song number,4027
83,song,reached,number,reach,song number,4027
84,song,reached,number,reach,song number,4027
85,song,reached,number,reach,song number,4027
86,song,reached,number,reach,song number,4027
87,song,reached,number,reach,song number,4027
88,song,reached,number,reach,song number,4027
89,song,reached,number,reach,song number,4027
90,song,reached,number,reach,song number,4027
91,song,reached,number,reach,song number,4027
92,song,reached,number,reach,song number,4027
93,song,reached,number,reach,song number,4027
94,song,reached,number,reach,song number,4027
