,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,people,react,way,react,people way,4
1,people,react,way,react,people way,4
2,people,react,way,react,people way,4
3,people,react,way,react,people way,4
4,intermediates,react,exception,react,intermediates exception,2
5,lawmakers,reacted,government,react,lawmakers government,2
6,acids,react,bonds,react,acids bonds,2
7,intermediates,react,exception,react,intermediates exception,2
8,schools,react,hearing,react,schools hearing,2
9,toxins,react,hydrazone,react,toxins hydrazone,2
10,schools,react,hearing,react,schools hearing,2
11,lawmakers,reacted,government,react,lawmakers government,2
12,government,reacted,credits,react,government credits,2
13,crowd,reacted,bottle,react,crowd bottle,2
14,government,reacted,credits,react,government credits,2
15,acids,react,bonds,react,acids bonds,2
16,crowd,reacted,bottle,react,crowd bottle,2
17,toxins,react,hydrazone,react,toxins hydrazone,2
18,mantis,reacted,ideas,react,mantis ideas,1
19,rules,react,set,react,rules set,1
20,snake,reacts,type,react,snake type,1
21,carbon,reacted,iron,react,carbon iron,1
22,countries,reacted,government,react,countries government,1
23,dog,reacted,one,react,dog one,1
24,people,reacted,stories,react,people stories,1
25,crowd,reacting,lyrics,react,crowd lyrics,1
26,company,reacted,development,react,company development,1
27,organizations,reacted,petition,react,organizations petition,1
28,crowd,reacted,rallies,react,crowd rallies,1
29,plans,react,way,react,plans way,1
30,providers,reacted,calls,react,providers calls,1
31,carbon,react,residues,react,carbon residues,1
32,team,reacted,season,react,team season,1
33,enemies,react,weapon,react,enemies weapon,1
34,tribe,reacted,leadership,react,tribe leadership,1
35,government,reacted,plan,react,government plan,1
36,institution,reacts,infrastructure,react,institution infrastructure,1
37,teammate,reacted,alcohol,react,teammate alcohol,1
38,security,reacted,assassins,react,security assassins,1
39,program,react,emphasis,react,program emphasis,1
40,ooze,react,fluids,react,ooze fluids,1
41,audience,reacted,sequel,react,audience sequel,1
42,ketenes,react,reaction,react,ketenes reaction,1
43,authorities,reacted,army,react,authorities army,1
44,elements,react,compounds,react,elements compounds,1
45,population,reacted,place,react,population place,1
46,mother,reacted,work,react,mother work,1
47,locals,reacted,control,react,locals control,1
48,people,react,act,react,people act,1
49,children,react,children,react,children children,1
50,chicken,reacted,pose,react,chicken pose,1
51,artifacts,react,immersion,react,artifacts immersion,1
52,patients,reacted,set,react,patients set,1
53,species,reacted,selections,react,species selections,1
54,all,reacted,refrain,react,all refrain,1
55,contenders,reacted,lap,react,contenders lap,1
56,chromium,reacts,vacuum,react,chromium vacuum,1
57,councilman,reacted,crew,react,councilman crew,1
58,crowd,reacted,bat,react,crowd bat,1
59,supporters,reacted,return,react,supporters return,1
60,doll,reacts,ability,react,doll ability,1
61,fish,react,way,react,fish way,1
62,detachment,reacted,city,react,detachment city,1
63,bishops,reacted,accusation,react,bishops accusation,1
64,pilots,reacted,ground,react,pilots ground,1
65,resellers,reacted,effect,react,resellers effect,1
66,world,reacted,speech,react,world speech,1
67,oxidizers,react,gel,react,oxidizers gel,1
68,selectors,reacted,pack,react,selectors pack,1
69,government,reacted,guards,react,government guards,1
70,reagents,react,spectra,react,reagents spectra,1
71,pollutants,react,outcomes,react,pollutants outcomes,1
