,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,pause,ready,searchlights,ready,pause searchlights,2
1,pause,ready,searchlights,ready,pause searchlights,2
2,one,readies,shot,ready,one shot,1
3,action,readies,pistol,ready,action pistol,1
4,crew,readies,ship,ready,crew ship,1
5,soldier,ready,weapon,ready,soldier weapon,1
6,most,readying,ship,ready,most ship,1
7,inventor,readies,spell,ready,inventor spell,1
8,ship,readies,solemnity,ready,ship solemnity,1
9,crew,ready,lifeboats,ready,crew lifeboats,1
10,larva,readies,pit,ready,larva pit,1
11,months,ready,facility,ready,months facility,1
12,ensemble,readies,performances,ready,ensemble performances,1
13,bear,readies,strike,ready,bear strike,1
14,sinkhole,readies,blade,ready,sinkhole blade,1
15,network,readies,brain,ready,network brain,1
16,forces,readying,assault,ready,forces assault,1
