,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,seats,rotate,length,rotate,seats length,12
1,seats,rotate,length,rotate,seats length,12
2,seats,rotate,length,rotate,seats length,12
3,seats,rotate,length,rotate,seats length,12
4,seats,rotate,length,rotate,seats length,12
5,seats,rotate,length,rotate,seats length,12
6,seats,rotate,length,rotate,seats length,12
7,seats,rotate,length,rotate,seats length,12
8,seats,rotate,length,rotate,seats length,12
9,seats,rotate,length,rotate,seats length,12
10,seats,rotate,length,rotate,seats length,12
11,seats,rotate,length,rotate,seats length,12
12,head,rotates,degrees,rotate,head degrees,5
13,ship,rotated,duty,rotate,ship duty,5
14,ship,rotated,duty,rotate,ship duty,5
15,head,rotated,degrees,rotate,head degrees,5
16,train,rotate,degrees,rotate,train degrees,5
17,train,rotating,degrees,rotate,train degrees,5
18,one,rotated,degrees,rotate,one degrees,5
19,deal,rotates,clockwise,rotate,deal clockwise,5
20,deal,rotates,clockwise,rotate,deal clockwise,5
21,ship,rotated,duty,rotate,ship duty,5
22,deal,rotates,clockwise,rotate,deal clockwise,5
23,train,rotates,degrees,rotate,train degrees,5
24,train,rotates,degrees,rotate,train degrees,5
25,deal,rotates,clockwise,rotate,deal clockwise,5
26,train,rotating,degrees,rotate,train degrees,5
27,ship,rotated,duty,rotate,ship duty,5
28,one,rotated,degrees,rotate,one degrees,5
29,ship,rotated,duty,rotate,ship duty,5
30,deal,rotates,clockwise,rotate,deal clockwise,5
31,one,rotates,degrees,rotate,one degrees,5
32,head,rotates,degrees,rotate,head degrees,5
33,one,rotated,degrees,rotate,one degrees,5
34,head,rotates,degrees,rotate,head degrees,5
35,one,rotated,degrees,rotate,one degrees,5
36,head,rotated,degrees,rotate,head degrees,5
37,player,rotate,camera,rotate,player camera,4
38,player,rotate,camera,rotate,player camera,4
39,boxer,rotates,hips,rotate,boxer hips,4
40,pair,rotated,turret,rotate,pair turret,4
41,pair,rotated,turret,rotate,pair turret,4
42,boxer,rotates,hips,rotate,boxer hips,4
43,members,rotated,position,rotate,members position,4
44,players,rotate,positions,rotate,players positions,4
45,player,rotate,camera,rotate,player camera,4
46,players,rotate,positions,rotate,players positions,4
47,player,rotating,camera,rotate,player camera,4
48,players,rotate,positions,rotate,players positions,4
49,members,rotated,position,rotate,members position,4
50,boxer,rotated,hips,rotate,boxer hips,4
51,members,rotated,position,rotate,members position,4
52,pair,rotated,turret,rotate,pair turret,4
53,members,rotated,position,rotate,members position,4
54,thrower,rotates,throwee,rotate,thrower throwee,4
55,thrower,rotates,throwee,rotate,thrower throwee,4
56,players,rotate,positions,rotate,players positions,4
57,pair,rotated,turret,rotate,pair turret,4
58,boxer,rotates,hips,rotate,boxer hips,4
59,thrower,rotates,throwee,rotate,thrower throwee,4
60,thrower,rotates,throwee,rotate,thrower throwee,4
61,five,rotating,blades,rotate,five blades,3
62,board,rotates,degrees,rotate,board degrees,3
63,wings,rotated,degrees,rotate,wings degrees,3
64,propeller,rotated,clockwise,rotate,propeller clockwise,3
65,house,rotated,degrees,rotate,house degrees,3
66,temperatures,rotate,blades,rotate,temperatures blades,3
67,temperatures,rotate,blades,rotate,temperatures blades,3
68,propeller,rotated,clockwise,rotate,propeller clockwise,3
69,propeller,rotated,clockwise,rotate,propeller clockwise,3
70,house,rotated,degrees,rotate,house degrees,3
71,temperatures,rotate,blades,rotate,temperatures blades,3
72,wings,rotated,degrees,rotate,wings degrees,3
73,ride,rotates,clockwise,rotate,ride clockwise,3
74,pilot,rotates,aircraft,rotate,pilot aircraft,3
75,league,rotated,broadcast,rotate,league broadcast,3
76,wings,rotated,degrees,rotate,wings degrees,3
77,branches,rotated,kingship,rotate,branches kingship,3
78,branches,rotated,kingship,rotate,branches kingship,3
79,branches,rotated,kingship,rotate,branches kingship,3
80,solution,rotates,plane,rotate,solution plane,3
81,solution,rotated,plane,rotate,solution plane,3
82,user,rotated,dial,rotate,user dial,3
83,league,rotated,broadcast,rotate,league broadcast,3
84,pilot,rotated,aircraft,rotate,pilot aircraft,3
85,presidency,rotating,months,rotate,presidency months,3
86,board,rotates,degrees,rotate,board degrees,3
87,presidency,rotated,months,rotate,presidency months,3
88,pilot,rotated,aircraft,rotate,pilot aircraft,3
89,five,rotating,blades,rotate,five blades,3
90,league,rotated,broadcast,rotate,league broadcast,3
91,solution,rotates,plane,rotate,solution plane,3
92,user,rotates,dial,rotate,user dial,3
93,ride,rotated,clockwise,rotate,ride clockwise,3
94,house,rotated,degrees,rotate,house degrees,3
95,presidency,rotating,months,rotate,presidency months,3
96,board,rotates,degrees,rotate,board degrees,3
97,ride,rotates,clockwise,rotate,ride clockwise,3
98,user,rotated,dial,rotate,user dial,3
99,five,rotating,blades,rotate,five blades,3
100,swastika,rotated,degrees,rotate,swastika degrees,2
101,system,rotated,display,rotate,system display,2
102,image,rotated,degrees,rotate,image degrees,2
103,operator,rotates,antenna,rotate,operator antenna,2
104,women,rotate,hands,rotate,women hands,2
105,players,rotate,position,rotate,players position,2
106,equator,rotated,precession,rotate,equator precession,2
107,core,rotates,degrees,rotate,core degrees,2
108,motor,rotated,mirror,rotate,motor mirror,2
109,image,rotated,degrees,rotate,image degrees,2
110,mandibles,rotated,inwards,rotate,mandibles inwards,2
111,ring,rotated,clockwise,rotate,ring clockwise,2
112,building,rotated,degrees,rotate,building degrees,2
113,wing,rotated,squadrons,rotate,wing squadrons,2
114,one,rotates,direction,rotate,one direction,2
115,camera,rotated,degrees,rotate,camera degrees,2
116,player,rotate,pieces,rotate,player pieces,2
117,one,rotates,direction,rotate,one direction,2
118,men,rotated,presidency,rotate,men presidency,2
119,fist,rotates,degrees,rotate,fist degrees,2
120,skateboarder,rotates,board,rotate,skateboarder board,2
121,players,rotate,position,rotate,players position,2
