,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,pedestrians,scramble,way,scramble,pedestrians way,3
1,pedestrians,scramble,way,scramble,pedestrians way,3
2,pedestrians,scramble,way,scramble,pedestrians way,3
3,lightning,scrambled,components,scramble,lightning components,1
4,majority,scrambled,organization,scramble,majority organization,1
5,rotors,scramble,wiring,scramble,rotors wiring,1
6,wave,scramble,ledge,scramble,wave ledge,1
7,men,scrambled,rise,scramble,men rise,1
8,military,scrambled,forces,scramble,military forces,1
9,station,scrambled,signal,scramble,station signal,1
10,system,scrambles,picture,scramble,system picture,1
11,people,scramble,offerings,scramble,people offerings,1
12,underground,scrambled,records,scramble,underground records,1
13,sensors,scrambled,cloud,scramble,sensors cloud,1
14,none,scrambles,cliché,scramble,none cliché,1
15,contestants,scramble,rope,scramble,contestants rope,1
16,team,scrambled,car,scramble,team car,1
17,men,scrambled,ladder,scramble,men ladder,1
18,start,scramble,waterfall,scramble,start waterfall,1
19,company,scrambled,signals,scramble,company signals,1
20,nation,scrambled,arm,scramble,nation arm,1
21,batsmen,scrambled,bye,scramble,batsmen bye,1
22,nationalists,scrambled,forces,scramble,nationalists forces,1
23,grenadiers,scrambled,slope,scramble,grenadiers slope,1
24,men,scrambled,flank,scramble,men flank,1
25,route,scramble,east,scramble,route east,1
26,passengers,scrambled,bank,scramble,passengers bank,1
27,isotope,scrambling,results,scramble,isotope results,1
28,escapees,scrambled,refuge,scramble,escapees refuge,1
29,father,scrambled,path,scramble,father path,1
30,minutes,scrambled,equaliser,scramble,minutes equaliser,1
31,enemies,scramble,data,scramble,enemies data,1
32,battalion,scrambled,slopes,scramble,battalion slopes,1
33,sides,scrambled,aircraft,scramble,sides aircraft,1
34,motocross,scrambling,action,scramble,motocross action,1
35,youths,scramble,pole,scramble,youths pole,1
36,everyone,scrambled,box,scramble,everyone box,1
37,sailors,scrambled,hand,scramble,sailors hand,1
38,crew,scrambled,captain,scramble,crew captain,1
39,defeat,scrambled,brain,scramble,defeat brain,1
40,wing,scrambled,aircraft,scramble,wing aircraft,1
41,crew,scrambled,ropes,scramble,crew ropes,1
42,children,scramble,woman,scramble,children woman,1
43,pass,scrambled,yards,scramble,pass yards,1
44,field,scrambling,way,scramble,field way,1
45,aircraft,scramble,positions,scramble,aircraft positions,1
46,police,scrambled,troops,scramble,police troops,1
47,shock,scrambled,memories,scramble,shock memories,1
48,bear,scrambling,tree,scramble,bear tree,1
49,fireman,scrambles,ladder,scramble,fireman ladder,1
50,scramble,scrambling,grade,scramble,scramble grade,1
51,eggs,scrambled,flavor,scramble,eggs flavor,1
52,candidacy,scrambled,loyalties,scramble,candidacy loyalties,1
53,filmmakers,scrambled,funds,scramble,filmmakers funds,1
54,one,scrambles,crest,scramble,one crest,1
55,residents,scrambled,windows,scramble,residents windows,1
56,crews,scrambled,beach,scramble,crews beach,1
57,authorities,scrambled,jets,scramble,authorities jets,1
58,brain,scrambled,thing,scramble,brain thing,1
59,crewmen,scrambled,crew,scramble,crewmen crew,1
