,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,press,screamed,editorial,scream,press editorial,3
1,press,screamed,editorial,scream,press editorial,3
2,press,screamed,editorial,scream,press editorial,3
3,idiom,scream,murder,scream,idiom murder,2
4,rappers,scream,lyrics,scream,rappers lyrics,2
5,elephant,screamed,fear,scream,elephant fear,2
6,elephant,screamed,fear,scream,elephant fear,2
7,mermaid,screams,song,scream,mermaid song,2
8,mermaid,screams,song,scream,mermaid song,2
9,actors,screaming,lines,scream,actors lines,2
10,crowd,screamed,name,scream,crowd name,2
11,crowd,screamed,name,scream,crowd name,2
12,rappers,scream,lyrics,scream,rappers lyrics,2
13,idiom,scream,murder,scream,idiom murder,2
14,actors,screaming,lines,scream,actors lines,2
15,girl,screams,hand,scream,girl hand,1
16,fans,screaming,name,scream,fans name,1
17,people,scream,tour,scream,people tour,1
18,sisters,screamed,court,scream,sisters court,1
19,crew,screaming,chorus,scream,crew chorus,1
20,track,screams,work,scream,track work,1
21,one,screamed,image,scream,one image,1
22,legit,screaming,screaming,scream,legit screaming,1
23,crowd,screaming,pick,scream,crowd pick,1
24,song,screamed,cover,scream,song cover,1
25,kids,screaming,voices,scream,kids voices,1
26,head,screaming,stream,scream,head stream,1
27,prisoners,screamed,exhortations,scream,prisoners exhortations,1
28,scene,screaming,pairing,scream,scene pairing,1
29,author,scream,great,scream,author great,1
30,wife,screamed,crowd,scream,wife crowd,1
31,crowd,screams,witch,scream,crowd witch,1
32,reporter,screams,forehead,scream,reporter forehead,1
33,nature,screams,presence,scream,nature presence,1
34,idea,screams,books,scream,idea books,1
35,caller,screamed,telephone,scream,caller telephone,1
36,wind,screamed,husbands,scream,wind husbands,1
37,child,screams,cries,scream,child cries,1
38,book,screams,genius,scream,book genius,1
39,second,screams,statement,scream,second statement,1
40,gulls,screaming,clothes,scream,gulls clothes,1
41,doppelgänger,screams,ent,scream,doppelgänger ent,1
42,crowds,screamed,objects,scream,crowds objects,1
43,website,screams,luxury,scream,website luxury,1
44,witch,screams,mountains,scream,witch mountains,1
45,man,screamed,gun,scream,man gun,1
46,tapes,scream,amplifiers,scream,tapes amplifiers,1
47,women,screamed,clubs,scream,women clubs,1
48,fit,screams,confidence,scream,fit confidence,1
49,passenger,screams,interview,scream,passenger interview,1
50,audience,screamed,name,scream,audience name,1
51,crowd,screams,time,scream,crowd time,1
52,orchestra,screams,thing,scream,orchestra thing,1
53,fans,scream,block,scream,fans block,1
54,song,screams,summer,scream,song summer,1
55,announcer,screams,head,scream,announcer head,1
56,scene,screaming,word,scream,scene word,1
57,mother,screams,blood,scream,mother blood,1
58,film,screams,life,scream,film life,1
59,man,screams,children,scream,man children,1
60,actors,screaming,contestant,scream,actors contestant,1
61,message,scream,words,scream,message words,1
62,attacker,screamed,veil,scream,attacker veil,1
63,man,screams,husband,scream,man husband,1
64,vocals,screamed,pitches,scream,vocals pitches,1
65,kids,screaming,kids,scream,kids kids,1
66,woman,screaming,argument,scream,woman argument,1
67,psychologist,screams,word,scream,psychologist word,1
68,waiter,screams,order,scream,waiter order,1
69,victim,screamed,beaches,scream,victim beaches,1
70,audience,scream,approval,scream,audience approval,1
71,woman,screaming,vulture,scream,woman vulture,1
72,women,screaming,description,scream,women description,1
73,edit,screams,odds,scream,edit odds,1
74,bones,screaming,soundtrack,scream,bones soundtrack,1
75,artists,scream,aughts,scream,artists aughts,1
76,participants,screamed,obscenities,scream,participants obscenities,1
77,thousands,screamed,phrases,scream,thousands phrases,1
78,survivors,screaming,verge,scream,survivors verge,1
79,voice,screaming,name,scream,voice name,1
80,everything,screamed,horror,scream,everything horror,1
81,ladies,scream,camels,scream,ladies camels,1
82,player,scream,string,scream,player string,1
83,referee,screamed,foul,scream,referee foul,1
84,film,screams,job,scream,film job,1
85,virtuosity,screams,existence,scream,virtuosity existence,1
86,mobs,screaming,slurs,scream,mobs slurs,1
87,everything,screams,madness,scream,everything madness,1
88,cast,screaming,phrase,scream,cast phrase,1
89,half,screaming,task,scream,half task,1
90,one,screams,form,scream,one form,1
91,expression,scream,murder,scream,expression murder,1
92,man,screams,desolation,scream,man desolation,1
93,bachelors,screaming,brides,scream,bachelors brides,1
94,thanks,screams,hours,scream,thanks hours,1
95,cries,screams,horses,scream,cries horses,1
96,pickets,screaming,yell,scream,pickets yell,1
97,suspect,screamed,suicide,scream,suspect suicide,1
98,grandmother,screams,consciousness,scream,grandmother consciousness,1
99,people,screaming,energy,scream,people energy,1
100,scenes,scream,truth,scream,scenes truth,1
101,people,screaming,book,scream,people book,1
102,women,screaming,name,scream,women name,1
103,commies,scream,excerpt,scream,commies excerpt,1
104,scenes,scream,made,scream,scenes made,1
105,everything,screams,quality,scream,everything quality,1
106,fans,screaming,obscenities,scream,fans obscenities,1
107,hearing,screams,emanating,scream,hearing emanating,1
108,orangutans,scream,warnings,scream,orangutans warnings,1
109,fans,screaming,stage,scream,fans stage,1
110,woman,screamed,name,scream,woman name,1
111,characters,screams,orders,scream,characters orders,1
112,nurse,screamed,commotion,scream,nurse commotion,1
113,trumpeter,screams,routine,scream,trumpeter routine,1
114,adrenaline,screams,kind,scream,adrenaline kind,1
115,falsetto,screams,candor,scream,falsetto candor,1
116,fans,scream,declarations,scream,fans declarations,1
117,vocalist,screaming,chairs,scream,vocalist chairs,1
118,girls,screamed,corpse,scream,girls corpse,1
119,woman,screams,concern,scream,woman concern,1
120,children,screamed,crowd,scream,children crowd,1
121,members,screaming,phrase,scream,members phrase,1
122,buses,screaming,banshees,scream,buses banshees,1
123,voice,screams,warning,scream,voice warning,1
124,hundreds,screaming,thrones,scream,hundreds thrones,1
