,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,church,seats,people,seat,church people,1052
1,church,seats,people,seat,church people,1052
2,church,seats,people,seat,church people,1052
3,church,seats,people,seat,church people,1052
4,church,seats,people,seat,church people,1052
5,church,seats,people,seat,church people,1052
6,church,seats,people,seat,church people,1052
7,church,seats,people,seat,church people,1052
8,church,seats,people,seat,church people,1052
9,church,seats,people,seat,church people,1052
10,church,seats,people,seat,church people,1052
11,church,seats,people,seat,church people,1052
12,church,seats,people,seat,church people,1052
13,church,seats,people,seat,church people,1052
14,church,seats,people,seat,church people,1052
15,church,seats,people,seat,church people,1052
16,church,seated,people,seat,church people,1052
17,church,seats,people,seat,church people,1052
18,church,seats,people,seat,church people,1052
19,church,seats,people,seat,church people,1052
20,church,seats,people,seat,church people,1052
21,church,seats,people,seat,church people,1052
22,church,seats,people,seat,church people,1052
23,church,seats,people,seat,church people,1052
24,church,seats,people,seat,church people,1052
25,church,seats,people,seat,church people,1052
26,church,seats,people,seat,church people,1052
27,church,seats,people,seat,church people,1052
28,church,seats,people,seat,church people,1052
29,church,seats,people,seat,church people,1052
30,church,seats,people,seat,church people,1052
31,church,seats,people,seat,church people,1052
32,church,seats,people,seat,church people,1052
33,church,seats,people,seat,church people,1052
34,church,seats,people,seat,church people,1052
35,church,seats,people,seat,church people,1052
36,church,seats,people,seat,church people,1052
37,church,seats,people,seat,church people,1052
38,church,seats,people,seat,church people,1052
39,church,seats,people,seat,church people,1052
40,church,seats,people,seat,church people,1052
41,church,seats,people,seat,church people,1052
42,church,seats,people,seat,church people,1052
43,church,seats,people,seat,church people,1052
44,church,seats,people,seat,church people,1052
45,church,seats,people,seat,church people,1052
46,church,seats,people,seat,church people,1052
47,church,seats,people,seat,church people,1052
48,church,seats,people,seat,church people,1052
49,church,seats,people,seat,church people,1052
50,church,seats,people,seat,church people,1052
51,church,seats,people,seat,church people,1052
52,church,seats,people,seat,church people,1052
53,church,seats,people,seat,church people,1052
54,church,seats,people,seat,church people,1052
55,church,seats,people,seat,church people,1052
56,church,seats,people,seat,church people,1052
57,church,seats,people,seat,church people,1052
58,church,seats,people,seat,church people,1052
59,church,seats,people,seat,church people,1052
60,church,seats,people,seat,church people,1052
61,church,seats,people,seat,church people,1052
62,church,seats,people,seat,church people,1052
63,church,seats,people,seat,church people,1052
64,church,seats,people,seat,church people,1052
65,church,seats,people,seat,church people,1052
66,church,seats,people,seat,church people,1052
67,church,seats,people,seat,church people,1052
68,church,seats,people,seat,church people,1052
69,church,seats,people,seat,church people,1052
70,church,seats,people,seat,church people,1052
71,church,seats,people,seat,church people,1052
72,church,seats,people,seat,church people,1052
73,church,seats,people,seat,church people,1052
74,church,seats,people,seat,church people,1052
75,church,seats,people,seat,church people,1052
76,church,seats,people,seat,church people,1052
77,church,seats,people,seat,church people,1052
78,church,seats,people,seat,church people,1052
79,church,seats,people,seat,church people,1052
80,church,seats,people,seat,church people,1052
81,church,seats,people,seat,church people,1052
82,church,seats,people,seat,church people,1052
83,church,seats,people,seat,church people,1052
84,church,seats,people,seat,church people,1052
85,church,seats,people,seat,church people,1052
86,church,seats,people,seat,church people,1052
87,church,seats,people,seat,church people,1052
88,church,seats,people,seat,church people,1052
89,church,seats,people,seat,church people,1052
90,church,seats,people,seat,church people,1052
91,church,seated,people,seat,church people,1052
92,church,seats,people,seat,church people,1052
93,church,seats,people,seat,church people,1052
94,church,seats,people,seat,church people,1052
95,church,seats,people,seat,church people,1052
96,church,seats,people,seat,church people,1052
97,church,seats,people,seat,church people,1052
98,church,seats,people,seat,church people,1052
99,church,seats,people,seat,church people,1052
100,church,seats,people,seat,church people,1052
101,church,seats,people,seat,church people,1052
102,church,seats,people,seat,church people,1052
103,church,seats,people,seat,church people,1052
104,church,seat,people,seat,church people,1052
105,church,seats,people,seat,church people,1052
106,church,seats,people,seat,church people,1052
107,church,seats,people,seat,church people,1052
108,church,seats,people,seat,church people,1052
109,church,seats,people,seat,church people,1052
110,church,seats,people,seat,church people,1052
111,church,seats,people,seat,church people,1052
112,church,seats,people,seat,church people,1052
113,church,seats,people,seat,church people,1052
114,church,seats,people,seat,church people,1052
115,church,seats,people,seat,church people,1052
116,church,seats,people,seat,church people,1052
117,church,seats,people,seat,church people,1052
118,church,seats,people,seat,church people,1052
119,church,seats,people,seat,church people,1052
120,church,seats,people,seat,church people,1052
121,church,seats,people,seat,church people,1052
122,church,seats,people,seat,church people,1052
123,church,seats,people,seat,church people,1052
124,church,seats,people,seat,church people,1052
125,church,seats,people,seat,church people,1052
126,church,seats,people,seat,church people,1052
127,church,seats,people,seat,church people,1052
128,church,seats,people,seat,church people,1052
129,church,seats,people,seat,church people,1052
130,church,seats,people,seat,church people,1052
131,church,seats,people,seat,church people,1052
132,church,seats,people,seat,church people,1052
133,church,seats,people,seat,church people,1052
134,church,seats,people,seat,church people,1052
135,church,seats,people,seat,church people,1052
136,church,seats,people,seat,church people,1052
137,church,seats,people,seat,church people,1052
138,church,seats,people,seat,church people,1052
139,church,seats,people,seat,church people,1052
140,church,seats,people,seat,church people,1052
141,church,seats,people,seat,church people,1052
142,church,seats,people,seat,church people,1052
143,church,seats,people,seat,church people,1052
144,church,seats,people,seat,church people,1052
145,church,seats,people,seat,church people,1052
146,church,seats,people,seat,church people,1052
147,church,seats,people,seat,church people,1052
148,church,seats,people,seat,church people,1052
149,church,seats,people,seat,church people,1052
150,church,seats,people,seat,church people,1052
151,church,seats,people,seat,church people,1052
152,church,seats,people,seat,church people,1052
153,church,seats,people,seat,church people,1052
154,church,seats,people,seat,church people,1052
155,church,seats,people,seat,church people,1052
156,church,seats,people,seat,church people,1052
157,church,seats,people,seat,church people,1052
158,church,seats,people,seat,church people,1052
159,church,seats,people,seat,church people,1052
160,church,seats,people,seat,church people,1052
161,church,seats,people,seat,church people,1052
162,church,seats,people,seat,church people,1052
163,church,seats,people,seat,church people,1052
164,church,seats,people,seat,church people,1052
165,church,seats,people,seat,church people,1052
166,church,seats,people,seat,church people,1052
167,church,seats,people,seat,church people,1052
168,church,seats,people,seat,church people,1052
169,church,seats,people,seat,church people,1052
170,church,seats,people,seat,church people,1052
171,church,seats,people,seat,church people,1052
172,church,seats,people,seat,church people,1052
173,church,seats,people,seat,church people,1052
174,church,seats,people,seat,church people,1052
175,church,seats,people,seat,church people,1052
176,church,seats,people,seat,church people,1052
177,church,seats,people,seat,church people,1052
178,church,seats,people,seat,church people,1052
179,church,seats,people,seat,church people,1052
180,church,seats,people,seat,church people,1052
181,church,seats,people,seat,church people,1052
182,church,seats,people,seat,church people,1052
183,church,seats,people,seat,church people,1052
184,church,seats,people,seat,church people,1052
185,church,seats,people,seat,church people,1052
186,church,seats,people,seat,church people,1052
187,church,seats,people,seat,church people,1052
188,church,seats,people,seat,church people,1052
189,church,seats,people,seat,church people,1052
190,church,seats,people,seat,church people,1052
191,church,seats,people,seat,church people,1052
192,church,seats,people,seat,church people,1052
193,church,seats,people,seat,church people,1052
194,church,seats,people,seat,church people,1052
195,church,seats,people,seat,church people,1052
196,church,seats,people,seat,church people,1052
197,church,seats,people,seat,church people,1052
198,church,seats,people,seat,church people,1052
199,church,seats,people,seat,church people,1052
200,church,seats,people,seat,church people,1052
201,church,seats,people,seat,church people,1052
