,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,most,sing,flight,sing,most flight,299
1,most,sing,flight,sing,most flight,299
2,most,sing,flight,sing,most flight,299
3,most,sing,flight,sing,most flight,299
4,most,sing,flight,sing,most flight,299
5,most,sing,flight,sing,most flight,299
6,most,sing,flight,sing,most flight,299
7,most,sing,flight,sing,most flight,299
8,most,sing,flight,sing,most flight,299
9,most,sing,flight,sing,most flight,299
10,most,sing,flight,sing,most flight,299
11,most,sing,flight,sing,most flight,299
12,most,sing,flight,sing,most flight,299
13,most,sing,flight,sing,most flight,299
14,most,sing,flight,sing,most flight,299
15,most,sing,flight,sing,most flight,299
16,most,sing,flight,sing,most flight,299
17,most,sing,flight,sing,most flight,299
18,most,sing,flight,sing,most flight,299
19,most,sing,flight,sing,most flight,299
20,most,sing,flight,sing,most flight,299
21,most,sing,flight,sing,most flight,299
22,most,sing,flight,sing,most flight,299
23,most,sing,flight,sing,most flight,299
24,most,sing,flight,sing,most flight,299
25,most,sing,flight,sing,most flight,299
26,most,sing,flight,sing,most flight,299
27,most,sing,flight,sing,most flight,299
28,most,sing,flight,sing,most flight,299
29,most,sing,flight,sing,most flight,299
30,most,sing,flight,sing,most flight,299
31,most,sing,flight,sing,most flight,299
32,most,sing,flight,sing,most flight,299
33,most,sing,flight,sing,most flight,299
34,most,sing,flight,sing,most flight,299
35,most,sing,flight,sing,most flight,299
36,most,sing,flight,sing,most flight,299
37,most,sing,flight,sing,most flight,299
38,most,sing,flight,sing,most flight,299
39,most,sing,flight,sing,most flight,299
40,most,sing,flight,sing,most flight,299
41,most,sing,flight,sing,most flight,299
42,most,sing,flight,sing,most flight,299
43,most,sing,flight,sing,most flight,299
44,most,sing,flight,sing,most flight,299
45,most,sing,flight,sing,most flight,299
46,most,sing,flight,sing,most flight,299
47,most,sing,flight,sing,most flight,299
48,most,sing,flight,sing,most flight,299
49,most,sing,flight,sing,most flight,299
50,most,sing,flight,sing,most flight,299
51,most,sing,flight,sing,most flight,299
52,most,sing,flight,sing,most flight,299
53,most,sing,flight,sing,most flight,299
54,most,sing,flight,sing,most flight,299
55,most,sing,flight,sing,most flight,299
56,most,sing,flight,sing,most flight,299
57,most,sing,flight,sing,most flight,299
58,most,sing,flight,sing,most flight,299
59,most,sing,flight,sing,most flight,299
60,most,sing,flight,sing,most flight,299
61,most,sing,flight,sing,most flight,299
62,most,sing,flight,sing,most flight,299
63,most,sing,flight,sing,most flight,299
64,most,sing,flight,sing,most flight,299
65,most,sing,flight,sing,most flight,299
66,most,sing,flight,sing,most flight,299
67,most,sing,flight,sing,most flight,299
68,most,sing,flight,sing,most flight,299
69,most,sing,flight,sing,most flight,299
70,most,sing,flight,sing,most flight,299
71,most,sing,flight,sing,most flight,299
72,most,sing,flight,sing,most flight,299
73,most,sing,flight,sing,most flight,299
74,most,sing,flight,sing,most flight,299
75,most,sing,flight,sing,most flight,299
76,most,sing,flight,sing,most flight,299
77,most,sing,flight,sing,most flight,299
78,most,sing,flight,sing,most flight,299
79,most,sing,flight,sing,most flight,299
80,most,sing,flight,sing,most flight,299
81,most,sing,flight,sing,most flight,299
82,most,sing,flight,sing,most flight,299
83,most,sing,flight,sing,most flight,299
84,most,sing,flight,sing,most flight,299
85,most,sing,flight,sing,most flight,299
86,most,sing,flight,sing,most flight,299
87,most,sing,flight,sing,most flight,299
88,most,sing,flight,sing,most flight,299
89,most,sing,flight,sing,most flight,299
90,most,sing,flight,sing,most flight,299
91,most,sing,flight,sing,most flight,299
92,most,sing,flight,sing,most flight,299
93,most,sing,flight,sing,most flight,299
94,most,sing,flight,sing,most flight,299
95,most,sing,flight,sing,most flight,299
96,most,sing,flight,sing,most flight,299
97,most,sing,flight,sing,most flight,299
98,most,sing,flight,sing,most flight,299
99,most,sing,flight,sing,most flight,299
100,most,sing,flight,sing,most flight,299
101,most,sing,flight,sing,most flight,299
102,most,sing,flight,sing,most flight,299
103,most,sing,flight,sing,most flight,299
104,most,sing,flight,sing,most flight,299
105,most,sing,flight,sing,most flight,299
106,most,sing,flight,sing,most flight,299
107,most,sing,flight,sing,most flight,299
108,most,sing,flight,sing,most flight,299
