,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,people,smiling,lot,smile,people lot,2
1,men,smile,voices,smile,men voices,2
2,officers,smiled,words,smile,officers words,2
3,officers,smiled,words,smile,officers words,2
4,people,smile,lot,smile,people lot,2
5,men,smile,voices,smile,men voices,2
6,hearts,smile,listening,smile,hearts listening,1
7,glimpses,smile,peak,smile,glimpses peak,1
8,youth,smiling,fingers,smile,youth fingers,1
9,face,smile,hands,smile,face hands,1
10,women,smiling,clothing,smile,women clothing,1
11,people,smile,head,smile,people head,1
12,one,smiles,door,smile,one door,1
13,listeners,smile,bowlers,smile,listeners bowlers,1
14,daughter,smiles,confusion,smile,daughter confusion,1
15,instance,smiling,joke,smile,instance joke,1
16,members,smiled,arms,smile,members arms,1
17,room,smiling,note,smile,room note,1
18,song,smile,lullaby,smile,song lullaby,1
19,man,smiles,name,smile,man name,1
20,face,smiling,visitors,smile,face visitors,1
21,spirit,smiles,smiling,smile,spirit smiling,1
22,boy,smiles,trigger,smile,boy trigger,1
23,family,smiled,one,smile,family one,1
24,judge,smiles,judge,smile,judge judge,1
25,president,smiled,interview,smile,president interview,1
26,boy,smiled,courage,smile,boy courage,1
27,people,smile,time,smile,people time,1
28,execution,smiling,anthem,smile,execution anthem,1
29,three,smiling,song,smile,three song,1
30,soldier,smiled,hands,smile,soldier hands,1
31,exchanges,smiles,girl,smile,exchanges girl,1
32,one,smiling,gowns,smile,one gowns,1
33,barber,smiles,children,smile,barber children,1
34,anchors,smiled,guests,smile,anchors guests,1
35,eyes,smiled,smile,smile,eyes smile,1
36,parents,smile,infant,smile,parents infant,1
37,subtle,smiling,sense,smile,subtle sense,1
38,referee,smiled,card,smile,referee card,1
39,men,smiled,faith,smile,men faith,1
40,reinforcer,smiling,interactions,smile,reinforcer interactions,1
41,lady,smiled,woman,smile,lady woman,1
42,blooms,smiling,visit,smile,blooms visit,1
43,policeman,smiled,tales,smile,policeman tales,1
44,negotiators,smile,plenty,smile,negotiators plenty,1
45,country,smiles,most,smile,country most,1
46,engenders,smiles,sympathy,smile,engenders sympathy,1
47,juxtaposition,smiling,woman,smile,juxtaposition woman,1
48,man,smiles,truck,smile,man truck,1
49,man,smiles,appearance,smile,man appearance,1
50,face,smile,versions,smile,face versions,1
51,trio,smiled,thumbs,smile,trio thumbs,1
52,girl,smiles,flickers,smile,girl flickers,1
53,one,smiling,frowning,smile,one frowning,1
54,landlady,smiles,drink,smile,landlady drink,1
55,husband,smiling,tone,smile,husband tone,1
56,miller,smiled,cap,smile,miller cap,1
57,everyone,smiling,butter,smile,everyone butter,1
58,men,smile,less,smile,men less,1
59,longevity,smiling,gourd,smile,longevity gourd,1
60,parties,smiling,affection,smile,parties affection,1
61,woman,smiles,kiss,smile,woman kiss,1
62,woman,smiles,amount,smile,woman amount,1
63,ladies,smile,feet,smile,ladies feet,1
64,both,smiling,girlfriend,smile,both girlfriend,1
65,swallow,smiling,dwelling,smile,swallow dwelling,1
66,trees,smile,image,smile,trees image,1
67,face,smile,version,smile,face version,1
