,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,party,stood,candidates,stand,party candidates,89
1,party,stood,candidates,stand,party candidates,89
2,party,stood,candidates,stand,party candidates,89
3,party,stood,candidates,stand,party candidates,89
4,party,stood,candidates,stand,party candidates,89
5,party,stood,candidates,stand,party candidates,89
6,party,stood,candidates,stand,party candidates,89
7,party,stood,candidates,stand,party candidates,89
8,party,stood,candidates,stand,party candidates,89
9,party,stood,candidates,stand,party candidates,89
10,party,stood,candidates,stand,party candidates,89
11,party,stood,candidates,stand,party candidates,89
12,party,stood,candidates,stand,party candidates,89
13,party,stood,candidates,stand,party candidates,89
14,party,stood,candidates,stand,party candidates,89
15,party,stood,candidates,stand,party candidates,89
16,party,stood,candidates,stand,party candidates,89
17,party,stood,candidates,stand,party candidates,89
18,party,stood,candidates,stand,party candidates,89
19,party,stood,candidates,stand,party candidates,89
20,party,stood,candidates,stand,party candidates,89
21,party,stood,candidates,stand,party candidates,89
22,party,stood,candidates,stand,party candidates,89
23,party,stood,candidates,stand,party candidates,89
24,party,stood,candidates,stand,party candidates,89
25,party,stood,candidates,stand,party candidates,89
26,party,stood,candidates,stand,party candidates,89
27,party,stood,candidates,stand,party candidates,89
28,party,stood,candidates,stand,party candidates,89
29,party,stood,candidates,stand,party candidates,89
30,party,stood,candidates,stand,party candidates,89
31,party,stood,candidates,stand,party candidates,89
32,party,stood,candidates,stand,party candidates,89
33,party,stood,candidates,stand,party candidates,89
34,party,stood,candidates,stand,party candidates,89
35,party,stood,candidates,stand,party candidates,89
36,party,stood,candidates,stand,party candidates,89
37,party,stood,candidates,stand,party candidates,89
38,party,stood,candidates,stand,party candidates,89
39,party,stood,candidates,stand,party candidates,89
40,party,stood,candidates,stand,party candidates,89
41,party,stood,candidates,stand,party candidates,89
42,party,stood,candidates,stand,party candidates,89
43,party,stood,candidates,stand,party candidates,89
44,party,stood,candidates,stand,party candidates,89
45,party,stood,candidates,stand,party candidates,89
46,party,stood,candidates,stand,party candidates,89
47,party,stood,candidates,stand,party candidates,89
48,party,standing,candidates,stand,party candidates,89
49,party,stood,candidates,stand,party candidates,89
50,party,stood,candidates,stand,party candidates,89
51,party,stood,candidates,stand,party candidates,89
52,party,stood,candidates,stand,party candidates,89
53,party,stood,candidates,stand,party candidates,89
54,party,stood,candidates,stand,party candidates,89
55,party,stood,candidates,stand,party candidates,89
56,party,stood,candidates,stand,party candidates,89
57,party,stood,candidates,stand,party candidates,89
58,party,stood,candidates,stand,party candidates,89
59,party,stood,candidates,stand,party candidates,89
60,party,stood,candidates,stand,party candidates,89
61,party,stood,candidates,stand,party candidates,89
62,party,stood,candidates,stand,party candidates,89
63,party,stood,candidates,stand,party candidates,89
64,party,stood,candidates,stand,party candidates,89
65,party,stood,candidates,stand,party candidates,89
66,party,stood,candidates,stand,party candidates,89
67,party,stood,candidates,stand,party candidates,89
68,party,stood,candidates,stand,party candidates,89
69,party,stood,candidates,stand,party candidates,89
70,party,stood,candidates,stand,party candidates,89
71,party,stood,candidates,stand,party candidates,89
72,party,stood,candidates,stand,party candidates,89
73,party,stood,candidates,stand,party candidates,89
74,party,stood,candidates,stand,party candidates,89
75,party,stood,candidates,stand,party candidates,89
76,party,stood,candidates,stand,party candidates,89
77,party,stood,candidates,stand,party candidates,89
78,party,stood,candidates,stand,party candidates,89
79,party,stood,candidates,stand,party candidates,89
80,party,stood,candidates,stand,party candidates,89
81,party,stood,candidates,stand,party candidates,89
82,party,stood,candidates,stand,party candidates,89
83,party,stood,candidates,stand,party candidates,89
84,party,stood,candidates,stand,party candidates,89
85,party,stood,candidates,stand,party candidates,89
86,party,stands,candidates,stand,party candidates,89
87,party,stood,candidates,stand,party candidates,89
88,party,stood,candidates,stand,party candidates,89
89,soldiers,stood,guard,stand,soldiers guard,16
90,soldiers,stand,guard,stand,soldiers guard,16
91,soldiers,standing,guard,stand,soldiers guard,16
92,soldiers,stood,guard,stand,soldiers guard,16
93,soldiers,stood,guard,stand,soldiers guard,16
94,soldiers,stand,guard,stand,soldiers guard,16
95,soldiers,standing,guard,stand,soldiers guard,16
96,soldiers,stand,guard,stand,soldiers guard,16
97,soldiers,stood,guard,stand,soldiers guard,16
98,soldiers,stood,guard,stand,soldiers guard,16
99,soldiers,stood,guard,stand,soldiers guard,16
100,soldiers,stood,guard,stand,soldiers guard,16
101,soldiers,stand,guard,stand,soldiers guard,16
102,soldiers,stand,guard,stand,soldiers guard,16
103,soldiers,stood,guard,stand,soldiers guard,16
104,soldiers,stood,guard,stand,soldiers guard,16
105,building,stands,stories,stand,building stories,14
106,building,stands,stories,stand,building stories,14
107,building,stood,stories,stand,building stories,14
108,building,stands,stories,stand,building stories,14
109,building,stands,stories,stand,building stories,14
110,building,stands,stories,stand,building stories,14
111,building,stands,stories,stand,building stories,14
112,building,standing,stories,stand,building stories,14
113,building,stood,stories,stand,building stories,14
114,building,stands,stories,stand,building stories,14
115,building,stands,stories,stand,building stories,14
116,building,stands,stories,stand,building stories,14
117,building,stood,stories,stand,building stories,14
118,building,stands,stories,stand,building stories,14
119,men,stood,trial,stand,men trial,13
120,squadron,stood,alert,stand,squadron alert,13
121,men,stood,trial,stand,men trial,13
122,men,stood,trial,stand,men trial,13
123,squadron,stood,alert,stand,squadron alert,13
124,squadron,stood,alert,stand,squadron alert,13
125,squadron,stood,alert,stand,squadron alert,13
126,men,stood,trial,stand,men trial,13
127,squadron,stood,alert,stand,squadron alert,13
128,squadron,stood,alert,stand,squadron alert,13
129,squadron,stood,alert,stand,squadron alert,13
130,squadron,stood,alert,stand,squadron alert,13
131,men,standing,trial,stand,men trial,13
132,men,stood,trial,stand,men trial,13
133,men,standing,trial,stand,men trial,13
134,men,stood,trial,stand,men trial,13
135,men,stood,trial,stand,men trial,13
136,men,stood,trial,stand,men trial,13
137,squadron,stood,alert,stand,squadron alert,13
138,squadron,stood,alert,stand,squadron alert,13
139,squadron,stood,alert,stand,squadron alert,13
140,men,stand,trial,stand,men trial,13
141,squadron,stood,alert,stand,squadron alert,13
