,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,clock,strikes,midnight,strike,clock midnight,65
1,clock,strikes,midnight,strike,clock midnight,65
2,clock,strikes,midnight,strike,clock midnight,65
3,clock,strikes,midnight,strike,clock midnight,65
4,clock,struck,midnight,strike,clock midnight,65
5,clock,struck,midnight,strike,clock midnight,65
6,clock,strikes,midnight,strike,clock midnight,65
7,clock,strikes,midnight,strike,clock midnight,65
8,clock,strikes,midnight,strike,clock midnight,65
9,clock,strikes,midnight,strike,clock midnight,65
10,clock,strikes,midnight,strike,clock midnight,65
11,clock,struck,midnight,strike,clock midnight,65
12,clock,strikes,midnight,strike,clock midnight,65
13,clock,struck,midnight,strike,clock midnight,65
14,clock,strikes,midnight,strike,clock midnight,65
15,clock,struck,midnight,strike,clock midnight,65
16,clock,strikes,midnight,strike,clock midnight,65
17,clock,strikes,midnight,strike,clock midnight,65
18,clock,strikes,midnight,strike,clock midnight,65
19,clock,strikes,midnight,strike,clock midnight,65
20,clock,strikes,midnight,strike,clock midnight,65
21,clock,struck,midnight,strike,clock midnight,65
22,clock,struck,midnight,strike,clock midnight,65
23,clock,strikes,midnight,strike,clock midnight,65
24,clock,strikes,midnight,strike,clock midnight,65
25,clock,strikes,midnight,strike,clock midnight,65
26,clock,strikes,midnight,strike,clock midnight,65
27,clock,struck,midnight,strike,clock midnight,65
28,clock,strikes,midnight,strike,clock midnight,65
29,clock,strikes,midnight,strike,clock midnight,65
30,clock,strikes,midnight,strike,clock midnight,65
31,clock,strikes,midnight,strike,clock midnight,65
32,clock,strikes,midnight,strike,clock midnight,65
33,clock,strikes,midnight,strike,clock midnight,65
34,clock,strikes,midnight,strike,clock midnight,65
35,clock,strikes,midnight,strike,clock midnight,65
36,clock,strikes,midnight,strike,clock midnight,65
37,clock,strikes,midnight,strike,clock midnight,65
38,clock,strikes,midnight,strike,clock midnight,65
39,clock,strikes,midnight,strike,clock midnight,65
40,clock,strikes,midnight,strike,clock midnight,65
41,clock,strikes,midnight,strike,clock midnight,65
