,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,player,substituted,result,substitute,player result,12
1,player,substituted,result,substitute,player result,12
2,player,substituted,result,substitute,player result,12
3,player,substituted,result,substitute,player result,12
4,player,substituted,result,substitute,player result,12
5,player,substituted,result,substitute,player result,12
6,player,substituted,result,substitute,player result,12
7,player,substituted,result,substitute,player result,12
8,player,substituted,result,substitute,player result,12
9,player,substituted,result,substitute,player result,12
10,player,substituted,result,substitute,player result,12
11,player,substituted,result,substitute,player result,12
12,denotes,substitute,appearance,substitute,denotes appearance,6
13,denotes,substitute,appearance,substitute,denotes appearance,6
14,denotes,substitute,appearance,substitute,denotes appearance,6
15,denotes,substitute,appearance,substitute,denotes appearance,6
16,denotes,substitute,appearance,substitute,denotes appearance,6
17,denotes,substitute,appearance,substitute,denotes appearance,6
18,one,substitute,appearance,substitute,one appearance,4
19,one,substitute,appearance,substitute,one appearance,4
20,one,substitute,appearance,substitute,one appearance,4
21,one,substitute,appearance,substitute,one appearance,4
22,teams,substitute,players,substitute,teams players,4
23,teams,substitute,players,substitute,teams players,4
24,teams,substituted,players,substitute,teams players,4
25,teams,substitute,players,substitute,teams players,4
26,death,substituted,believers,substitute,death believers,3
27,successor,substituted,title,substitute,successor title,3
28,section,substitutes,sections,substitute,section sections,3
29,proposal,substituted,penthouse,substitute,proposal penthouse,3
30,proposal,substituted,penthouse,substitute,proposal penthouse,3
31,proposal,substituted,penthouse,substitute,proposal penthouse,3
32,consecration,substitute,love,substitute,consecration love,3
33,version,substituted,version,substitute,version version,3
34,version,substituted,version,substitute,version version,3
35,version,substituted,version,substitute,version version,3
36,consecration,substitute,love,substitute,consecration love,3
37,successor,substituted,title,substitute,successor title,3
38,successor,substituted,title,substitute,successor title,3
39,section,substitutes,sections,substitute,section sections,3
40,death,substituted,believers,substitute,death believers,3
41,section,substitutes,sections,substitute,section sections,3
42,consecration,substitute,love,substitute,consecration love,3
43,death,substituted,believers,substitute,death believers,3
44,models,substituted,coordinate,substitute,models coordinate,2
45,texts,substitute,concepts,substitute,texts concepts,2
46,court,substituted,judgment,substitute,court judgment,2
47,half,substitute,day,substitute,half day,2
48,individuals,substitute,consumption,substitute,individuals consumption,2
49,employee,substitute,right,substitute,employee right,2
50,system,substituted,numbers,substitute,system numbers,2
51,men,substitute,power,substitute,men power,2
52,version,substitutes,words,substitute,version words,2
53,individuals,substitute,consumption,substitute,individuals consumption,2
54,employee,substitute,right,substitute,employee right,2
55,texts,substitute,concepts,substitute,texts concepts,2
56,palatines,substituted,kings,substitute,palatines kings,2
57,question,substituted,word,substitute,question word,2
58,film,substitutes,ending,substitute,film ending,2
59,one,substitutes,expression,substitute,one expression,2
60,congregations,substitute,readings,substitute,congregations readings,2
61,promise,substitutes,phrase,substitute,promise phrase,2
62,version,substituted,words,substitute,version words,2
63,congregations,substitute,readings,substitute,congregations readings,2
64,members,substitute,power,substitute,members power,2
65,court,substituted,conviction,substitute,court conviction,2
66,nation,substituted,imports,substitute,nation imports,2
67,amendments,substituted,definition,substitute,amendments definition,2
68,users,substituted,words,substitute,users words,2
69,models,substituted,coordinate,substitute,models coordinate,2
70,question,substituted,word,substitute,question word,2
71,film,substitutes,ending,substitute,film ending,2
72,amendments,substituted,definition,substitute,amendments definition,2
73,boron,substitutes,carbon,substitute,boron carbon,2
74,one,substitutes,expression,substitute,one expression,2
75,court,substituted,order,substitute,court order,2
76,court,substituted,judgment,substitute,court judgment,2
77,promise,substitutes,phrase,substitute,promise phrase,2
78,version,substitutes,mixes,substitute,version mixes,2
79,court,substituted,conviction,substitute,court conviction,2
80,men,substitute,power,substitute,men power,2
81,version,substitutes,mixes,substitute,version mixes,2
82,half,substitute,day,substitute,half day,2
83,palatines,substituted,kings,substitute,palatines kings,2
84,boron,substitutes,carbon,substitute,boron carbon,2
85,industry,substitutes,ingredients,substitute,industry ingredients,2
86,court,substituted,order,substitute,court order,2
87,members,substitute,power,substitute,members power,2
88,system,substituted,numbers,substitute,system numbers,2
89,industry,substitutes,ingredients,substitute,industry ingredients,2
90,users,substituted,words,substitute,users words,2
91,singer,substituted,singers,substitute,singer singers,2
92,nation,substituted,imports,substitute,nation imports,2
93,husband,substituted,daughter,substitute,husband daughter,2
94,husband,substituted,daughter,substitute,husband daughter,2
95,singer,substituted,singers,substitute,singer singers,2
96,tweet,substituted,letter,substitute,tweet letter,2
97,tweet,substituted,letter,substitute,tweet letter,2
98,ships,substituted,three,substitute,ships three,1
99,examinee,substitute,points,substitute,examinee points,1
100,language,substituted,ratification,substitute,language ratification,1
101,doctor,substituted,pill,substitute,doctor pill,1
102,astronomers,substituted,objectives,substitute,astronomers objectives,1
103,airlines,substituted,planes,substitute,airlines planes,1
104,bill,substitute,articles,substitute,bill articles,1
