,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,band,supported,album,support,band album,128
1,band,supported,album,support,band album,128
2,band,supported,album,support,band album,128
3,band,supported,album,support,band album,128
4,band,supported,album,support,band album,128
5,band,supported,album,support,band album,128
6,band,supported,album,support,band album,128
7,band,supported,album,support,band album,128
8,band,supported,album,support,band album,128
9,band,supported,album,support,band album,128
10,band,supported,album,support,band album,128
11,band,supported,album,support,band album,128
12,band,supported,album,support,band album,128
13,band,supported,album,support,band album,128
14,band,supported,album,support,band album,128
15,band,support,album,support,band album,128
16,band,supported,album,support,band album,128
17,band,supported,album,support,band album,128
18,band,supported,album,support,band album,128
19,band,supported,album,support,band album,128
20,band,supported,album,support,band album,128
21,band,supporting,album,support,band album,128
22,band,supported,album,support,band album,128
23,band,supported,album,support,band album,128
24,band,supported,album,support,band album,128
25,band,supported,album,support,band album,128
26,band,supported,album,support,band album,128
27,band,supported,album,support,band album,128
28,band,supported,album,support,band album,128
29,band,supported,album,support,band album,128
30,band,supported,album,support,band album,128
31,band,supported,album,support,band album,128
32,band,supported,album,support,band album,128
33,band,supported,album,support,band album,128
34,band,supported,album,support,band album,128
35,band,supported,album,support,band album,128
36,band,supported,album,support,band album,128
37,band,supported,album,support,band album,128
38,band,supported,album,support,band album,128
39,band,supported,album,support,band album,128
40,band,supported,album,support,band album,128
41,band,supported,album,support,band album,128
42,band,supported,album,support,band album,128
43,band,supported,album,support,band album,128
44,band,supported,album,support,band album,128
45,band,supported,album,support,band album,128
46,band,supported,album,support,band album,128
47,band,supported,album,support,band album,128
48,band,supported,album,support,band album,128
49,band,supported,album,support,band album,128
50,band,supported,album,support,band album,128
51,band,supported,album,support,band album,128
52,band,supported,album,support,band album,128
53,band,supported,album,support,band album,128
54,band,supported,album,support,band album,128
55,band,supported,album,support,band album,128
56,band,supported,album,support,band album,128
57,band,supported,album,support,band album,128
58,band,supported,album,support,band album,128
59,band,supported,album,support,band album,128
60,band,supported,album,support,band album,128
61,band,supported,album,support,band album,128
62,band,supported,album,support,band album,128
63,band,supported,album,support,band album,128
64,band,supported,album,support,band album,128
65,band,supported,album,support,band album,128
66,band,supported,album,support,band album,128
67,band,supported,album,support,band album,128
68,band,supported,album,support,band album,128
69,band,supported,album,support,band album,128
70,band,supported,album,support,band album,128
71,band,supported,album,support,band album,128
72,band,supported,album,support,band album,128
73,band,supported,album,support,band album,128
74,band,supported,album,support,band album,128
75,band,supported,album,support,band album,128
76,band,supported,album,support,band album,128
77,band,supported,album,support,band album,128
78,band,supported,album,support,band album,128
79,band,supported,album,support,band album,128
80,band,supported,album,support,band album,128
81,band,supported,album,support,band album,128
82,band,supported,album,support,band album,128
83,band,supported,album,support,band album,128
84,band,supported,album,support,band album,128
85,band,supported,album,support,band album,128
86,band,supported,album,support,band album,128
87,band,supported,album,support,band album,128
88,band,supported,album,support,band album,128
89,band,supported,album,support,band album,128
90,band,supported,album,support,band album,128
91,band,supported,album,support,band album,128
92,band,supported,album,support,band album,128
93,band,supported,album,support,band album,128
94,band,supported,album,support,band album,128
95,band,supported,album,support,band album,128
96,band,supported,album,support,band album,128
97,band,supported,album,support,band album,128
98,band,supported,album,support,band album,128
99,band,supported,album,support,band album,128
100,band,supported,album,support,band album,128
101,band,supported,album,support,band album,128
102,band,supported,album,support,band album,128
103,band,supported,album,support,band album,128
104,band,supported,album,support,band album,128
105,band,supported,album,support,band album,128
106,band,supported,album,support,band album,128
107,band,supported,album,support,band album,128
108,band,supported,album,support,band album,128
109,band,supported,album,support,band album,128
110,band,supported,album,support,band album,128
111,band,supported,album,support,band album,128
112,band,supported,album,support,band album,128
113,band,supported,album,support,band album,128
114,band,supported,album,support,band album,128
115,band,supported,album,support,band album,128
116,band,supported,album,support,band album,128
117,band,supported,album,support,band album,128
118,band,supported,album,support,band album,128
119,band,supported,album,support,band album,128
120,band,supported,album,support,band album,128
121,band,supported,album,support,band album,128
122,band,supported,album,support,band album,128
123,band,supported,album,support,band album,128
124,band,supported,album,support,band album,128
125,band,supported,album,support,band album,128
126,band,supported,album,support,band album,128
127,band,supported,album,support,band album,128
128,game,supports,players,support,game players,62
129,game,supports,players,support,game players,62
130,game,supports,players,support,game players,62
131,game,supports,players,support,game players,62
132,game,supports,players,support,game players,62
133,game,supports,players,support,game players,62
134,game,supports,players,support,game players,62
135,game,supports,players,support,game players,62
136,game,supports,players,support,game players,62
137,game,supports,players,support,game players,62
138,game,supports,players,support,game players,62
139,game,supports,players,support,game players,62
140,game,supports,players,support,game players,62
141,game,supports,players,support,game players,62
142,game,supports,players,support,game players,62
143,game,supports,players,support,game players,62
144,game,supported,players,support,game players,62
145,game,supports,players,support,game players,62
146,game,supports,players,support,game players,62
147,game,supports,players,support,game players,62
148,game,supported,players,support,game players,62
149,game,supported,players,support,game players,62
150,game,supports,players,support,game players,62
151,game,supports,players,support,game players,62
152,game,supports,players,support,game players,62
153,game,supports,players,support,game players,62
154,game,supports,players,support,game players,62
155,game,supports,players,support,game players,62
156,game,supports,players,support,game players,62
157,game,supports,players,support,game players,62
158,game,supports,players,support,game players,62
159,game,supports,players,support,game players,62
160,game,supports,players,support,game players,62
161,game,supports,players,support,game players,62
162,game,supports,players,support,game players,62
163,game,supports,players,support,game players,62
164,game,supports,players,support,game players,62
165,game,supports,players,support,game players,62
166,game,supports,players,support,game players,62
167,game,supports,players,support,game players,62
168,game,supports,players,support,game players,62
169,game,supports,players,support,game players,62
170,game,supported,players,support,game players,62
171,game,supports,players,support,game players,62
