,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,duo,teamed,alliance,team,duo alliance,2
1,duo,teamed,alliance,team,duo alliance,2
2,carmaker,teamed,draw,team,carmaker draw,1
3,animals,team,process,team,animals process,1
4,two,teamed,pleasure,team,two pleasure,1
5,company,teamed,links,team,company links,1
6,breadpig,teamed,volume,team,breadpig volume,1
7,two,teamed,invasion,team,two invasion,1
8,trio,teamed,engagements,team,trio engagements,1
9,debut,teamed,tenor,team,debut tenor,1
10,women,team,coach,team,women coach,1
11,trio,teamed,mixtape,team,trio mixtape,1
12,defense,teamed,center,team,defense center,1
13,producer,teamed,record,team,producer record,1
14,both,teams,seeds,team,both seeds,1
15,using,teamed,bronze,team,using bronze,1
16,vendors,team,cons,team,vendors cons,1
17,conference,team,season,team,conference season,1
18,family,teamed,murder,team,family murder,1
19,film,team,aliens,team,film aliens,1
20,boys,team,position,team,boys position,1
21,duo,teamed,character,team,duo character,1
22,two,teamed,one,team,two one,1
23,collective,teamed,protesters,team,collective protesters,1
24,duo,team,bag,team,duo bag,1
25,league,teams,option,team,league option,1
26,opponents,teamed,struggle,team,opponents struggle,1
27,party,teamed,councillors,team,party councillors,1
28,characters,team,bet,team,characters bet,1
29,men,teamed,time,team,men time,1
30,league,teams,total,team,league total,1
31,organization,teamed,presentations,team,organization presentations,1
32,duo,teamed,track,team,duo track,1
33,latter,teamed,duo,team,latter duo,1
34,competitors,teamed,team,team,competitors team,1
35,campaign,teamed,subscribers,team,campaign subscribers,1
36,pair,teamed,series,team,pair series,1
37,rudos,teamed,team,team,rudos team,1
38,team,teamed,series,team,team series,1
39,couples,team,run,team,couples run,1
40,film,teams,superhero,team,film superhero,1
41,company,teamed,films,team,company films,1
42,house,teamed,design,team,house design,1
43,band,teamed,tours,team,band tours,1
44,artists,teamed,album,team,artists album,1
45,magazine,teamed,series,team,magazine series,1
46,label,teamed,group,team,label group,1
47,label,teamed,family,team,label family,1
48,men,teamed,calls,team,men calls,1
49,sister,teamed,nephew,team,sister nephew,1
50,acts,teamed,venues,team,acts venues,1
51,podcasts,teamed,listeners,team,podcasts listeners,1
52,tradition,team,depictions,team,tradition depictions,1
53,gimmick,teamed,gimmick,team,gimmick gimmick,1
54,eiders,team,work,team,eiders work,1
55,actor,teamed,films,team,actor films,1
56,inmates,teamed,robber,team,inmates robber,1
57,character,teamed,issue,team,character issue,1
58,companies,teamed,characters,team,companies characters,1
59,partnership,teamed,agreement,team,partnership agreement,1
60,poets,teamed,first,team,poets first,1
61,company,teamed,number,team,company number,1
62,wrestlers,teamed,matches,team,wrestlers matches,1
63,players,team,keys,team,players keys,1
64,both,teamed,match,team,both match,1
65,three,team,relationship,team,three relationship,1
66,pair,teamed,goals,team,pair goals,1
67,couples,teamed,albums,team,couples albums,1
68,boys,team,practices,team,boys practices,1
69,all,teaming,onslaught,team,all onslaught,1
70,game,team,flags,team,game flags,1
71,pair,teamed,agency,team,pair agency,1
72,network,teamed,animator,team,network animator,1
73,students,teamed,part,team,students part,1
74,girls,teamed,song,team,girls song,1
75,boys,team,part,team,boys part,1
76,adoption,teams,season,team,adoption season,1
77,councillors,teamed,rival,team,councillors rival,1
78,producers,teamed,audition,team,producers audition,1
79,men,teamed,veterans,team,men veterans,1
