,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,plica,tethers,patella,tether,plica patella,2
1,plica,tethers,patella,tether,plica patella,2
2,switches,tethered,groups,tether,switches groups,1
3,adhesions,tether,omentum,tether,adhesions omentum,1
4,observer,tethers,bird,tether,observer bird,1
5,farmers,tether,livestock,tether,farmers livestock,1
6,crew,tethered,bird,tether,crew bird,1
7,devil,tethered,horse,tether,devil horse,1
8,rope,tethering,ship,tether,rope ship,1
9,objects,tethers,object,tether,objects object,1
10,men,tethered,horses,tether,men horses,1
11,scouts,tethered,horses,tether,scouts horses,1
12,frenum,tethers,tongue,tether,frenum tongue,1
13,plane,tether,plane,tether,plane plane,1
14,cable,tethering,balloon,tether,cable balloon,1
15,twins,tether,creatures,tether,twins creatures,1
16,king,tethered,horses,tether,king horses,1
