,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,official,toasting,wine,toast,official wine,6
1,official,toasting,wine,toast,official wine,6
2,official,toasting,wine,toast,official wine,6
3,official,toasting,wine,toast,official wine,6
4,official,toasting,wine,toast,official wine,6
5,official,toasting,wine,toast,official wine,6
6,pinipig,toasted,rice,toast,pinipig rice,2
7,pinipig,toasted,rice,toast,pinipig rice,2
8,host,toasted,group,toast,host group,1
9,diners,toast,performance,toast,diners performance,1
10,partygoers,toast,death,toast,partygoers death,1
11,coatings,toasted,seeds,toast,coatings seeds,1
12,number,toasted,friend,toast,number friend,1
13,soup,toasted,seeds,toast,soup seeds,1
14,two,toasted,friendship,toast,two friendship,1
15,family,toasts,success,toast,family success,1
16,ground,toasted,maize,toast,ground maize,1
17,filling,toasted,almonds,toast,filling almonds,1
18,quads,toast,birthday,toast,quads birthday,1
19,bullfighter,toasted,audience,toast,bullfighter audience,1
20,tramp,toasts,audience,toast,tramp audience,1
21,two,toasted,end,toast,two end,1
22,features,toasted,rice,toast,features rice,1
23,dried,toasted,flour,toast,dried flour,1
24,drinker,toasted,one,toast,drinker one,1
25,barflies,toast,fortune,toast,barflies fortune,1
26,rest,toast,passing,toast,rest passing,1
27,ingredients,toasted,oil,toast,ingredients oil,1
28,versions,toasted,garlic,toast,versions garlic,1
29,band,toasts,newlyweds,toast,band newlyweds,1
30,team,toast,victory,toast,team victory,1
31,girls,toasting,corns,toast,girls corns,1
32,area,toasted,pecans,toast,area pecans,1
33,dough,toasted,seeds,toast,dough seeds,1
34,aekjeot,toasted,seeds,toast,aekjeot seeds,1
35,version,toasted,bread,toast,version bread,1
36,medium,toasted,barrels,toast,medium barrels,1
37,family,toasts,couple,toast,family couple,1
38,all,toasted,decision,toast,all decision,1
39,tostada,toasted,rice,toast,tostada rice,1
40,leaves,toasted,sun,toast,leaves sun,1
41,toasters,toasted,side,toast,toasters side,1
42,followers,toast,loyalty,toast,followers loyalty,1
43,announcement,toasted,death,toast,announcement death,1
44,ground,toasted,rice,toast,ground rice,1
45,products,toasted,bread,toast,products bread,1
46,menu,toasted,sandwiches,toast,menu sandwiches,1
47,bowlful,toasted,flakes,toast,bowlful flakes,1
48,brothers,toast,success,toast,brothers success,1
49,forces,toasted,triumph,toast,forces triumph,1
50,visitors,toasted,endeavour,toast,visitors endeavour,1
51,lords,toast,mistresses,toast,lords mistresses,1
52,apprentices,toasted,name,toast,apprentices name,1
53,tostus,toasted,torstos,toast,tostus torstos,1
54,bandmates,toast,operation,toast,bandmates operation,1
55,members,toasted,success,toast,members success,1
56,crew,toast,fortune,toast,crew fortune,1
57,character,toasted,bread,toast,character bread,1
58,dish,toasted,seeds,toast,dish seeds,1
59,third,toasted,lady,toast,third lady,1
60,boasting,toasting,skills,toast,boasting skills,1
61,murderer,toasted,crime,toast,murderer crime,1
62,consumers,toasted,bread,toast,consumers bread,1
63,braaivleis,toasted,sandwiches,toast,braaivleis sandwiches,1
64,group,toast,year,toast,group year,1
65,father,toasted,mother,toast,father mother,1
66,roots,toasted,grain,toast,roots grain,1
67,potatoes,toasted,corn,toast,potatoes corn,1
68,ingredients,toasted,sesame,toast,ingredients sesame,1
69,last,toasted,wife,toast,last wife,1
