,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,flood,washed,bridge,wash,flood bridge,13
1,flood,washed,bridge,wash,flood bridge,13
2,flood,washed,bridge,wash,flood bridge,13
3,flood,washed,bridge,wash,flood bridge,13
4,flood,washed,bridge,wash,flood bridge,13
5,flood,washed,bridge,wash,flood bridge,13
6,flood,washed,bridge,wash,flood bridge,13
7,flood,washed,bridge,wash,flood bridge,13
8,flood,washed,bridge,wash,flood bridge,13
9,flood,washed,bridge,wash,flood bridge,13
10,flood,washed,bridge,wash,flood bridge,13
11,flood,washed,bridge,wash,flood bridge,13
12,flood,washed,bridge,wash,flood bridge,13
13,flooding,washed,bridge,wash,flooding bridge,11
14,flooding,washed,bridge,wash,flooding bridge,11
15,flooding,washed,bridge,wash,flooding bridge,11
16,flooding,washed,bridge,wash,flooding bridge,11
17,flooding,washed,bridge,wash,flooding bridge,11
18,flooding,washed,bridge,wash,flooding bridge,11
19,flooding,washed,bridge,wash,flooding bridge,11
20,flooding,washed,bridge,wash,flooding bridge,11
21,flooding,washed,bridge,wash,flooding bridge,11
22,flooding,washed,bridge,wash,flooding bridge,11
23,flooding,washed,bridge,wash,flooding bridge,11
24,rainfall,washed,roads,wash,rainfall roads,10
25,sections,washed,tsunami,wash,sections tsunami,10
26,sections,washed,tsunami,wash,sections tsunami,10
27,sections,washed,tsunami,wash,sections tsunami,10
28,sections,washed,tsunami,wash,sections tsunami,10
29,sections,washed,tsunami,wash,sections tsunami,10
30,sections,washed,tsunami,wash,sections tsunami,10
31,sections,washed,tsunami,wash,sections tsunami,10
32,sections,washed,tsunami,wash,sections tsunami,10
33,sections,washed,tsunami,wash,sections tsunami,10
34,rainfall,washed,roads,wash,rainfall roads,10
35,rainfall,washed,roads,wash,rainfall roads,10
36,rainfall,washed,roads,wash,rainfall roads,10
37,rainfall,washed,roads,wash,rainfall roads,10
38,rainfall,washed,roads,wash,rainfall roads,10
39,rainfall,washed,roads,wash,rainfall roads,10
40,rainfall,washed,roads,wash,rainfall roads,10
41,rainfall,washed,roads,wash,rainfall roads,10
42,sections,washed,tsunami,wash,sections tsunami,10
43,rainfall,washed,roads,wash,rainfall roads,10
44,floods,washed,bridge,wash,floods bridge,9
45,priest,wash,hands,wash,priest hands,9
46,priest,washes,hands,wash,priest hands,9
47,priest,washes,hands,wash,priest hands,9
48,priest,washes,hands,wash,priest hands,9
49,floods,washed,bridge,wash,floods bridge,9
50,floods,washed,bridge,wash,floods bridge,9
51,floods,washed,bridge,wash,floods bridge,9
52,floods,washed,bridge,wash,floods bridge,9
53,priest,washes,hands,wash,priest hands,9
54,priest,washes,hands,wash,priest hands,9
55,priest,washes,hands,wash,priest hands,9
56,priest,washes,hands,wash,priest hands,9
57,floods,washed,bridge,wash,floods bridge,9
58,priest,washes,hands,wash,priest hands,9
59,floods,washed,bridge,wash,floods bridge,9
60,floods,washed,bridge,wash,floods bridge,9
61,floods,washed,bridge,wash,floods bridge,9
62,rain,washed,match,wash,rain match,8
63,rain,washed,qualifying,wash,rain qualifying,8
64,rain,washed,match,wash,rain match,8
65,rain,washed,day,wash,rain day,8
66,rain,washed,match,wash,rain match,8
67,rain,washed,match,wash,rain match,8
68,rain,washed,day,wash,rain day,8
69,rain,washed,qualifying,wash,rain qualifying,8
70,rain,washed,qualifying,wash,rain qualifying,8
71,rain,washed,match,wash,rain match,8
72,rain,washed,day,wash,rain day,8
73,rain,washed,day,wash,rain day,8
74,flooding,washed,bridges,wash,flooding bridges,8
75,rain,washed,day,wash,rain day,8
76,flooding,washed,bridges,wash,flooding bridges,8
77,rain,washed,qualifying,wash,rain qualifying,8
