,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,model,wore,design,wear,model design,78
1,model,wore,design,wear,model design,78
2,model,wore,design,wear,model design,78
3,model,wore,design,wear,model design,78
4,model,wore,design,wear,model design,78
5,model,wore,design,wear,model design,78
6,model,wore,design,wear,model design,78
7,model,wore,design,wear,model design,78
8,model,wore,design,wear,model design,78
9,model,wore,design,wear,model design,78
10,model,wore,design,wear,model design,78
11,model,wore,design,wear,model design,78
12,model,wore,design,wear,model design,78
13,model,wore,design,wear,model design,78
14,model,wore,design,wear,model design,78
15,model,wore,design,wear,model design,78
16,model,wore,design,wear,model design,78
17,model,wore,design,wear,model design,78
18,model,wore,design,wear,model design,78
19,model,wore,design,wear,model design,78
20,model,wore,design,wear,model design,78
21,model,wore,design,wear,model design,78
22,model,wore,design,wear,model design,78
23,model,wore,design,wear,model design,78
24,model,wore,design,wear,model design,78
25,model,wore,design,wear,model design,78
26,model,wore,design,wear,model design,78
27,model,wore,design,wear,model design,78
28,model,wore,design,wear,model design,78
29,model,wore,design,wear,model design,78
30,model,wore,design,wear,model design,78
31,model,wore,design,wear,model design,78
32,model,wore,design,wear,model design,78
33,model,wore,design,wear,model design,78
34,model,wore,design,wear,model design,78
35,model,wore,design,wear,model design,78
36,model,wore,design,wear,model design,78
37,model,wore,design,wear,model design,78
38,model,wore,design,wear,model design,78
39,model,wore,design,wear,model design,78
40,model,wore,design,wear,model design,78
41,model,wore,design,wear,model design,78
42,model,wore,design,wear,model design,78
43,model,wore,design,wear,model design,78
44,model,wore,design,wear,model design,78
45,model,wore,design,wear,model design,78
46,model,wore,design,wear,model design,78
47,model,wore,design,wear,model design,78
48,model,wore,design,wear,model design,78
49,model,wore,design,wear,model design,78
50,model,wore,design,wear,model design,78
51,model,wore,design,wear,model design,78
52,model,wore,design,wear,model design,78
53,model,wore,design,wear,model design,78
54,model,wore,design,wear,model design,78
55,model,wore,design,wear,model design,78
56,model,wore,design,wear,model design,78
57,model,wore,design,wear,model design,78
58,model,wore,design,wear,model design,78
59,model,wore,design,wear,model design,78
60,model,wore,design,wear,model design,78
61,model,wore,design,wear,model design,78
62,model,wore,design,wear,model design,78
63,model,wore,design,wear,model design,78
64,model,wore,design,wear,model design,78
65,model,wore,design,wear,model design,78
66,model,wore,design,wear,model design,78
67,model,wore,design,wear,model design,78
68,model,wore,design,wear,model design,78
69,model,wore,design,wear,model design,78
70,model,wore,design,wear,model design,78
71,model,wore,design,wear,model design,78
72,model,wore,design,wear,model design,78
73,model,wore,design,wear,model design,78
74,model,wore,design,wear,model design,78
75,model,wore,design,wear,model design,78
76,model,wore,design,wear,model design,78
77,model,wore,design,wear,model design,78
78,leader,wore,jersey,wear,leader jersey,67
79,leader,wore,jersey,wear,leader jersey,67
80,leader,wore,jersey,wear,leader jersey,67
81,leader,wore,jersey,wear,leader jersey,67
82,leader,wore,jersey,wear,leader jersey,67
83,leader,wore,jersey,wear,leader jersey,67
84,leader,wore,jersey,wear,leader jersey,67
85,leader,wore,jersey,wear,leader jersey,67
86,leader,wore,jersey,wear,leader jersey,67
87,leader,wore,jersey,wear,leader jersey,67
88,leader,wore,jersey,wear,leader jersey,67
89,leader,wore,jersey,wear,leader jersey,67
90,leader,wore,jersey,wear,leader jersey,67
91,leader,wore,jersey,wear,leader jersey,67
92,leader,wears,jersey,wear,leader jersey,67
93,leader,wears,jersey,wear,leader jersey,67
94,leader,wore,jersey,wear,leader jersey,67
95,leader,wore,jersey,wear,leader jersey,67
96,leader,wore,jersey,wear,leader jersey,67
97,leader,wore,jersey,wear,leader jersey,67
98,leader,wears,jersey,wear,leader jersey,67
99,leader,wears,jersey,wear,leader jersey,67
100,leader,wore,jersey,wear,leader jersey,67
101,leader,wears,jersey,wear,leader jersey,67
102,leader,wore,jersey,wear,leader jersey,67
103,leader,wore,jersey,wear,leader jersey,67
104,leader,wore,jersey,wear,leader jersey,67
105,leader,wore,jersey,wear,leader jersey,67
106,leader,wore,jersey,wear,leader jersey,67
107,leader,wore,jersey,wear,leader jersey,67
108,leader,wore,jersey,wear,leader jersey,67
109,leader,wore,jersey,wear,leader jersey,67
110,leader,wore,jersey,wear,leader jersey,67
111,leader,wore,jersey,wear,leader jersey,67
112,leader,wore,jersey,wear,leader jersey,67
113,leader,wore,jersey,wear,leader jersey,67
114,leader,wore,jersey,wear,leader jersey,67
115,leader,wore,jersey,wear,leader jersey,67
116,leader,wore,jersey,wear,leader jersey,67
117,leader,wore,jersey,wear,leader jersey,67
118,leader,wore,jersey,wear,leader jersey,67
119,leader,wore,jersey,wear,leader jersey,67
120,leader,wore,jersey,wear,leader jersey,67
121,leader,wore,jersey,wear,leader jersey,67
122,leader,wore,jersey,wear,leader jersey,67
123,leader,wore,jersey,wear,leader jersey,67
124,leader,wore,jersey,wear,leader jersey,67
125,leader,wore,jersey,wear,leader jersey,67
126,leader,wore,jersey,wear,leader jersey,67
127,leader,wears,jersey,wear,leader jersey,67
128,leader,wears,jersey,wear,leader jersey,67
129,leader,wore,jersey,wear,leader jersey,67
130,leader,wore,jersey,wear,leader jersey,67
131,leader,wore,jersey,wear,leader jersey,67
132,leader,wore,jersey,wear,leader jersey,67
133,leader,wears,jersey,wear,leader jersey,67
134,leader,wore,jersey,wear,leader jersey,67
135,leader,wore,jersey,wear,leader jersey,67
136,leader,wore,jersey,wear,leader jersey,67
137,leader,wore,jersey,wear,leader jersey,67
138,leader,wore,jersey,wear,leader jersey,67
139,leader,wore,jersey,wear,leader jersey,67
