,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,film,weaves,stories,weave,film stories,8
1,film,weaves,stories,weave,film stories,8
2,film,weaves,stories,weave,film stories,8
3,film,weaves,stories,weave,film stories,8
4,film,weaves,stories,weave,film stories,8
5,film,weaves,stories,weave,film stories,8
6,film,weaves,stories,weave,film stories,8
7,film,weaves,stories,weave,film stories,8
8,novel,weaves,stories,weave,novel stories,7
9,novel,weaves,stories,weave,novel stories,7
10,novel,weaves,stories,weave,novel stories,7
11,novel,weaves,stories,weave,novel stories,7
12,novel,weaves,stories,weave,novel stories,7
13,novel,weaves,stories,weave,novel stories,7
14,novel,weaves,stories,weave,novel stories,7
15,river,weaves,way,weave,river way,4
16,river,weaves,way,weave,river way,4
17,river,weaves,way,weave,river way,4
18,river,weaves,way,weave,river way,4
19,person,weaves,hair,weave,person hair,3
20,book,weaves,stories,weave,book stories,3
21,trail,weaves,way,weave,trail way,3
22,trail,weaves,way,weave,trail way,3
23,person,weaves,hair,weave,person hair,3
24,trail,weaves,way,weave,trail way,3
25,film,weaved,narrative,weave,film narrative,3
26,people,weave,baskets,weave,people baskets,3
27,film,weaves,tapestry,weave,film tapestry,3
28,people,wove,baskets,weave,people baskets,3
29,book,weaves,stories,weave,book stories,3
30,person,weaves,hair,weave,person hair,3
31,film,weaves,tapestry,weave,film tapestry,3
32,film,weaves,narrative,weave,film narrative,3
33,people,wove,baskets,weave,people baskets,3
34,book,weaves,stories,weave,book stories,3
35,film,weaves,narrative,weave,film narrative,3
36,film,weaves,tapestry,weave,film tapestry,3
37,music,weaves,spell,weave,music spell,2
38,growth,wove,tie,weave,growth tie,2
39,women,weave,cloth,weave,women cloth,2
40,company,weaved,fabrics,weave,company fabrics,2
41,community,weaved,type,weave,community type,2
42,women,wove,hangings,weave,women hangings,2
43,film,weaves,interviews,weave,film interviews,2
44,lyrics,weave,tale,weave,lyrics tale,2
45,microdomains,weave,texture,weave,microdomains texture,2
46,spiders,weave,web,weave,spiders web,2
47,film,weaves,story,weave,film story,2
48,women,wove,baskets,weave,women baskets,2
49,voices,weave,pattern,weave,voices pattern,2
50,group,weaves,patterns,weave,group patterns,2
51,film,weaves,interviews,weave,film interviews,2
52,music,weaves,spell,weave,music spell,2
53,group,weaves,patterns,weave,group patterns,2
54,writers,weave,narrative,weave,writers narrative,2
55,inhabitants,wove,rugs,weave,inhabitants rugs,2
56,album,weaves,influences,weave,album influences,2
57,spiders,weave,web,weave,spiders web,2
58,text,weaving,most,weave,text most,2
59,microdomains,weave,texture,weave,microdomains texture,2
60,queue,weaves,way,weave,queue way,2
61,women,wove,clothes,weave,women clothes,2
62,story,weaves,themes,weave,story themes,2
63,wives,weave,clothing,weave,wives clothing,2
64,novel,weaves,story,weave,novel story,2
65,spider,weaves,net,weave,spider net,2
66,book,weaves,experiences,weave,book experiences,2
67,women,weave,cloth,weave,women cloth,2
68,novel,weaves,story,weave,novel story,2
69,film,weaves,story,weave,film story,2
70,book,weaves,tale,weave,book tale,2
71,plot,weaves,story,weave,plot story,2
72,generation,wove,ways,weave,generation ways,2
73,story,weaves,themes,weave,story themes,2
74,spider,weaves,net,weave,spider net,2
75,larva,weaves,cocoon,weave,larva cocoon,2
76,album,weaves,influences,weave,album influences,2
77,wives,weave,clothing,weave,wives clothing,2
78,queue,weaves,way,weave,queue way,2
79,road,weaves,way,weave,road way,2
80,guests,weave,tale,weave,guests tale,2
81,writers,weave,narrative,weave,writers narrative,2
82,voices,wove,pattern,weave,voices pattern,2
83,book,weaves,experiences,weave,book experiences,2
84,road,weaves,way,weave,road way,2
85,birds,weave,nests,weave,birds nests,2
86,women,weaved,clothes,weave,women clothes,2
87,community,weaved,type,weave,community type,2
88,women,wove,hangings,weave,women hangings,2
89,women,weave,baskets,weave,women baskets,2
90,women,weaved,textiles,weave,women textiles,2
91,women,wove,textiles,weave,women textiles,2
92,species,weave,nests,weave,species nests,2
93,lyrics,weave,tale,weave,lyrics tale,2
94,species,weave,nests,weave,species nests,2
95,inhabitants,wove,rugs,weave,inhabitants rugs,2
96,plot,weaves,story,weave,plot story,2
97,generation,wove,ways,weave,generation ways,2
98,book,weaves,tale,weave,book tale,2
99,growth,wove,tie,weave,growth tie,2
100,text,weaving,most,weave,text most,2
101,larva,weaves,cocoon,weave,larva cocoon,2
102,company,weaves,fabrics,weave,company fabrics,2
103,guests,weave,tale,weave,guests tale,2
104,birds,weave,nests,weave,birds nests,2
105,motherwit,wove,knowledge,weave,motherwit knowledge,1
106,couple,weaves,affair,weave,couple affair,1
107,girls,weaved,shroud,weave,girls shroud,1
108,exports,woven,products,weave,exports products,1
109,contestants,weave,way,weave,contestants way,1
110,work,weaves,allegory,weave,work allegory,1
111,narrative,weaves,objects,weave,narrative objects,1
112,score,weaved,way,weave,score way,1
113,uncertainties,weave,universe,weave,uncertainties universe,1
114,author,weaves,tapestry,weave,author tapestry,1
115,tasks,weaving,hair,weave,tasks hair,1
116,documentary,weaves,stakes,weave,documentary stakes,1
117,opener,weaves,collaborators,weave,opener collaborators,1
118,artist,weaves,thread,weave,artist thread,1
119,film,weaves,experience,weave,film experience,1
120,series,weaves,elements,weave,series elements,1
121,music,weaves,tapestry,weave,music tapestry,1
122,craftswomen,weave,garments,weave,craftswomen garments,1
123,songs,weave,tapestry,weave,songs tapestry,1
124,poetry,weaves,tapestry,weave,poetry tapestry,1
125,sisters,wove,flax,weave,sisters flax,1
126,people,weaving,history,weave,people history,1
127,film,weaves,number,weave,film number,1
128,author,weaves,series,weave,author series,1
129,novel,weaves,number,weave,novel number,1
130,voice,weaves,song,weave,voice song,1
131,stories,weave,themes,weave,stories themes,1
132,threads,wove,threads,weave,threads threads,1
133,arrangement,weaves,songs,weave,arrangement songs,1
134,characters,weave,one,weave,characters one,1
135,man,weaving,ruana,weave,man ruana,1
136,account,weaves,details,weave,account details,1
137,system,wove,fabric,weave,system fabric,1
138,both,weave,picture,weave,both picture,1
139,documentary,weaves,film,weave,documentary film,1
140,tablets,woven,baskets,weave,tablets baskets,1
141,lyrics,weave,message,weave,lyrics message,1
142,music,weaves,textures,weave,music textures,1
143,father,weaves,basket,weave,father basket,1
144,subgroups,weave,cloth,weave,subgroups cloth,1
145,women,weave,quilts,weave,women quilts,1
146,episode,weaves,reports,weave,episode reports,1
147,ones,weave,truths,weave,ones truths,1
148,production,weaving,tapes,weave,production tapes,1
149,sounds,weaving,symphony,weave,sounds symphony,1
150,weavers,wove,type,weave,weavers type,1
151,sisters,weaving,loom,weave,sisters loom,1
152,people,weave,lives,weave,people lives,1
153,features,woven,motifs,weave,features motifs,1
154,narrator,weaved,tale,weave,narrator tale,1
155,play,weaves,references,weave,play references,1
156,podium,weaves,landscaping,weave,podium landscaping,1
157,people,weave,biographies,weave,people biographies,1
158,girls,weaving,carpets,weave,girls carpets,1
159,chakrasar,woven,one,weave,chakrasar one,1
160,poet,wove,poems,weave,poet poems,1
161,decision,wove,proportionality,weave,decision proportionality,1
162,meditation,weaves,narrative,weave,meditation narrative,1
163,text,weaves,search,weave,text search,1
164,author,weaves,stories,weave,author stories,1
165,novel,weaves,narratives,weave,novel narratives,1
166,women,weaved,peplos,weave,women peplos,1
167,book,weaves,thread,weave,book thread,1
168,approach,weaves,array,weave,approach array,1
169,documentary,weaves,lives,weave,documentary lives,1
170,cloth,woven,cloaks,weave,cloth cloaks,1
171,novella,weaves,narrative,weave,novella narrative,1
172,spider,weaves,web,weave,spider web,1
173,plane,weaves,sounds,weave,plane sounds,1
174,thread,wove,stories,weave,thread stories,1
175,refugees,wove,carpets,weave,refugees carpets,1
176,liturgist,wove,actions,weave,liturgist actions,1
177,music,weaves,influences,weave,music influences,1
178,woman,weaves,cloth,weave,woman cloth,1
179,film,weaves,footage,weave,film footage,1
180,cotton,woven,clothing,weave,cotton clothing,1
181,opera,weaves,stories,weave,opera stories,1
182,night,weaved,patterns,weave,night patterns,1
183,novel,weaves,magic,weave,novel magic,1
184,duo,weave,characters,weave,duo characters,1
185,montage,weaves,life,weave,montage life,1
186,larva,weaves,web,weave,larva web,1
187,spiders,weave,webs,weave,spiders webs,1
188,priestesses,wove,textiles,weave,priestesses textiles,1
189,woman,weave,shirts,weave,woman shirts,1
190,author,weaves,narrative,weave,author narrative,1
191,trilogy,weaves,events,weave,trilogy events,1
192,season,weaves,stories,weave,season stories,1
193,film,weaves,series,weave,film series,1
194,work,weaves,histories,weave,work histories,1
195,project,weaves,narrative,weave,project narrative,1
196,path,weaves,way,weave,path way,1
197,book,weaves,history,weave,book history,1
198,men,weaved,wood,weave,men wood,1
199,author,weaves,accomplishments,weave,author accomplishments,1
200,wife,weaved,cotton,weave,wife cotton,1
201,women,weave,cloths,weave,women cloths,1
202,novel,weaves,tale,weave,novel tale,1
203,book,weaves,memories,weave,book memories,1
204,funk,weaves,way,weave,funk way,1
205,world,weaves,work,weave,world work,1
206,girls,wove,carpet,weave,girls carpet,1
207,film,wove,angles,weave,film angles,1
208,face,woven,locks,weave,face locks,1
209,video,weaves,images,weave,video images,1
210,author,wove,fabric,weave,author fabric,1
211,sister,weaves,elements,weave,sister elements,1
212,score,weaves,songs,weave,score songs,1
213,book,weaves,reactions,weave,book reactions,1
214,film,weaves,history,weave,film history,1
215,play,weaves,stories,weave,play stories,1
216,documentary,weaves,interviews,weave,documentary interviews,1
217,clarinet,weaves,melody,weave,clarinet melody,1
218,tribute,weaves,melodies,weave,tribute melodies,1
219,episode,wove,storylines,weave,episode storylines,1
220,film,weaves,accounts,weave,film accounts,1
221,mills,weave,mauds,weave,mills mauds,1
222,book,weaves,life,weave,book life,1
223,women,wove,kilims,weave,women kilims,1
224,series,weaves,stories,weave,series stories,1
225,story,weaves,narratives,weave,story narratives,1
226,protagonist,weaves,way,weave,protagonist way,1
227,group,weave,carpet,weave,group carpet,1
228,body,weaving,way,weave,body way,1
229,women,weaved,abata,weave,women abata,1
230,sound,weaves,hammock,weave,sound hammock,1
231,parties,weaved,web,weave,parties web,1
232,behaviour,weaves,web,weave,behaviour web,1
233,weaver,weaves,sections,weave,weaver sections,1
234,writing,weaves,themes,weave,writing themes,1
235,exhibition,wove,aspects,weave,exhibition aspects,1
236,men,weave,cloth,weave,men cloth,1
237,section,weaves,themes,weave,section themes,1
238,approach,weaves,story,weave,approach story,1
239,peasant,wove,length,weave,peasant length,1
240,video,weave,bodies,weave,video bodies,1
241,country,woven,women,weave,country women,1
242,plot,weaves,journey,weave,plot journey,1
243,system,wove,correspondents,weave,system correspondents,1
244,orchestra,weaves,webs,weave,orchestra webs,1
245,elements,weaved,way,weave,elements way,1
246,caterpillar,weaves,silk,weave,caterpillar silk,1
247,woollens,weaving,industry,weave,woollens industry,1
248,songs,weave,misogyny,weave,songs misogyny,1
249,author,weaves,sense,weave,author sense,1
250,director,weaves,string,weave,director string,1
251,wife,weaves,bags,weave,wife bags,1
252,mind,weaves,fantasies,weave,mind fantasies,1
253,dancer,weaves,rope,weave,dancer rope,1
254,singer,weaves,passages,weave,singer passages,1
255,story,weaves,tale,weave,story tale,1
256,scenes,weaving,baskets,weave,scenes baskets,1
257,inscription,weaves,role,weave,inscription role,1
258,film,weaves,breadth,weave,film breadth,1
259,program,weaves,culture,weave,program culture,1
260,coffee,wove,way,weave,coffee way,1
261,violins,weave,melody,weave,violins melody,1
262,artists,weave,tapestry,weave,artists tapestry,1
263,girls,weave,cloths,weave,girls cloths,1
264,novel,weaves,traditions,weave,novel traditions,1
265,film,weaves,strands,weave,film strands,1
266,film,weaves,links,weave,film links,1
267,director,weaves,stories,weave,director stories,1
268,film,weaves,events,weave,film events,1
269,threads,weave,tapestry,weave,threads tapestry,1
270,illustrators,wove,variations,weave,illustrators variations,1
271,music,weave,patterns,weave,music patterns,1
272,sage,weaves,journey,weave,sage journey,1
273,mythology,weaves,themes,weave,mythology themes,1
274,film,weaves,science,weave,film science,1
275,record,weaves,story,weave,record story,1
276,characters,weave,jaunt,weave,characters jaunt,1
277,grass,woven,hats,weave,grass hats,1
278,slaves,wove,icons,weave,slaves icons,1
279,larva,weave,leaves,weave,larva leaves,1
280,agreements,weave,jurisdiction,weave,agreements jurisdiction,1
281,descendants,weave,baskets,weave,descendants baskets,1
282,novel,weaves,ambition,weave,novel ambition,1
