,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,team,wowed,audiences,wow,team audiences,1
1,grouping,wowed,audiences,wow,grouping audiences,1
2,champion,wowed,crowd,wow,champion crowd,1
3,show,wows,farmers,wow,show farmers,1
4,both,wowed,audience,wow,both audience,1
5,footage,wowed,audience,wow,footage audience,1
6,dance,wowed,audiences,wow,dance audiences,1
7,links,wows,critics,wow,links critics,1
8,friend,wowing,audience,wow,friend audience,1
9,teaser,wowed,partygoers,wow,teaser partygoers,1
10,girls,wowed,director,wow,girls director,1
11,none,wowed,judges,wow,none judges,1
12,troupe,wowed,crowd,wow,troupe crowd,1
13,singer,wowed,audience,wow,singer audience,1
14,series,wowed,fans,wow,series fans,1
15,act,wowed,crowd,wow,act crowd,1
16,singer,wowed,audiences,wow,singer audiences,1
17,swaggers,wows,audiences,wow,swaggers audiences,1
