,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,gunboats,aimed,guns,aim,gunboats guns,5
1,gunboats,aimed,guns,aim,gunboats guns,5
2,gunboats,aimed,guns,aim,gunboats guns,5
3,gunboats,aimed,guns,aim,gunboats guns,5
4,gunboats,aimed,guns,aim,gunboats guns,5
5,player,aims,weapon,aim,player weapon,4
6,player,aim,weapon,aim,player weapon,4
7,player,aims,weapon,aim,player weapon,4
8,player,aims,weapon,aim,player weapon,4
9,predators,aim,predator,aim,predators predator,3
10,predators,aim,predator,aim,predators predator,3
11,predators,aim,predator,aim,predators predator,3
12,death,aims,anger,aim,death anger,3
13,death,aims,anger,aim,death anger,3
14,death,aims,anger,aim,death anger,3
15,group,aiming,firearms,aim,group firearms,2
16,proposals,aim,policy,aim,proposals policy,2
17,proposals,aim,policy,aim,proposals policy,2
18,player,aims,bolle,aim,player bolle,2
19,aircraft,aimed,bombs,aim,aircraft bombs,2
20,player,aims,bolle,aim,player bolle,2
21,player,aim,weapons,aim,player weapons,2
22,guards,aimed,guns,aim,guards guns,2
23,school,aims,services,aim,school services,2
24,man,aims,gun,aim,man gun,2
25,soldier,aiming,rifle,aim,soldier rifle,2
26,initiative,aims,efforts,aim,initiative efforts,2
27,police,aimed,guns,aim,police guns,2
28,man,aimed,pistol,aim,man pistol,2
29,rebels,aimed,guns,aim,rebels guns,2
30,police,aiming,guns,aim,police guns,2
31,initiative,aims,efforts,aim,initiative efforts,2
32,soldier,aims,rifle,aim,soldier rifle,2
33,players,aim,ball,aim,players ball,2
34,group,aiming,firearms,aim,group firearms,2
35,players,aim,ball,aim,players ball,2
36,aircraft,aimed,torpedo,aim,aircraft torpedo,2
37,critique,aim,metta,aim,critique metta,2
38,guards,aimed,guns,aim,guards guns,2
39,soldiers,aimed,guns,aim,soldiers guns,2
40,set,aimed,gun,aim,set gun,2
41,aircraft,aims,bombs,aim,aircraft bombs,2
42,soldiers,aiming,guns,aim,soldiers guns,2
43,funeral,aimed,pistol,aim,funeral pistol,2
44,man,aims,pistol,aim,man pistol,2
45,person,aimed,gun,aim,person gun,2
46,funeral,aimed,pistol,aim,funeral pistol,2
47,person,aimed,gun,aim,person gun,2
48,man,aimed,gun,aim,man gun,2
49,player,aims,weapons,aim,player weapons,2
50,critique,aim,metta,aim,critique metta,2
51,rebels,aimed,guns,aim,rebels guns,2
52,set,aimed,gun,aim,set gun,2
53,aircraft,aimed,torpedo,aim,aircraft torpedo,2
54,school,aims,services,aim,school services,2
55,spirit,aims,sights,aim,spirit sights,1
56,treaty,aims,mechanisms,aim,treaty mechanisms,1
57,players,aim,cannon,aim,players cannon,1
58,college,aims,areas,aim,college areas,1
59,approach,aims,era,aim,approach era,1
60,city,aiming,residents,aim,city residents,1
61,museum,aims,exhibitions,aim,museum exhibitions,1
62,dwarf,aims,weapon,aim,dwarf weapon,1
63,statues,aim,arrows,aim,statues arrows,1
64,gunner,aimed,weapon,aim,gunner weapon,1
65,friends,aimed,gun,aim,friends gun,1
66,research,aims,capacity,aim,research capacity,1
67,child,aimed,gun,aim,child gun,1
68,controller,aims,rifle,aim,controller rifle,1
69,competition,aims,countries,aim,competition countries,1
70,bill,aims,access,aim,bill access,1
71,player,aims,ballista,aim,player ballista,1
72,center,aims,research,aim,center research,1
73,chapter,aims,list,aim,chapter list,1
74,mouse,aims,aircraft,aim,mouse aircraft,1
75,phrase,aims,laserlike,aim,phrase laserlike,1
76,efforts,aim,steps,aim,efforts steps,1
77,resistance,aims,collapse,aim,resistance collapse,1
78,works,aimed,portraits,aim,works portraits,1
79,henchman,aims,gun,aim,henchman gun,1
80,public,aim,cameras,aim,public cameras,1
81,record,aims,universe,aim,record universe,1
82,activity,aims,dynamics,aim,activity dynamics,1
83,council,aims,development,aim,council development,1
84,purposes,aim,incidents,aim,purposes incidents,1
85,school,aims,formation,aim,school formation,1
86,school,aims,service,aim,school service,1
87,defeat,aimed,bow,aim,defeat bow,1
88,operator,aim,camera,aim,operator camera,1
89,convention,aims,land,aim,convention land,1
90,company,aims,links,aim,company links,1
91,theories,aim,any,aim,theories any,1
92,band,aim,whimsy,aim,band whimsy,1
93,revisionist,aims,pressure,aim,revisionist pressure,1
94,scheme,aims,orphans,aim,scheme orphans,1
95,sentry,aiming,rifle,aim,sentry rifle,1
96,members,aimed,remarks,aim,members remarks,1
97,actor,aims,work,aim,actor work,1
98,advocacy,aims,voice,aim,advocacy voice,1
99,course,aims,programs,aim,course programs,1
100,watch,aims,gun,aim,watch gun,1
101,suspect,aims,weapon,aim,suspect weapon,1
102,parts,aims,belligerence,aim,parts belligerence,1
103,accuracy,aimed,degrees,aim,accuracy degrees,1
104,man,aims,fist,aim,man fist,1
105,album,aimed,singer,aim,album singer,1
106,leader,aimed,words,aim,leader words,1
107,movement,aims,amendment,aim,movement amendment,1
108,application,aims,protocols,aim,application protocols,1
109,cameraman,aimed,camera,aim,cameraman camera,1
110,ambition,aims,aspect,aim,ambition aspect,1
111,linkages,aim,university,aim,linkages university,1
112,film,aims,mark,aim,film mark,1
113,form,aims,breathes,aim,form breathes,1
114,number,aimed,sanctions,aim,number sanctions,1
115,team,aimed,promotion,aim,team promotion,1
116,archers,aim,arrows,aim,archers arrows,1
117,journalism,aims,forms,aim,journalism forms,1
118,parties,aim,stone,aim,parties stone,1
119,program,aims,meaning,aim,program meaning,1
