,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,police,apprehended,suspect,apprehend,police suspect,6
1,police,apprehend,suspect,apprehend,police suspect,6
2,police,apprehend,suspect,apprehend,police suspect,6
3,police,apprehended,suspect,apprehend,police suspect,6
4,police,apprehended,suspect,apprehend,police suspect,6
5,police,apprehended,suspect,apprehend,police suspect,6
6,police,apprehended,man,apprehend,police man,3
7,police,apprehended,man,apprehend,police man,3
8,police,apprehended,man,apprehend,police man,3
9,officers,apprehended,man,apprehend,officers man,2
10,claimant,apprehends,application,apprehend,claimant application,2
11,officers,apprehended,man,apprehend,officers man,2
12,police,apprehend,driver,apprehend,police driver,2
13,police,apprehended,suspects,apprehend,police suspects,2
14,forces,apprehended,militants,apprehend,forces militants,2
15,officer,apprehended,possibility,apprehend,officer possibility,2
16,members,apprehended,members,apprehend,members members,2
17,police,apprehended,men,apprehend,police men,2
18,government,apprehended,party,apprehend,government party,2
19,government,apprehended,party,apprehend,government party,2
20,society,apprehends,mode,apprehend,society mode,2
21,claimant,apprehends,application,apprehend,claimant application,2
22,forces,apprehended,militants,apprehend,forces militants,2
23,society,apprehends,mode,apprehend,society mode,2
24,officer,apprehended,possibility,apprehend,officer possibility,2
25,vessel,apprehended,hijackers,apprehend,vessel hijackers,2
26,police,apprehended,driver,apprehend,police driver,2
27,vessel,apprehended,hijackers,apprehend,vessel hijackers,2
28,members,apprehended,members,apprehend,members members,2
29,police,apprehended,suspects,apprehend,police suspects,2
30,police,apprehended,men,apprehend,police men,2
31,help,apprehending,killer,apprehend,help killer,1
32,two,apprehend,thief,apprehend,two thief,1
33,teams,apprehended,suspects,apprehend,teams suspects,1
34,authorities,apprehended,stowaways,apprehend,authorities stowaways,1
35,mind,apprehends,object,apprehend,mind object,1
36,factors,apprehend,object,apprehend,factors object,1
37,police,apprehend,cuckoo,apprehend,police cuckoo,1
38,police,apprehended,girls,apprehend,police girls,1
39,members,apprehend,casualties,apprehend,members casualties,1
40,army,apprehended,number,apprehend,army number,1
41,police,apprehend,one,apprehend,police one,1
42,police,apprehend,numbers,apprehend,police numbers,1
43,police,apprehend,captive,apprehend,police captive,1
44,units,apprehended,traffickers,apprehend,units traffickers,1
45,populations,apprehend,notion,apprehend,populations notion,1
46,men,apprehended,men,apprehend,men men,1
47,cops,apprehend,criminals,apprehend,cops criminals,1
48,police,apprehended,assailants,apprehend,police assailants,1
49,book,apprehends,material,apprehend,book material,1
50,frigate,apprehended,pirates,apprehend,frigate pirates,1
51,words,apprehend,reality,apprehend,words reality,1
52,authorities,apprehend,attackers,apprehend,authorities attackers,1
53,warship,apprehended,boats,apprehend,warship boats,1
54,project,apprehend,perpetrators,apprehend,project perpetrators,1
55,members,apprehend,leader,apprehend,members leader,1
56,ship,apprehended,pirates,apprehend,ship pirates,1
57,leper,apprehend,person,apprehend,leper person,1
58,agents,apprehend,spy,apprehend,agents spy,1
59,government,apprehend,authors,apprehend,government authors,1
60,detention,apprehends,thousands,apprehend,detention thousands,1
61,employees,apprehend,styles,apprehend,employees styles,1
62,police,apprehend,wrongdoers,apprehend,police wrongdoers,1
63,soldiers,apprehended,suspects,apprehend,soldiers suspects,1
64,members,apprehend,group,apprehend,members group,1
65,man,apprehends,nature,apprehend,man nature,1
66,user,apprehend,criminal,apprehend,user criminal,1
67,knowledge,apprehends,truth,apprehend,knowledge truth,1
68,authorities,apprehended,citizens,apprehend,authorities citizens,1
69,eye,apprehends,combination,apprehend,eye combination,1
70,data,apprehend,perpetrator,apprehend,data perpetrator,1
71,police,apprehended,survivors,apprehend,police survivors,1
72,military,apprehends,group,apprehend,military group,1
73,sepoys,apprehended,all,apprehend,sepoys all,1
74,police,apprehend,gunman,apprehend,police gunman,1
75,mind,apprehended,something,apprehend,mind something,1
76,cutter,apprehended,smugglers,apprehend,cutter smugglers,1
77,eye,apprehends,light,apprehend,eye light,1
78,men,apprehended,police,apprehend,men police,1
