,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,company,assembled,cars,assemble,company cars,6
1,company,assembles,cars,assemble,company cars,6
2,company,assembled,cars,assemble,company cars,6
3,company,assembled,cars,assemble,company cars,6
4,company,assembled,cars,assemble,company cars,6
5,company,assembling,cars,assemble,company cars,6
6,king,assembled,army,assemble,king army,5
7,plant,assembled,vehicles,assemble,plant vehicles,5
8,king,assembled,army,assemble,king army,5
9,plant,assembled,vehicles,assemble,plant vehicles,5
10,king,assembled,army,assemble,king army,5
11,plant,assembles,vehicles,assemble,plant vehicles,5
12,plant,assembled,vehicles,assemble,plant vehicles,5
13,plant,assembled,vehicles,assemble,plant vehicles,5
14,king,assembled,army,assemble,king army,5
15,king,assembled,army,assemble,king army,5
16,player,assembles,team,assemble,player team,4
17,player,assembles,team,assemble,player team,4
18,player,assembles,team,assemble,player team,4
19,player,assembles,team,assemble,player team,4
20,division,assembled,arrival,assemble,division arrival,3
21,company,assembles,vehicles,assemble,company vehicles,3
22,number,assembled,action,assemble,number action,3
23,government,assembled,force,assemble,government force,3
24,government,assembled,force,assemble,government force,3
25,division,assembled,arrival,assemble,division arrival,3
26,division,assembled,arrival,assemble,division arrival,3
27,force,assembled,aircraft,assemble,force aircraft,3
28,participants,assemble,teams,assemble,participants teams,3
29,company,assembled,vehicles,assemble,company vehicles,3
30,force,assembled,aircraft,assemble,force aircraft,3
31,nomads,assembled,princes,assemble,nomads princes,3
32,nomads,assembled,princes,assemble,nomads princes,3
33,duo,assembled,team,assemble,duo team,3
34,duo,assembled,team,assemble,duo team,3
35,duo,assembled,team,assemble,duo team,3
36,company,assembled,vehicles,assemble,company vehicles,3
37,nomads,assembled,princes,assemble,nomads princes,3
38,number,assembled,action,assemble,number action,3
39,sultan,assembled,army,assemble,sultan army,3
40,force,assembled,aircraft,assemble,force aircraft,3
41,participants,assemble,teams,assemble,participants teams,3
42,number,assembled,action,assemble,number action,3
43,sultan,assembled,army,assemble,sultan army,3
44,government,assembled,force,assemble,government force,3
45,participants,assemble,teams,assemble,participants teams,3
46,sultan,assembled,army,assemble,sultan army,3
47,crew,assembled,three,assemble,crew three,2
48,brother,assembled,collection,assemble,brother collection,2
49,couple,assembled,collection,assemble,couple collection,2
50,staff,assemble,pizza,assemble,staff pizza,2
51,commander,assembled,squadron,assemble,commander squadron,2
52,ministers,assembled,vote,assemble,ministers vote,2
53,force,assembled,waste,assemble,force waste,2
54,album,assembled,recordings,assemble,album recordings,2
55,club,assembled,squad,assemble,club squad,2
56,astronomers,assembled,photograph,assemble,astronomers photograph,2
57,emperor,assembled,ministers,assemble,emperor ministers,2
58,factory,assembled,units,assemble,factory units,2
59,book,assembled,work,assemble,book work,2
60,participants,assemble,team,assemble,participants team,2
61,book,assembles,work,assemble,book work,2
62,people,assembled,evening,assemble,people evening,2
63,thousands,assemble,homage,assemble,thousands homage,2
64,emperor,assembled,ministers,assemble,emperor ministers,2
65,colonists,assembled,expedition,assemble,colonists expedition,2
66,people,assembled,feast,assemble,people feast,2
67,players,assemble,teams,assemble,players teams,2
68,brother,assembled,collection,assemble,brother collection,2
69,locals,assembled,complaint,assemble,locals complaint,2
70,factory,assembled,copy,assemble,factory copy,2
71,king,assembled,host,assemble,king host,2
72,thousands,assemble,homage,assemble,thousands homage,2
73,company,assembled,products,assemble,company products,2
74,set,assembled,philosophies,assemble,set philosophies,2
75,set,assembled,philosophies,assemble,set philosophies,2
76,majesty,assembled,court,assemble,majesty court,2
77,crowd,assembled,man,assemble,crowd man,2
78,factory,assembled,copy,assemble,factory copy,2
79,citizens,assembled,tribe,assemble,citizens tribe,2
80,site,assembles,weapons,assemble,site weapons,2
81,government,assembled,coalition,assemble,government coalition,2
82,driver,assembled,scooter,assemble,driver scooter,2
83,site,assembles,weapons,assemble,site weapons,2
84,factories,assembled,models,assemble,factories models,2
85,teams,assemble,works,assemble,teams works,2
86,club,assembled,squad,assemble,club squad,2
87,peasantry,assembled,process,assemble,peasantry process,2
88,majesty,assembled,court,assemble,majesty court,2
89,show,assembled,works,assemble,show works,2
90,team,assembled,corpus,assemble,team corpus,2
91,player,assemble,pieces,assemble,player pieces,2
92,soldiers,assembled,rebels,assemble,soldiers rebels,2
93,member,assembled,cadets,assemble,member cadets,2
94,locals,assembled,complaint,assemble,locals complaint,2
95,division,assembled,brigades,assemble,division brigades,2
96,people,assembled,feast,assemble,people feast,2
97,two,assembled,team,assemble,two team,2
98,crowd,assembled,man,assemble,crowd man,2
99,mind,assembles,relationships,assemble,mind relationships,2
100,defenders,assembled,warships,assemble,defenders warships,2
101,works,assemble,borders,assemble,works borders,2
102,hero,assembles,crew,assemble,hero crew,2
103,album,assembles,recordings,assemble,album recordings,2
104,government,assembled,coalition,assemble,government coalition,2
105,film,assembled,cast,assemble,film cast,2
106,astronomers,assembled,photograph,assemble,astronomers photograph,2
107,team,assembled,corpus,assemble,team corpus,2
108,citizens,assembled,tribe,assemble,citizens tribe,2
109,show,assembled,works,assemble,show works,2
110,company,assembles,products,assemble,company products,2
111,people,assembled,evening,assemble,people evening,2
112,bomb,assembled,engineers,assemble,bomb engineers,2
113,bomb,assembled,engineers,assemble,bomb engineers,2
114,son,assembling,team,assemble,son team,2
115,band,assembled,album,assemble,band album,2
116,king,assembled,host,assemble,king host,2
117,soldiers,assembled,rebels,assemble,soldiers rebels,2
118,division,assembled,brigades,assemble,division brigades,2
119,teams,assemble,works,assemble,teams works,2
120,player,assemble,pieces,assemble,player pieces,2
121,band,assembled,river,assemble,band river,2
122,factory,assembled,vehicle,assemble,factory vehicle,2
123,driver,assembled,scooter,assemble,driver scooter,2
124,factory,assembles,vehicle,assemble,factory vehicle,2
125,players,assemble,teams,assemble,players teams,2
126,demonstrations,assembled,people,assemble,demonstrations people,2
127,factories,assemble,models,assemble,factories models,2
128,force,assembled,waste,assemble,force waste,2
129,works,assemble,borders,assemble,works borders,2
130,cardinals,assembled,proceedings,assemble,cardinals proceedings,2
131,band,assembled,album,assemble,band album,2
132,hero,assembles,crew,assemble,hero crew,2
133,peasantry,assembled,process,assemble,peasantry process,2
134,ministers,assembled,vote,assemble,ministers vote,2
135,staff,assemble,pizza,assemble,staff pizza,2
136,squadron,assembled,fire,assemble,squadron fire,2
137,crew,assembled,three,assemble,crew three,2
138,bodies,assembled,locomotives,assemble,bodies locomotives,2
139,bodies,assembled,locomotives,assemble,bodies locomotives,2
140,commander,assembled,squadron,assemble,commander squadron,2
141,painting,assembles,range,assemble,painting range,2
142,son,assembled,team,assemble,son team,2
143,colonists,assembled,expedition,assemble,colonists expedition,2
144,band,assembled,river,assemble,band river,2
145,pair,assembled,band,assemble,pair band,2
146,painting,assembles,range,assemble,painting range,2
147,demonstrations,assembled,people,assemble,demonstrations people,2
148,member,assembled,cadets,assemble,member cadets,2
149,defenders,assembled,warships,assemble,defenders warships,2
150,pair,assembled,band,assemble,pair band,2
151,mind,assembles,relationships,assemble,mind relationships,2
152,user,assemble,clips,assemble,user clips,2
153,user,assemble,clips,assemble,user clips,2
154,cardinals,assembled,proceedings,assemble,cardinals proceedings,2
155,participants,assemble,team,assemble,participants team,2
156,squadron,assembled,fire,assemble,squadron fire,2
157,couple,assembling,collection,assemble,couple collection,2
158,film,assembled,cast,assemble,film cast,2
159,two,assembled,team,assemble,two team,2
160,factory,assembled,units,assemble,factory units,2
161,locomotives,assemble,trains,assemble,locomotives trains,1
162,citizens,assembled,force,assemble,citizens force,1
163,segment,assemble,data,assemble,segment data,1
164,players,assemble,days,assemble,players days,1
165,accomplishments,assembled,team,assemble,accomplishments team,1
166,militia,assembled,four,assemble,militia four,1
167,work,assembles,group,assemble,work group,1
168,contestants,assemble,announcement,assemble,contestants announcement,1
169,shareholders,assemble,share,assemble,shareholders share,1
170,book,assembles,research,assemble,book research,1
171,debut,assembled,core,assemble,debut core,1
172,band,assembled,office,assemble,band office,1
173,customer,assembles,furniture,assemble,customer furniture,1
174,vigilantes,assembled,force,assemble,vigilantes force,1
175,firm,assembled,team,assemble,firm team,1
176,regiment,assembled,sailing,assemble,regiment sailing,1
177,team,assembled,seasons,assemble,team seasons,1
178,photographers,assembled,photographs,assemble,photographers photographs,1
179,players,assemble,team,assemble,players team,1
180,people,assembling,collections,assemble,people collections,1
181,album,assembled,publisher,assemble,album publisher,1
182,project,assembled,team,assemble,project team,1
183,factory,assembled,all,assemble,factory all,1
184,pirates,assembled,group,assemble,pirates group,1
185,locomotives,assemble,coaches,assemble,locomotives coaches,1
186,people,assembled,way,assemble,people way,1
187,company,assembled,smartphone,assemble,company smartphone,1
188,book,assembles,information,assemble,book information,1
189,viewers,assemble,team,assemble,viewers team,1
190,cell,assemble,viruses,assemble,cell viruses,1
191,project,assembles,partners,assemble,project partners,1
192,year,assembled,army,assemble,year army,1
193,party,assemble,weapons,assemble,party weapons,1
194,annotates,assembled,transcripts,assemble,annotates transcripts,1
195,militia,assembled,fire,assemble,militia fire,1
196,members,assemble,pieces,assemble,members pieces,1
197,organization,assembled,campaigners,assemble,organization campaigners,1
198,brother,assemble,artists,assemble,brother artists,1
199,label,assembled,recordings,assemble,label recordings,1
200,narrator,assembles,props,assemble,narrator props,1
201,generation,assembled,obeisance,assemble,generation obeisance,1
202,technology,assembles,technologies,assemble,technology technologies,1
203,committee,assembled,squad,assemble,committee squad,1
204,origin,assembled,armies,assemble,origin armies,1
205,all,assembled,compilers,assemble,all compilers,1
206,album,assembled,best,assemble,album best,1
207,kings,assembled,armies,assemble,kings armies,1
208,figure,assembled,three,assemble,figure three,1
209,clubhouse,assembled,onsite,assemble,clubhouse onsite,1
210,delivery,assembled,aircraft,assemble,delivery aircraft,1
211,organization,assembled,councils,assemble,organization councils,1
212,airplanes,assembled,onsite,assemble,airplanes onsite,1
213,scrolls,assembled,glass,assemble,scrolls glass,1
214,women,assembled,panties,assemble,women panties,1
215,court,assembles,soiree,assemble,court soiree,1
216,men,assembled,militia,assemble,men militia,1
217,school,assemble,access,assemble,school access,1
218,variations,assemble,phrases,assemble,variations phrases,1
219,players,assemble,warband,assemble,players warband,1
220,friend,assembled,members,assemble,friend members,1
221,trophy,assembled,maker,assemble,trophy maker,1
222,people,assemble,boats,assemble,people boats,1
223,one,assembles,team,assemble,one team,1
224,city,assembled,buses,assemble,city buses,1
225,artist,assembled,fair,assemble,artist fair,1
226,person,assemble,box,assemble,person box,1
227,school,assembled,handful,assemble,school handful,1
228,team,assembled,systems,assemble,team systems,1
229,team,assembled,bicycles,assemble,team bicycles,1
230,series,assembled,parts,assemble,series parts,1
231,brotherhood,assembled,library,assemble,brotherhood library,1
232,parliament,assembled,army,assemble,parliament army,1
233,men,assembled,dice,assemble,men dice,1
234,guards,assembled,clergy,assemble,guards clergy,1
235,facility,assembles,models,assemble,facility models,1
236,dock,assembled,locomotive,assemble,dock locomotive,1
237,group,assembled,route,assemble,group route,1
238,publications,assembled,user,assemble,publications user,1
239,girlfriends,assemble,bed,assemble,girlfriends bed,1
240,commander,assembled,expedition,assemble,commander expedition,1
241,factory,assembled,machines,assemble,factory machines,1
242,daughter,assembled,footage,assemble,daughter footage,1
243,men,assembled,objective,assemble,men objective,1
244,commission,assembled,fact,assemble,commission fact,1
245,people,assembled,consecutive,assemble,people consecutive,1
246,people,assembled,demonstration,assemble,people demonstration,1
247,members,assembled,boat,assemble,members boat,1
248,rival,assembled,team,assemble,rival team,1
249,sons,assembled,code,assemble,sons code,1
250,group,assembled,society,assemble,group society,1
251,player,assembles,party,assemble,player party,1
252,city,assembled,team,assemble,city team,1
253,images,assembled,team,assemble,images team,1
254,monk,assembled,crowds,assemble,monk crowds,1
255,duo,assembled,album,assemble,duo album,1
256,branch,assembled,cars,assemble,branch cars,1
257,persons,assembled,appearance,assemble,persons appearance,1
258,friend,assembled,posse,assemble,friend posse,1
259,cones,assemble,discs,assemble,cones discs,1
260,earls,assembled,men,assemble,earls men,1
261,creators,assemble,costumes,assemble,creators costumes,1
262,mayor,assembled,group,assemble,mayor group,1
263,man,assembled,congregation,assemble,man congregation,1
264,communities,assembled,group,assemble,communities group,1
265,funeral,assembled,number,assemble,funeral number,1
266,company,assembles,teams,assemble,company teams,1
267,flagella,assembled,motion,assemble,flagella motion,1
268,diners,assemble,rolls,assemble,diners rolls,1
269,troop,assembled,place,assemble,troop place,1
270,king,assembled,force,assemble,king force,1
271,troops,assemble,distribution,assemble,troops distribution,1
272,successor,assembled,cabinet,assemble,successor cabinet,1
273,company,assembled,one,assemble,company one,1
274,show,assembles,artists,assemble,show artists,1
275,magazine,assembled,team,assemble,magazine team,1
276,player,assemble,formations,assemble,player formations,1
277,fans,assemble,time,assemble,fans time,1
278,teams,assembled,profiles,assemble,teams profiles,1
279,two,assembled,darkroom,assemble,two darkroom,1
280,band,assembled,track,assemble,band track,1
281,king,assembled,warriors,assemble,king warriors,1
282,players,assemble,kind,assemble,players kind,1
