,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
1,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
2,forces,attacked,forces,attack,forces forces,40
3,forces,attack,forces,attack,forces forces,40
4,forces,attacked,forces,attack,forces forces,40
5,forces,attacked,forces,attack,forces forces,40
6,forces,attacked,forces,attack,forces forces,40
7,forces,attack,forces,attack,forces forces,40
8,forces,attacked,forces,attack,forces forces,40
9,forces,attacked,forces,attack,forces forces,40
10,forces,attacked,forces,attack,forces forces,40
11,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
12,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
13,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
14,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
15,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
16,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
17,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
18,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
19,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
20,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
21,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
22,forces,attacked,forces,attack,forces forces,40
23,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
24,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
25,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
26,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
27,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
28,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
29,forces,attacked,forces,attack,forces forces,40
30,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
31,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
32,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
33,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
34,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
35,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
36,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
37,forces,attacked,forces,attack,forces forces,40
38,forces,attacked,forces,attack,forces forces,40
39,mobs,attacked,neighborhoods,attack,mobs neighborhoods,40
