,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,fires,baked,ground,bake,fires ground,5
1,fires,baked,ground,bake,fires ground,5
2,fires,baked,ground,bake,fires ground,5
3,fires,baked,ground,bake,fires ground,5
4,fires,baked,ground,bake,fires ground,5
5,bakers,baked,bread,bake,bakers bread,2
6,women,bake,cookies,bake,women cookies,2
7,women,baking,cookies,bake,women cookies,2
8,workers,baked,bricks,bake,workers bricks,2
9,population,bake,bread,bake,population bread,2
10,households,baked,bread,bake,households bread,2
11,households,baked,bread,bake,households bread,2
12,wives,baked,bread,bake,wives bread,2
13,bakers,baked,bread,bake,bakers bread,2
14,wife,baked,bread,bake,wife bread,2
15,mother,baked,pies,bake,mother pies,2
16,wife,bake,bread,bake,wife bread,2
17,workers,bake,bricks,bake,workers bricks,2
18,population,bake,bread,bake,population bread,2
19,mother,baked,pies,bake,mother pies,2
20,wives,baked,bread,bake,wives bread,2
21,loaf,baked,type,bake,loaf type,1
22,baker,baked,cookies,bake,baker cookies,1
23,boys,bake,potatoes,bake,boys potatoes,1
24,fiancé,bakes,crepes,bake,fiancé crepes,1
25,farmers,baked,goods,bake,farmers goods,1
26,ice,bake,batch,bake,ice batch,1
27,confectioner,baked,pretzels,bake,confectioner pretzels,1
28,stores,bake,bread,bake,stores bread,1
29,player,baking,cookies,bake,player cookies,1
30,families,baked,bread,bake,families bread,1
31,nuns,baked,bread,bake,nuns bread,1
32,enough,baking,heat,bake,enough heat,1
33,women,baked,bread,bake,women bread,1
34,biscuit,baking,equipment,bake,biscuit equipment,1
35,visitors,baking,supplies,bake,visitors supplies,1
36,serves,baked,goods,bake,serves goods,1
37,tracks,baking,skills,bake,tracks skills,1
38,team,bakes,cake,bake,team cake,1
39,dinner,baked,snapper,bake,dinner snapper,1
40,company,bakes,all,bake,company all,1
41,woman,baked,loaf,bake,woman loaf,1
42,applicants,baking,recipes,bake,applicants recipes,1
43,types,baked,raw,bake,types raw,1
44,pampuchy,baked,duck,bake,pampuchy duck,1
45,lids,baking,pan,bake,lids pan,1
46,toppings,baking,technique,bake,toppings technique,1
47,hostess,baked,loaf,bake,hostess loaf,1
48,wife,baked,cookies,bake,wife cookies,1
49,firm,baked,bricks,bake,firm bricks,1
50,parts,baking,soda,bake,parts soda,1
51,meat,baked,whole,bake,meat whole,1
52,community,baking,class,bake,community class,1
53,salad,baked,cardoon,bake,salad cardoon,1
54,friends,baked,bread,bake,friends bread,1
55,company,baked,cupcakes,bake,company cupcakes,1
56,all,baked,crossroads,bake,all crossroads,1
57,children,bake,biscuits,bake,children biscuits,1
58,sisters,bake,host,bake,sisters host,1
59,sun,baked,earth,bake,sun earth,1
60,restaurant,bakes,product,bake,restaurant product,1
61,cookies,baked,challenge,bake,cookies challenge,1
62,grandmother,baking,cookies,bake,grandmother cookies,1
63,snack,baking,powder,bake,snack powder,1
64,synagogue,baked,hamantashen,bake,synagogue hamantashen,1
