,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,missionaries,baptized,people,baptize,missionaries people,4
1,missionaries,baptized,people,baptize,missionaries people,4
2,missionaries,baptize,people,baptize,missionaries people,4
3,missionaries,baptized,people,baptize,missionaries people,4
4,missionaries,baptized,converts,baptize,missionaries converts,3
5,missionaries,baptized,converts,baptize,missionaries converts,3
6,missionaries,baptized,converts,baptize,missionaries converts,3
7,missionaries,baptized,natives,baptize,missionaries natives,2
8,mission,baptized,people,baptize,mission people,2
9,jihiyakusha,baptized,children,baptize,jihiyakusha children,2
10,jihiyakusha,baptized,children,baptize,jihiyakusha children,2
11,priest,baptized,baby,baptize,priest baby,2
12,couple,baptized,children,baptize,couple children,2
13,priest,baptized,baby,baptize,priest baby,2
14,couple,baptized,children,baptize,couple children,2
15,sister,baptized,brother,baptize,sister brother,2
16,missionaries,baptized,natives,baptize,missionaries natives,2
17,sister,baptized,brother,baptize,sister brother,2
18,mission,baptized,people,baptize,mission people,2
19,politicians,baptized,project,baptize,politicians project,1
20,girl,baptized,beginnings,baptize,girl beginnings,1
21,missionary,baptized,people,baptize,missionary people,1
22,child,baptized,church,baptize,child church,1
23,man,baptized,missionaries,baptize,man missionaries,1
24,monk,baptized,most,baptize,monk most,1
25,public,baptized,woman,baptize,public woman,1
26,children,baptized,ministers,baptize,children ministers,1
27,priests,baptized,hundreds,baptize,priests hundreds,1
28,church,baptized,people,baptize,church people,1
29,spring,baptized,converts,baptize,spring converts,1
30,colonists,baptized,slaves,baptize,colonists slaves,1
31,missionaries,baptized,convert,baptize,missionaries convert,1
32,bandeirante,baptized,region,baptize,bandeirante region,1
33,means,baptized,same,baptize,means same,1
34,novice,baptizes,initiator,baptize,novice initiator,1
35,blood,baptized,children,baptize,blood children,1
36,missionaries,baptized,islanders,baptize,missionaries islanders,1
37,party,baptized,children,baptize,party children,1
38,bishop,baptized,daughter,baptize,bishop daughter,1
39,life,baptized,day,baptize,life day,1
40,government,baptized,date,baptize,government date,1
41,couple,baptized,day,baptize,couple day,1
42,father,baptized,third,baptize,father third,1
43,chaplain,baptizes,child,baptize,chaplain child,1
44,apostles,baptized,converts,baptize,apostles converts,1
45,children,baptized,communion,baptize,children communion,1
46,priest,baptized,daughter,baptize,priest daughter,1
47,field,baptizing,people,baptize,field people,1
48,members,baptized,faith,baptize,members faith,1
49,midwives,baptized,children,baptize,midwives children,1
50,father,baptized,people,baptize,father people,1
51,actor,baptizing,father,baptize,actor father,1
52,father,baptize,son,baptize,father son,1
53,missionaries,baptized,families,baptize,missionaries families,1
54,daughter,baptized,name,baptize,daughter name,1
55,members,baptized,children,baptize,members children,1
56,sun,baptize,emblem,baptize,sun emblem,1
57,daughter,baptized,priest,baptize,daughter priest,1
58,missionaries,baptized,number,baptize,missionaries number,1
59,minister,baptized,child,baptize,minister child,1
60,bishop,baptized,locals,baptize,bishop locals,1
61,society,baptized,thousands,baptize,society thousands,1
62,priests,baptized,number,baptize,priests number,1
63,congregation,baptized,members,baptize,congregation members,1
64,infants,baptized,compulsion,baptize,infants compulsion,1
65,press,baptized,clan,baptize,press clan,1
66,half,baptize,infants,baptize,half infants,1
67,groups,baptized,children,baptize,groups children,1
68,king,baptized,people,baptize,king people,1
69,missionaries,baptize,inhabitants,baptize,missionaries inhabitants,1
70,congregations,baptize,children,baptize,congregations children,1
71,wife,baptized,pseudonym,baptize,wife pseudonym,1
72,group,baptized,one,baptize,group one,1
73,missionaries,baptized,congregations,baptize,missionaries congregations,1
74,prophet,baptized,converts,baptize,prophet converts,1
75,mother,baptized,children,baptize,mother children,1
76,communion,baptized,members,baptize,communion members,1
77,expedition,baptized,number,baptize,expedition number,1
78,priest,baptizes,child,baptize,priest child,1
79,convert,baptized,member,baptize,convert member,1
80,immersion,baptized,members,baptize,immersion members,1
81,congregations,baptized,members,baptize,congregations members,1
82,church,baptize,children,baptize,church children,1
83,families,baptized,infants,baptize,families infants,1
84,disciples,baptized,converts,baptize,disciples converts,1
85,priest,baptizes,adherents,baptize,priest adherents,1
86,son,baptized,name,baptize,son name,1
87,settlers,baptized,region,baptize,settlers region,1
88,people,baptized,tree,baptize,people tree,1
89,individuals,baptized,practices,baptize,individuals practices,1
90,mother,baptized,son,baptize,mother son,1
91,competition,baptized,tournament,baptize,competition tournament,1
92,people,baptized,disciples,baptize,people disciples,1
93,bishop,baptized,people,baptize,bishop people,1
94,all,baptized,members,baptize,all members,1
95,person,baptizes,child,baptize,person child,1
96,agermanats,baptized,rest,baptize,agermanats rest,1
97,men,baptized,congregation,baptize,men congregation,1
98,newspaper,baptized,team,baptize,newspaper team,1
99,catechumens,baptized,days,baptize,catechumens days,1
