,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,smoke,bothered,sides,bother,smoke sides,3
1,smoke,bothered,sides,bother,smoke sides,3
2,smoke,bothered,sides,bother,smoke sides,3
3,concerns,bothered,team,bother,concerns team,3
4,concerns,bothered,team,bother,concerns team,3
5,concerns,bothered,team,bother,concerns team,3
6,girl,bother,customers,bother,girl customers,2
7,girl,bother,customers,bother,girl customers,2
8,reports,bothered,analysts,bother,reports analysts,1
9,integration,bothered,public,bother,integration public,1
10,gourami,bother,fish,bother,gourami fish,1
11,cot,bother,merger,bother,cot merger,1
12,question,bothered,public,bother,question public,1
13,disappointment,bothered,life,bother,disappointment life,1
14,flies,bothered,attendees,bother,flies attendees,1
15,violation,bothered,thinkers,bother,violation thinkers,1
16,obsession,bothers,wife,bother,obsession wife,1
17,onslaught,bothered,guests,bother,onslaught guests,1
18,fleet,bothered,port,bother,fleet port,1
19,artist,bothers,narrative,bother,artist narrative,1
20,gnats,bother,public,bother,gnats public,1
21,nothing,bothers,much,bother,nothing much,1
22,odor,bothered,fans,bother,odor fans,1
23,question,bothered,people,bother,question people,1
24,visitors,bother,signs,bother,visitors signs,1
25,one,bothered,reason,bother,one reason,1
26,man,bothered,two,bother,man two,1
27,execution,bothered,conscience,bother,execution conscience,1
28,camel,bother,threat,bother,camel threat,1
29,walls,bother,sportsman,bother,walls sportsman,1
30,parents,bothered,coming,bother,parents coming,1
31,nudity,bothered,governor,bother,nudity governor,1
32,interactions,bother,mother,bother,interactions mother,1
33,flea,bothers,animals,bother,flea animals,1
34,skirts,bothered,students,bother,skirts students,1
35,move,bothered,aristocracy,bother,move aristocracy,1
36,knee,bothered,coaching,bother,knee coaching,1
37,father,bother,merger,bother,father merger,1
38,attitude,bothers,people,bother,attitude people,1
39,media,bothered,reporting,bother,media reporting,1
40,lack,bothered,son,bother,lack son,1
41,checkpoints,bothered,residents,bother,checkpoints residents,1
42,existence,bothered,government,bother,existence government,1
43,pointy,bothers,girl,bother,pointy girl,1
44,panhandlers,bother,customers,bother,panhandlers customers,1
45,success,bothered,husband,bother,success husband,1
46,idea,bothered,editors,bother,idea editors,1
47,circumstances,bothered,government,bother,circumstances government,1
48,policy,bothered,sectors,bother,policy sectors,1
