,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,users,browse,content,browse,users content,5
1,users,browse,content,browse,users content,5
2,users,browse,content,browse,users content,5
3,users,browse,content,browse,users content,5
4,users,browse,content,browse,users content,5
5,publishers,browse,offers,browse,publishers offers,3
6,publishers,browse,offers,browse,publishers offers,3
7,publishers,browse,offers,browse,publishers offers,3
8,user,browsed,variety,browse,user variety,2
9,deer,browsing,foliage,browse,deer foliage,2
10,deer,browse,foliage,browse,deer foliage,2
11,users,browse,photos,browse,users photos,2
12,users,browse,web,browse,users web,2
13,users,browse,web,browse,users web,2
14,bison,browse,less,browse,bison less,2
15,bison,browse,less,browse,bison less,2
16,user,browsed,variety,browse,user variety,2
17,users,browse,photos,browse,users photos,2
18,user,browse,collections,browse,user collections,1
19,deer,browse,plant,browse,deer plant,1
20,user,browses,news,browse,user news,1
21,juveniles,browse,algae,browse,juveniles algae,1
22,people,browse,number,browse,people number,1
23,users,browse,menus,browse,users menus,1
24,individual,browse,selection,browse,individual selection,1
25,questionnaire,browse,archive,browse,questionnaire archive,1
26,learner,browses,web,browse,learner web,1
27,group,browse,internet,browse,group internet,1
28,users,browse,site,browse,users site,1
29,users,browse,resources,browse,users resources,1
30,adopters,browsing,site,browse,adopters site,1
31,players,browse,levels,browse,players levels,1
32,threats,browsing,kangaroos,browse,threats kangaroos,1
33,users,browsing,activities,browse,users activities,1
34,pilots,browse,missions,browse,pilots missions,1
35,friend,browses,pictures,browse,friend pictures,1
36,students,browsed,shelves,browse,students shelves,1
37,sea,browse,sporelings,browse,sea sporelings,1
38,consumer,browses,merchandise,browse,consumer merchandise,1
39,gazelles,browse,graze,browse,gazelles graze,1
40,customers,browse,shop,browse,customers shop,1
41,users,browse,tickets,browse,users tickets,1
42,footage,browse,galleries,browse,footage galleries,1
43,ringID,browse,newsfeed,browse,ringID newsfeed,1
44,modification,browse,website,browse,modification website,1
45,users,browse,ads,browse,users ads,1
46,deer,browse,twigs,browse,deer twigs,1
47,camels,browse,sides,browse,camels sides,1
48,users,browse,recipes,browse,users recipes,1
49,user,browses,web,browse,user web,1
50,customers,browsing,histories,browse,customers histories,1
51,people,browse,content,browse,people content,1
52,iPad,browse,web,browse,iPad web,1
53,one,browse,applications,browse,one applications,1
54,users,browse,profiles,browse,users profiles,1
55,photos,browse,images,browse,photos images,1
56,users,browse,results,browse,users results,1
57,patrons,browse,internet,browse,patrons internet,1
58,students,browse,books,browse,students books,1
59,goats,browse,sides,browse,goats sides,1
60,client,browses,page,browse,client page,1
61,versions,browse,functionality,browse,versions functionality,1
62,animals,browse,greens,browse,animals greens,1
63,users,browse,templates,browse,users templates,1
64,user,browse,database,browse,user database,1
65,visitors,browse,works,browse,visitors works,1
66,bees,browsed,livestock,browse,bees livestock,1
67,members,browse,rooms,browse,members rooms,1
68,people,browsing,shelves,browse,people shelves,1
69,goats,browse,vegetation,browse,goats vegetation,1
70,deer,browse,seedlings,browse,deer seedlings,1
71,camera,browse,product,browse,camera product,1
72,users,browse,translations,browse,users translations,1
73,desmostylians,browsed,posture,browse,desmostylians posture,1
74,letters,browsing,web,browse,letters web,1
75,file,browsing,web,browse,file web,1
76,users,browse,data,browse,users data,1
77,customers,browse,products,browse,customers products,1
78,hares,browse,tips,browse,hares tips,1
79,user,browse,map,browse,user map,1
80,people,browse,stalls,browse,people stalls,1
81,visitors,browse,site,browse,visitors site,1
82,links,browse,legislation,browse,links legislation,1
83,users,browse,display,browse,users display,1
84,photos,browsed,means,browse,photos means,1
85,users,browse,variety,browse,users variety,1
86,users,browse,movies,browse,users movies,1
87,players,browse,web,browse,players web,1
88,wives,browsed,figurines,browse,wives figurines,1
89,buyers,browsed,inventory,browse,buyers inventory,1
90,goats,browse,leaves,browse,goats leaves,1
91,individuals,browsed,website,browse,individuals website,1
92,goats,browse,foliage,browse,goats foliage,1
93,animals,browse,tree,browse,animals tree,1
94,people,browse,website,browse,people website,1
95,tortoises,browse,variety,browse,tortoises variety,1
96,consumers,browse,internet,browse,consumers internet,1
97,woody,browse,species,browse,woody species,1
98,deer,browse,types,browse,deer types,1
99,customers,browse,goods,browse,customers goods,1
100,users,browse,sites,browse,users sites,1
101,people,browse,media,browse,people media,1
102,member,browse,collection,browse,member collection,1
103,horses,browse,steppe,browse,horses steppe,1
104,researchers,browse,genomes,browse,researchers genomes,1
105,customers,browse,aisle,browse,customers aisle,1
106,one,browse,directory,browse,one directory,1
107,players,browse,categories,browse,players categories,1
