,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,team,butted,heads,butt,team heads,2
1,team,butts,heads,butt,team heads,2
2,participants,butted,heads,butt,participants heads,1
3,activists,butted,heads,butt,activists heads,1
4,boxer,butts,head,butt,boxer head,1
5,goat,butts,troll,butt,goat troll,1
6,label,butted,heads,butt,label heads,1
7,unit,butted,fingers,butt,unit fingers,1
8,animals,butting,heads,butt,animals heads,1
9,males,butting,competitors,butt,males competitors,1
10,sons,butted,heads,butt,sons heads,1
11,head,butting,ground,butt,head ground,1
12,whoever,butts,head,butt,whoever head,1
13,soldiers,butted,driver,butt,soldiers driver,1
14,employees,butt,heads,butt,employees heads,1
15,goat,butts,one,butt,goat one,1
16,prince,butts,head,butt,prince head,1
17,both,butting,horns,butt,both horns,1
18,attitude,butted,heads,butt,attitude heads,1
19,characters,butting,heads,butt,characters heads,1
20,sister,butts,heads,butt,sister heads,1
21,animal,butts,front,butt,animal front,1
22,girls,butt,heads,butt,girls heads,1
23,contestants,butted,heads,butt,contestants heads,1
24,siblings,butt,heads,butt,siblings heads,1
25,newspaper,butted,heads,butt,newspaper heads,1
26,rivalry,butted,heads,butt,rivalry heads,1
27,conjuration,butting,evil,butt,conjuration evil,1
28,head,butting,boss,butt,head boss,1
29,aunt,butts,heads,butt,aunt heads,1
30,personality,butts,heads,butt,personality heads,1
31,windows,butt,overhang,butt,windows overhang,1
32,iteration,butts,heads,butt,iteration heads,1
33,ogress,butts,head,butt,ogress head,1
34,head,butting,opponent,butt,head opponent,1
