,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,leaders,complained,support,complain,leaders support,5
1,leaders,complained,support,complain,leaders support,5
2,leaders,complained,support,complain,leaders support,5
3,leaders,complained,support,complain,leaders support,5
4,leaders,complained,support,complain,leaders support,5
5,three,complained,investigation,complain,three investigation,3
6,three,complained,investigation,complain,three investigation,3
7,three,complained,investigation,complain,three investigation,3
8,strikebreakers,complained,promises,complain,strikebreakers promises,2
9,barbarians,complained,trust,complain,barbarians trust,2
10,residents,complained,mails,complain,residents mails,2
11,residents,complained,mails,complain,residents mails,2
12,barbarians,complained,trust,complain,barbarians trust,2
13,strikebreakers,complained,promises,complain,strikebreakers promises,2
14,representatives,complained,participation,complain,representatives participation,1
15,efforts,complained,body,complain,efforts body,1
16,content,complained,defendants,complain,content defendants,1
17,employer,complained,grounds,complain,employer grounds,1
18,witness,complained,guns,complain,witness guns,1
19,players,complained,wreck,complain,players wreck,1
20,petition,complained,county,complain,petition county,1
21,fellows,complained,commission,complain,fellows commission,1
22,sawbwas,complained,grip,complain,sawbwas grip,1
23,scholar,complains,styles,complain,scholar styles,1
24,people,complain,acceptance,complain,people acceptance,1
25,man,complains,money,complain,man money,1
26,enthusiasts,complained,saying,complain,enthusiasts saying,1
27,critics,complain,fees,complain,critics fees,1
28,abbot,complains,fidelity,complain,abbot fidelity,1
29,fans,complained,interconnection,complain,fans interconnection,1
30,thousands,complained,example,complain,thousands example,1
31,canons,complained,buildings,complain,canons buildings,1
32,critics,complained,attention,complain,critics attention,1
33,number,complained,seminars,complain,number seminars,1
34,wives,complained,links,complain,wives links,1
35,member,complained,party,complain,member party,1
36,contractors,complained,trading,complain,contractors trading,1
37,archaeologists,complained,complaints,complain,archaeologists complaints,1
38,patient,complains,drop,complain,patient drop,1
39,locals,complain,lamb,complain,locals lamb,1
40,customer,complained,respondents,complain,customer respondents,1
41,parishioners,complained,complaint,complain,parishioners complaint,1
42,players,complained,injuries,complain,players injuries,1
43,person,complained,officer,complain,person officer,1
44,missionaries,complained,footage,complain,missionaries footage,1
45,critic,complaining,film,complain,critic film,1
46,lot,complained,lot,complain,lot lot,1
47,farmers,complained,company,complain,farmers company,1
48,delegation,complained,third,complain,delegation third,1
49,lawyer,complained,portrayal,complain,lawyer portrayal,1
50,critic,complained,hint,complain,critic hint,1
51,hunters,complained,summit,complain,hunters summit,1
52,committee,complained,post,complain,committee post,1
53,chiefs,complained,intention,complain,chiefs intention,1
54,couple,complained,inquiry,complain,couple inquiry,1
55,three,complained,commission,complain,three commission,1
56,groups,complained,measures,complain,groups measures,1
57,film,complained,pseudoscience,complain,film pseudoscience,1
58,magazine,complained,statements,complain,magazine statements,1
59,factories,complained,dollars,complain,factories dollars,1
60,ministers,complained,position,complain,ministers position,1
61,ownership,complained,information,complain,ownership information,1
62,authorities,complained,defence,complain,authorities defence,1
63,noblemen,complained,similarities,complain,noblemen similarities,1
64,drummer,complained,vision,complain,drummer vision,1
65,article,complained,system,complain,article system,1
66,passengers,complained,pay,complain,passengers pay,1
67,character,complains,jokes,complain,character jokes,1
68,petitions,complained,people,complain,petitions people,1
69,judges,complain,girl,complain,judges girl,1
70,opponents,complaining,attitude,complain,opponents attitude,1
71,latter,complained,edutthukko,complain,latter edutthukko,1
72,number,complained,hearing,complain,number hearing,1
73,voters,complained,election,complain,voters election,1
74,party,complained,candidates,complain,party candidates,1
75,officer,complained,credit,complain,officer credit,1
76,workers,complained,creation,complain,workers creation,1
77,neighbors,complain,order,complain,neighbors order,1
78,irregularity,complained,foreigners,complain,irregularity foreigners,1
79,coach,complained,explanation,complain,coach explanation,1
80,purveyors,complained,protection,complain,purveyors protection,1
81,writer,complains,orders,complain,writer orders,1
82,conduct,complained,suit,complain,conduct suit,1
83,consumers,complained,dial,complain,consumers dial,1
84,residents,complained,facility,complain,residents facility,1
85,life,complaining,themes,complain,life themes,1
86,residents,complain,houses,complain,residents houses,1
87,king,complained,permission,complain,king permission,1
88,facts,complained,responsibility,complain,facts responsibility,1
89,readers,complained,bonds,complain,readers bonds,1
90,one,complained,score,complain,one score,1
