,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,country,dialing,code,dial,country code,13
1,country,dialing,code,dial,country code,13
2,country,dialing,code,dial,country code,13
3,country,dialing,code,dial,country code,13
4,country,dialling,code,dial,country code,13
5,country,dialing,code,dial,country code,13
6,country,dialing,code,dial,country code,13
7,country,dialing,code,dial,country code,13
8,country,dialing,code,dial,country code,13
9,country,dialing,code,dial,country code,13
10,country,dialing,code,dial,country code,13
11,country,dialing,code,dial,country code,13
12,country,dialing,code,dial,country code,13
13,user,dial,number,dial,user number,4
14,user,dials,number,dial,user number,4
15,user,dialled,number,dial,user number,4
16,user,dials,number,dial,user number,4
17,subscriber,dialed,number,dial,subscriber number,3
18,caller,dial,number,dial,caller number,3
19,caller,dials,number,dial,caller number,3
20,subscriber,dialled,number,dial,subscriber number,3
21,subscriber,dialed,number,dial,subscriber number,3
22,caller,dials,number,dial,caller number,3
23,user,dial,wavelength,dial,user wavelength,2
24,user,dial,wavelength,dial,user wavelength,2
25,modem,dialed,server,dial,modem server,1
26,code,dialed,numbers,dial,code numbers,1
27,caller,dial,service,dial,caller service,1
28,person,dials,number,dial,person number,1
29,school,dialled,number,dial,school number,1
30,starts,dialing,police,dial,starts police,1
31,electronics,dialled,level,dial,electronics level,1
32,program,dialed,numbers,dial,program numbers,1
33,pocket,dialed,victim,dial,pocket victim,1
34,user,dial,sight,dial,user sight,1
35,callers,dialed,digits,dial,callers digits,1
36,pocket,dialled,phone,dial,pocket phone,1
37,number,dialing,number,dial,number number,1
38,behavior,dialing,lines,dial,behavior lines,1
39,one,dials,number,dial,one number,1
40,subscriber,dialed,letters,dial,subscriber letters,1
41,sister,dialed,number,dial,sister number,1
42,customer,dials,digits,dial,customer digits,1
43,one,dials,telephone,dial,one telephone,1
44,contact,dial,numbers,dial,contact numbers,1
45,extension,dials,extension,dial,extension extension,1
46,advent,dialed,calls,dial,advent calls,1
47,crew,dialed,degrees,dial,crew degrees,1
48,exchanges,dialed,users,dial,exchanges users,1
49,show,dialed,number,dial,show number,1
50,witness,dialed,incident,dial,witness incident,1
51,witnesses,dialed,authorities,dial,witnesses authorities,1
52,officers,dialed,restaurants,dial,officers restaurants,1
53,sites,dial,site,dial,sites site,1
54,user,dials,code,dial,user code,1
55,date,dialed,number,dial,date number,1
56,users,dial,number,dial,users number,1
57,patrons,dial,telephone,dial,patrons telephone,1
58,operator,dialed,six,dial,operator six,1
59,callers,dialling,number,dial,callers number,1
60,subscribers,dialed,digits,dial,subscribers digits,1
61,somebody,dials,number,dial,somebody number,1
62,manager,dialled,number,dial,manager number,1
63,woman,dialed,organizations,dial,woman organizations,1
64,leaders,dial,rhetoric,dial,leaders rhetoric,1
