,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,ship,disembarked,passengers,disembark,ship passengers,12
1,ship,disembarked,passengers,disembark,ship passengers,12
2,ship,disembarked,passengers,disembark,ship passengers,12
3,ship,disembarked,passengers,disembark,ship passengers,12
4,ship,disembarked,passengers,disembark,ship passengers,12
5,ship,disembarked,passengers,disembark,ship passengers,12
6,ship,disembarked,passengers,disembark,ship passengers,12
7,ship,disembarked,passengers,disembark,ship passengers,12
8,ship,disembarked,passengers,disembark,ship passengers,12
9,ship,disembarked,passengers,disembark,ship passengers,12
10,ship,disembarked,passengers,disembark,ship passengers,12
11,ship,disembarked,passengers,disembark,ship passengers,12
12,transports,disembarked,troops,disembark,transports troops,6
13,transports,disembarked,troops,disembark,transports troops,6
14,transports,disembarked,troops,disembark,transports troops,6
15,transports,disembarked,troops,disembark,transports troops,6
16,transports,disembarked,troops,disembark,transports troops,6
17,transports,disembarked,troops,disembark,transports troops,6
18,transport,disembarked,troops,disembark,transport troops,4
19,ships,disembarked,troops,disembark,ships troops,4
20,transport,disembarked,troops,disembark,transport troops,4
21,ships,disembarked,troops,disembark,ships troops,4
22,ships,disembarked,troops,disembark,ships troops,4
23,ships,disembarked,troops,disembark,ships troops,4
24,transport,disembarked,troops,disembark,transport troops,4
25,transport,disembarked,troops,disembark,transport troops,4
26,transport,disembarked,passengers,disembark,transport passengers,3
27,crew,disembarked,vessel,disembark,crew vessel,3
28,transport,disembarked,passengers,disembark,transport passengers,3
29,ship,disembarked,troops,disembark,ship troops,3
30,ship,disembarked,troops,disembark,ship troops,3
31,crew,disembarked,vessel,disembark,crew vessel,3
32,ship,disembarked,troops,disembark,ship troops,3
33,transport,disembarked,passengers,disembark,transport passengers,3
34,crew,disembarked,vessel,disembark,crew vessel,3
35,forces,disembarked,flags,disembark,forces flags,2
36,passenger,disembarked,cruise,disembark,passenger cruise,2
37,troops,disembark,port,disembark,troops port,2
38,invaders,disembarked,fighting,disembark,invaders fighting,2
39,squadron,disembarked,ship,disembark,squadron ship,2
40,all,disembarked,train,disembark,all train,2
41,fleet,disembark,troops,disembark,fleet troops,2
42,troops,disembarked,port,disembark,troops port,2
43,troopships,disembarked,battalions,disembark,troopships battalions,2
44,squadron,disembarked,ship,disembark,squadron ship,2
45,regiment,disembarked,train,disembark,regiment train,2
46,regiment,disembarked,train,disembark,regiment train,2
47,passengers,disembarking,aircraft,disembark,passengers aircraft,2
48,fleet,disembarked,troops,disembark,fleet troops,2
49,passengers,disembarked,aircraft,disembark,passengers aircraft,2
50,all,disembarked,train,disembark,all train,2
51,invaders,disembarked,fighting,disembark,invaders fighting,2
52,vessel,disembarking,passengers,disembark,vessel passengers,2
53,vessel,disembarked,passengers,disembark,vessel passengers,2
54,forces,disembarked,flags,disembark,forces flags,2
55,troopships,disembarked,battalions,disembark,troopships battalions,2
56,passenger,disembarked,cruise,disembark,passenger cruise,2
57,passengers,disembark,plane,disembark,passengers plane,1
58,body,disembarked,troops,disembark,body troops,1
59,force,disembarked,east,disembark,force east,1
60,king,disembarked,land,disembark,king land,1
61,trains,disembark,passengers,disembark,trains passengers,1
62,ship,disembarked,refugees,disembark,ship refugees,1
63,group,disembarked,goal,disembark,group goal,1
64,crew,disembarked,area,disembark,crew area,1
65,teachers,disembark,course,disembark,teachers course,1
66,sailors,disembarked,column,disembark,sailors column,1
67,pilot,disembarks,ship,disembark,pilot ship,1
68,crew,disembarked,freighter,disembark,crew freighter,1
69,troops,disembarked,beaches,disembark,troops beaches,1
70,battalion,disembarked,train,disembark,battalion train,1
71,ship,disembarked,aircraft,disembark,ship aircraft,1
72,five,disembarked,trains,disembark,five trains,1
73,boat,disembarked,castaways,disembark,boat castaways,1
74,troops,disembarked,number,disembark,troops number,1
75,brigades,disembarked,part,disembark,brigades part,1
76,passengers,disembark,corpse,disembark,passengers corpse,1
77,members,disembarked,asylum,disembark,members asylum,1
78,ship,disembarked,crewmen,disembark,ship crewmen,1
79,passengers,disembark,mile,disembark,passengers mile,1
80,boat,disembarked,men,disembark,boat men,1
81,demon,disembarked,years,disembark,demon years,1
82,men,disembarked,infantry,disembark,men infantry,1
83,ship,disembarked,crews,disembark,ship crews,1
84,fleet,disembarked,marines,disembark,fleet marines,1
85,regiment,disembarked,colours,disembark,regiment colours,1
86,companies,disembarked,one,disembark,companies one,1
87,plaque,disembarked,unit,disembark,plaque unit,1
88,companies,disembarked,king,disembark,companies king,1
89,ferry,disembarked,passengers,disembark,ferry passengers,1
90,excursionists,disembarked,groves,disembark,excursionists groves,1
91,navies,disembarked,troops,disembark,navies troops,1
92,passengers,disembarked,grey,disembark,passengers grey,1
93,battalion,disembarked,ship,disembark,battalion ship,1
94,guests,disembark,goodbye,disembark,guests goodbye,1
95,transports,disembarked,men,disembark,transports men,1
96,warship,disembarked,refugees,disembark,warship refugees,1
97,crew,disembarks,wormhole,disembark,crew wormhole,1
98,minesweeper,disembarked,evacuees,disembark,minesweeper evacuees,1
99,rest,disembarked,rafts,disembark,rest rafts,1
100,army,disembarked,camp,disembark,army camp,1
101,party,disembarked,upstream,disembark,party upstream,1
102,emigration,disembarked,steps,disembark,emigration steps,1
103,troops,disembarked,kilometres,disembark,troops kilometres,1
104,loss,disembarked,troops,disembark,loss troops,1
105,stairs,disembarking,aircraft,disembark,stairs aircraft,1
106,ship,disembarked,all,disembark,ship all,1
107,destroyer,disembarked,veterans,disembark,destroyer veterans,1
108,ship,disembarked,seaplanes,disembark,ship seaplanes,1
109,ship,disembarked,airmen,disembark,ship airmen,1
110,scientists,disembarked,cruise,disembark,scientists cruise,1
111,visitors,disembarked,trains,disembark,visitors trains,1
112,battalion,disembarked,training,disembark,battalion training,1
113,men,disembarked,league,disembark,men league,1
114,mosquitoes,disembark,people,disembark,mosquitoes people,1
115,passengers,disembarked,capsules,disembark,passengers capsules,1
116,first,disembarked,men,disembark,first men,1
117,friends,disembarked,train,disembark,friends train,1
118,settlers,disembarked,community,disembark,settlers community,1
