,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,mill,drove,pairs,drive,mill pairs,68
1,mill,drove,pairs,drive,mill pairs,68
2,mill,drove,pairs,drive,mill pairs,68
3,mill,drove,pairs,drive,mill pairs,68
4,mill,drove,pairs,drive,mill pairs,68
5,mill,drives,pairs,drive,mill pairs,68
6,mill,drove,pairs,drive,mill pairs,68
7,mill,drove,pairs,drive,mill pairs,68
8,mill,drove,pairs,drive,mill pairs,68
9,mill,drove,pairs,drive,mill pairs,68
10,mill,drove,pairs,drive,mill pairs,68
11,mill,drove,pairs,drive,mill pairs,68
12,mill,drove,pairs,drive,mill pairs,68
13,mill,drove,pairs,drive,mill pairs,68
14,mill,drove,pairs,drive,mill pairs,68
15,mill,drives,pairs,drive,mill pairs,68
16,mill,drove,pairs,drive,mill pairs,68
17,mill,drove,pairs,drive,mill pairs,68
18,mill,drove,pairs,drive,mill pairs,68
19,mill,drove,pairs,drive,mill pairs,68
20,mill,drove,pairs,drive,mill pairs,68
21,mill,drove,pairs,drive,mill pairs,68
22,mill,drove,pairs,drive,mill pairs,68
23,mill,drove,pairs,drive,mill pairs,68
24,mill,drove,pairs,drive,mill pairs,68
25,mill,drove,pairs,drive,mill pairs,68
26,mill,drove,pairs,drive,mill pairs,68
27,mill,drove,pairs,drive,mill pairs,68
28,mill,drives,pairs,drive,mill pairs,68
29,mill,drove,pairs,drive,mill pairs,68
30,mill,drove,pairs,drive,mill pairs,68
31,mill,drove,pairs,drive,mill pairs,68
32,mill,drives,pairs,drive,mill pairs,68
33,mill,drove,pairs,drive,mill pairs,68
34,mill,drove,pairs,drive,mill pairs,68
35,mill,drove,pairs,drive,mill pairs,68
36,mill,drove,pairs,drive,mill pairs,68
37,mill,drove,pairs,drive,mill pairs,68
38,mill,drove,pairs,drive,mill pairs,68
39,mill,drove,pairs,drive,mill pairs,68
40,mill,drove,pairs,drive,mill pairs,68
41,mill,drove,pairs,drive,mill pairs,68
42,mill,drove,pairs,drive,mill pairs,68
43,mill,drives,pairs,drive,mill pairs,68
44,mill,drove,pairs,drive,mill pairs,68
45,mill,drove,pairs,drive,mill pairs,68
46,mill,drives,pairs,drive,mill pairs,68
47,mill,drove,pairs,drive,mill pairs,68
48,mill,drove,pairs,drive,mill pairs,68
49,mill,drove,pairs,drive,mill pairs,68
50,mill,drove,pairs,drive,mill pairs,68
51,mill,drove,pairs,drive,mill pairs,68
52,mill,drove,pairs,drive,mill pairs,68
53,mill,drives,pairs,drive,mill pairs,68
54,mill,drives,pairs,drive,mill pairs,68
55,mill,drives,pairs,drive,mill pairs,68
56,mill,drove,pairs,drive,mill pairs,68
57,mill,drove,pairs,drive,mill pairs,68
58,mill,drove,pairs,drive,mill pairs,68
59,mill,drives,pairs,drive,mill pairs,68
60,mill,drove,pairs,drive,mill pairs,68
61,mill,drove,pairs,drive,mill pairs,68
62,mill,drove,pairs,drive,mill pairs,68
63,mill,drove,pairs,drive,mill pairs,68
64,mill,drives,pairs,drive,mill pairs,68
65,mill,drives,pairs,drive,mill pairs,68
66,mill,drove,pairs,drive,mill pairs,68
67,mill,drove,pairs,drive,mill pairs,68
68,engine,drove,propeller,drive,engine propeller,56
69,engine,driving,propeller,drive,engine propeller,56
70,engine,drove,propeller,drive,engine propeller,56
71,engine,drove,propeller,drive,engine propeller,56
72,engine,drives,propeller,drive,engine propeller,56
73,engine,drove,propeller,drive,engine propeller,56
74,engine,drives,propeller,drive,engine propeller,56
75,engine,driving,propeller,drive,engine propeller,56
76,engine,drives,propeller,drive,engine propeller,56
77,engine,driving,propeller,drive,engine propeller,56
78,engine,drove,propeller,drive,engine propeller,56
79,engine,drove,propeller,drive,engine propeller,56
80,engine,drove,propeller,drive,engine propeller,56
81,engine,drove,propeller,drive,engine propeller,56
82,engine,driving,propeller,drive,engine propeller,56
83,engine,drives,propeller,drive,engine propeller,56
84,engine,drove,propeller,drive,engine propeller,56
85,engine,drove,propeller,drive,engine propeller,56
86,engine,drove,propeller,drive,engine propeller,56
87,engine,driving,propeller,drive,engine propeller,56
88,engine,drove,propeller,drive,engine propeller,56
89,engine,drove,propeller,drive,engine propeller,56
90,engine,drove,propeller,drive,engine propeller,56
91,engine,driving,propeller,drive,engine propeller,56
92,engine,drove,propeller,drive,engine propeller,56
93,engine,driving,propeller,drive,engine propeller,56
94,engine,driving,propeller,drive,engine propeller,56
95,engine,drives,propeller,drive,engine propeller,56
96,engine,drove,propeller,drive,engine propeller,56
97,engine,drove,propeller,drive,engine propeller,56
98,engine,driving,propeller,drive,engine propeller,56
99,engine,drove,propeller,drive,engine propeller,56
100,engine,drove,propeller,drive,engine propeller,56
101,engine,driving,propeller,drive,engine propeller,56
102,engine,driving,propeller,drive,engine propeller,56
103,engine,driving,propeller,drive,engine propeller,56
104,engine,driving,propeller,drive,engine propeller,56
105,engine,drove,propeller,drive,engine propeller,56
106,engine,driving,propeller,drive,engine propeller,56
107,engine,drove,propeller,drive,engine propeller,56
108,engine,drove,propeller,drive,engine propeller,56
109,engine,drives,propeller,drive,engine propeller,56
110,engine,driving,propeller,drive,engine propeller,56
111,engine,drove,propeller,drive,engine propeller,56
112,engine,driving,propeller,drive,engine propeller,56
113,engine,drove,propeller,drive,engine propeller,56
114,engine,drove,propeller,drive,engine propeller,56
115,engine,drives,propeller,drive,engine propeller,56
116,engine,driving,propeller,drive,engine propeller,56
117,engine,drove,propeller,drive,engine propeller,56
118,engine,driving,propeller,drive,engine propeller,56
119,engine,drives,propeller,drive,engine propeller,56
120,engine,drove,propeller,drive,engine propeller,56
121,engine,driving,propeller,drive,engine propeller,56
122,engine,drives,propeller,drive,engine propeller,56
123,engine,drove,propeller,drive,engine propeller,56
124,engine,driving,wheels,drive,engine wheels,53
125,engine,driving,wheels,drive,engine wheels,53
126,engine,driven,wheels,drive,engine wheels,53
127,engine,drives,wheels,drive,engine wheels,53
128,engine,drove,wheels,drive,engine wheels,53
129,engine,drove,wheels,drive,engine wheels,53
130,engine,drove,wheels,drive,engine wheels,53
131,engine,drove,wheels,drive,engine wheels,53
132,engine,drove,wheels,drive,engine wheels,53
133,engine,drove,wheels,drive,engine wheels,53
134,engine,drove,wheels,drive,engine wheels,53
135,engine,driving,wheels,drive,engine wheels,53
136,engine,driving,wheels,drive,engine wheels,53
137,engine,drove,wheels,drive,engine wheels,53
138,engine,drove,wheels,drive,engine wheels,53
139,engine,drove,wheels,drive,engine wheels,53
140,engine,drove,wheels,drive,engine wheels,53
141,engine,driving,wheels,drive,engine wheels,53
142,engine,drives,wheels,drive,engine wheels,53
143,engine,drives,wheels,drive,engine wheels,53
144,engine,drove,wheels,drive,engine wheels,53
145,engine,drove,wheels,drive,engine wheels,53
146,engine,drove,wheels,drive,engine wheels,53
147,engine,drove,wheels,drive,engine wheels,53
148,engine,driving,wheels,drive,engine wheels,53
149,engine,drives,wheels,drive,engine wheels,53
150,engine,drove,wheels,drive,engine wheels,53
151,engine,driving,wheels,drive,engine wheels,53
152,engine,drives,wheels,drive,engine wheels,53
153,engine,driving,wheels,drive,engine wheels,53
154,engine,drove,wheels,drive,engine wheels,53
155,engine,driving,wheels,drive,engine wheels,53
156,engine,drove,wheels,drive,engine wheels,53
157,engine,drove,wheels,drive,engine wheels,53
158,engine,drove,wheels,drive,engine wheels,53
159,engine,drives,wheels,drive,engine wheels,53
160,engine,driving,wheels,drive,engine wheels,53
161,engine,drove,wheels,drive,engine wheels,53
162,engine,drives,wheels,drive,engine wheels,53
163,engine,drives,wheels,drive,engine wheels,53
164,engine,drove,wheels,drive,engine wheels,53
165,engine,drives,wheels,drive,engine wheels,53
166,engine,drives,wheels,drive,engine wheels,53
167,engine,drove,wheels,drive,engine wheels,53
168,engine,driving,wheels,drive,engine wheels,53
169,engine,drives,wheels,drive,engine wheels,53
170,engine,drove,wheels,drive,engine wheels,53
171,engine,drove,wheels,drive,engine wheels,53
172,engine,driving,wheels,drive,engine wheels,53
173,engine,driving,wheels,drive,engine wheels,53
174,engine,driving,wheels,drive,engine wheels,53
175,engine,drove,wheels,drive,engine wheels,53
176,engine,driving,wheels,drive,engine wheels,53
177,team,drove,yards,drive,team yards,27
178,team,drove,yards,drive,team yards,27
