,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,boat,ducked,periscope,duck,boat periscope,1
1,name,ducking,stool,duck,name stool,1
2,males,duck,heads,duck,males heads,1
3,man,duck,head,duck,man head,1
4,player,ducking,head,duck,player head,1
5,fellow,ducked,head,duck,fellow head,1
6,woman,ducked,line,duck,woman line,1
7,declarer,ducks,lead,duck,declarer lead,1
8,buk,duck,head,duck,buk head,1
9,practice,duck,instant,duck,practice instant,1
10,track,ducks,another,duck,track another,1
11,group,ducked,fences,duck,group fences,1
12,most,ducked,track,duck,most track,1
13,people,ducked,divination,duck,people divination,1
14,film,ducks,issues,duck,film issues,1
15,leadership,ducked,decision,duck,leadership decision,1
16,man,ducked,man,duck,man man,1
17,match,ducked,clothesline,duck,match clothesline,1
18,both,ducked,lead,duck,both lead,1
19,one,ducked,things,duck,one things,1
20,group,ducked,head,duck,group head,1
21,town,ducking,stool,duck,town stool,1
22,one,ducks,blade,duck,one blade,1
23,casters,ducked,heads,duck,casters heads,1
