,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,school,educates,students,educate,school students,101
1,school,educates,students,educate,school students,101
2,school,educates,students,educate,school students,101
3,school,educates,students,educate,school students,101
4,school,educates,students,educate,school students,101
5,school,educates,students,educate,school students,101
6,school,educates,students,educate,school students,101
7,school,educates,students,educate,school students,101
8,school,educates,students,educate,school students,101
9,school,educates,students,educate,school students,101
10,school,educates,students,educate,school students,101
11,school,educates,students,educate,school students,101
12,school,educates,students,educate,school students,101
13,school,educates,students,educate,school students,101
14,school,educated,students,educate,school students,101
15,school,educates,students,educate,school students,101
16,school,educates,students,educate,school students,101
17,school,educates,students,educate,school students,101
18,school,educates,students,educate,school students,101
19,school,educates,students,educate,school students,101
20,school,educates,students,educate,school students,101
21,school,educates,students,educate,school students,101
22,school,educates,students,educate,school students,101
23,school,educates,students,educate,school students,101
24,school,educated,students,educate,school students,101
25,school,educates,students,educate,school students,101
26,school,educates,students,educate,school students,101
27,school,educates,students,educate,school students,101
28,school,educates,students,educate,school students,101
29,school,educates,students,educate,school students,101
30,school,educates,students,educate,school students,101
31,school,educates,students,educate,school students,101
32,school,educated,students,educate,school students,101
33,school,educates,students,educate,school students,101
34,school,educates,students,educate,school students,101
35,school,educated,students,educate,school students,101
36,school,educates,students,educate,school students,101
37,school,educates,students,educate,school students,101
38,school,educates,students,educate,school students,101
39,school,educates,students,educate,school students,101
40,school,educated,students,educate,school students,101
41,school,educates,students,educate,school students,101
42,school,educates,students,educate,school students,101
43,school,educates,students,educate,school students,101
44,school,educates,students,educate,school students,101
45,school,educates,students,educate,school students,101
46,school,educates,students,educate,school students,101
47,school,educates,students,educate,school students,101
48,school,educates,students,educate,school students,101
49,school,educates,students,educate,school students,101
50,school,educates,students,educate,school students,101
51,school,educates,students,educate,school students,101
52,school,educates,students,educate,school students,101
53,school,educated,students,educate,school students,101
54,school,educated,students,educate,school students,101
55,school,educates,students,educate,school students,101
56,school,educates,students,educate,school students,101
57,school,educated,students,educate,school students,101
58,school,educates,students,educate,school students,101
59,school,educates,students,educate,school students,101
60,school,educates,students,educate,school students,101
61,school,educates,students,educate,school students,101
62,school,educates,students,educate,school students,101
63,school,educates,students,educate,school students,101
64,school,educates,students,educate,school students,101
65,school,educates,students,educate,school students,101
66,school,educates,students,educate,school students,101
67,school,educates,students,educate,school students,101
68,school,educates,students,educate,school students,101
69,school,educates,students,educate,school students,101
70,school,educates,students,educate,school students,101
71,school,educates,students,educate,school students,101
72,school,educated,students,educate,school students,101
73,school,educates,students,educate,school students,101
74,school,educates,students,educate,school students,101
75,school,educates,students,educate,school students,101
76,school,educates,students,educate,school students,101
77,school,educates,students,educate,school students,101
78,school,educated,students,educate,school students,101
79,school,educated,students,educate,school students,101
80,school,educate,students,educate,school students,101
81,school,educate,students,educate,school students,101
82,school,educates,students,educate,school students,101
83,school,educated,students,educate,school students,101
84,school,educates,students,educate,school students,101
85,school,educates,students,educate,school students,101
86,school,educates,students,educate,school students,101
87,school,educate,students,educate,school students,101
88,school,educates,students,educate,school students,101
89,school,educated,students,educate,school students,101
90,school,educates,students,educate,school students,101
91,school,educated,students,educate,school students,101
92,school,educated,students,educate,school students,101
93,school,educated,students,educate,school students,101
94,school,educates,students,educate,school students,101
95,school,educates,students,educate,school students,101
96,school,educates,students,educate,school students,101
97,school,educates,students,educate,school students,101
98,school,educates,students,educate,school students,101
99,school,educates,students,educate,school students,101
100,school,educate,students,educate,school students,101
101,school,educates,children,educate,school children,46
102,school,educates,children,educate,school children,46
103,school,educated,children,educate,school children,46
104,school,educated,children,educate,school children,46
105,school,educates,children,educate,school children,46
106,school,educates,children,educate,school children,46
107,school,educates,children,educate,school children,46
108,school,educates,children,educate,school children,46
109,school,educates,children,educate,school children,46
110,school,educates,children,educate,school children,46
111,school,educated,children,educate,school children,46
112,school,educated,children,educate,school children,46
113,school,educated,children,educate,school children,46
114,school,educates,children,educate,school children,46
115,school,educates,children,educate,school children,46
116,school,educated,children,educate,school children,46
117,school,educates,children,educate,school children,46
118,school,educates,children,educate,school children,46
119,school,educates,children,educate,school children,46
120,school,educates,children,educate,school children,46
121,school,educates,children,educate,school children,46
122,school,educates,children,educate,school children,46
123,school,educated,children,educate,school children,46
124,school,educates,children,educate,school children,46
125,school,educated,children,educate,school children,46
126,school,educates,children,educate,school children,46
127,school,educates,children,educate,school children,46
128,school,educates,children,educate,school children,46
129,school,educates,children,educate,school children,46
130,school,educated,children,educate,school children,46
131,school,educates,children,educate,school children,46
132,school,educated,children,educate,school children,46
133,school,educates,children,educate,school children,46
134,school,educates,children,educate,school children,46
135,school,educates,children,educate,school children,46
136,school,educates,children,educate,school children,46
137,school,educates,children,educate,school children,46
138,school,educates,children,educate,school children,46
139,school,educates,children,educate,school children,46
140,school,educates,children,educate,school children,46
141,school,educates,children,educate,school children,46
142,school,educate,children,educate,school children,46
143,school,educated,children,educate,school children,46
144,school,educates,children,educate,school children,46
145,school,educates,children,educate,school children,46
146,school,educated,children,educate,school children,46
147,schools,educate,students,educate,schools students,19
148,schools,educate,students,educate,schools students,19
149,schools,educate,students,educate,schools students,19
150,schools,educate,students,educate,schools students,19
151,schools,educate,students,educate,schools students,19
152,schools,educated,students,educate,schools students,19
153,schools,educate,students,educate,schools students,19
154,schools,educate,students,educate,schools students,19
155,schools,educate,students,educate,schools students,19
156,schools,educate,students,educate,schools students,19
157,schools,educated,students,educate,schools students,19
158,schools,educate,students,educate,schools students,19
159,schools,educated,students,educate,schools students,19
160,schools,educated,students,educate,schools students,19
161,schools,educating,students,educate,schools students,19
162,schools,educate,students,educate,schools students,19
163,schools,educate,students,educate,schools students,19
164,schools,educate,students,educate,schools students,19
165,schools,educate,students,educate,schools students,19
166,district,educates,students,educate,district students,15
167,district,educates,students,educate,district students,15
168,district,educates,students,educate,district students,15
169,district,educates,students,educate,district students,15
170,district,educates,students,educate,district students,15
171,district,educates,students,educate,district students,15
172,district,educates,students,educate,district students,15
173,district,educated,students,educate,district students,15
174,district,educated,students,educate,district students,15
175,district,educates,students,educate,district students,15
