,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,volcano,erupted,estimated,erupt,volcano estimated,3
1,volcano,erupted,plume,erupt,volcano plume,3
2,volcano,erupted,plume,erupt,volcano plume,3
3,volcano,erupted,estimated,erupt,volcano estimated,3
4,volcano,erupts,volcanoes,erupt,volcano volcanoes,3
5,volcano,erupted,estimated,erupt,volcano estimated,3
6,volcano,erupted,plume,erupt,volcano plume,3
7,volcano,erupts,volcanoes,erupt,volcano volcanoes,3
8,volcano,erupts,volcanoes,erupt,volcano volcanoes,3
9,cones,erupted,andesite,erupt,cones andesite,2
10,rally,erupted,riot,erupt,rally riot,2
11,anger,erupted,garrison,erupt,anger garrison,2
12,volcano,erupts,island,erupt,volcano island,2
13,fight,erupted,one,erupt,fight one,2
14,sequence,erupted,flanks,erupt,sequence flanks,2
15,gunfight,erupted,pistol,erupt,gunfight pistol,2
16,volcano,erupted,island,erupt,volcano island,2
17,riot,erupted,fire,erupt,riot fire,2
18,anger,erupted,garrison,erupt,anger garrison,2
19,protests,erupted,violence,erupt,protests violence,2
20,disagreement,erupted,existence,erupt,disagreement existence,2
21,war,erupted,control,erupt,war control,2
22,fighting,erupted,revolution,erupt,fighting revolution,2
23,scandal,erupted,press,erupt,scandal press,2
24,scandal,erupted,press,erupt,scandal press,2
25,insurgency,erupted,forces,erupt,insurgency forces,2
26,volcano,erupts,years,erupt,volcano years,2
27,volcano,erupts,years,erupt,volcano years,2
28,uprising,erupted,deal,erupt,uprising deal,2
29,volcano,erupted,ash,erupt,volcano ash,2
30,rally,erupted,riot,erupt,rally riot,2
31,rebellion,erupted,massacre,erupt,rebellion massacre,2
32,scandal,erupts,decision,erupt,scandal decision,2
33,volcano,erupted,lava,erupt,volcano lava,2
34,volcano,erupted,lava,erupt,volcano lava,2
35,scandal,erupts,decision,erupt,scandal decision,2
36,confrontation,erupts,ship,erupt,confrontation ship,2
37,gunfight,erupted,pistol,erupt,gunfight pistol,2
38,tensions,erupted,blockade,erupt,tensions blockade,2
39,riot,erupted,fire,erupt,riot fire,2
40,tensions,erupted,blockade,erupt,tensions blockade,2
41,fighting,erupted,revolution,erupt,fighting revolution,2
42,argument,erupted,daughter,erupt,argument daughter,2
43,argument,erupted,daughter,erupt,argument daughter,2
44,insurgency,erupted,forces,erupt,insurgency forces,2
45,protests,erupted,shooting,erupt,protests shooting,2
46,uprising,erupted,deal,erupt,uprising deal,2
