,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,mounts,flaps,area,flap,mounts area,17
1,mounts,flaps,area,flap,mounts area,17
2,mounts,flaps,area,flap,mounts area,17
3,mounts,flaps,area,flap,mounts area,17
4,mounts,flaps,area,flap,mounts area,17
5,mounts,flaps,area,flap,mounts area,17
6,mounts,flaps,area,flap,mounts area,17
7,mounts,flaps,area,flap,mounts area,17
8,mounts,flaps,area,flap,mounts area,17
9,mounts,flaps,area,flap,mounts area,17
10,mounts,flaps,area,flap,mounts area,17
11,mounts,flaps,area,flap,mounts area,17
12,mounts,flaps,area,flap,mounts area,17
13,mounts,flaps,area,flap,mounts area,17
14,mounts,flaps,area,flap,mounts area,17
15,mounts,flaps,area,flap,mounts area,17
16,mounts,flaps,area,flap,mounts area,17
17,bird,flaps,wings,flap,bird wings,6
18,bird,flaps,wings,flap,bird wings,6
19,bird,flaps,wings,flap,bird wings,6
20,bird,flaps,wings,flap,bird wings,6
21,bird,flaps,wings,flap,bird wings,6
22,bird,flaps,wings,flap,bird wings,6
23,birds,flap,wings,flap,birds wings,5
24,birds,flap,wings,flap,birds wings,5
25,birds,flap,wings,flap,birds wings,5
26,birds,flap,wings,flap,birds wings,5
27,birds,flapping,wings,flap,birds wings,5
28,male,flaps,wings,flap,male wings,4
29,male,flapping,wings,flap,male wings,4
30,male,flapped,wings,flap,male wings,4
31,male,flapping,wings,flap,male wings,4
32,butterfly,flapping,wings,flap,butterfly wings,3
33,seat,flapped,glider,flap,seat glider,3
34,seat,flapped,glider,flap,seat glider,3
35,seat,flapped,glider,flap,seat glider,3
36,butterfly,flapping,wings,flap,butterfly wings,3
37,butterfly,flapping,wings,flap,butterfly wings,3
38,blade,flaps,angle,flap,blade angle,2
39,hummingbirds,flap,wings,flap,hummingbirds wings,2
40,blade,flaps,angle,flap,blade angle,2
41,male,flaps,wing,flap,male wing,2
42,male,flaps,wing,flap,male wing,2
43,hummingbirds,flap,wings,flap,hummingbirds wings,2
44,rooster,flaps,wings,flap,rooster wings,2
45,rooster,flaps,wings,flap,rooster wings,2
46,pilots,flaps,degrees,flap,pilots degrees,1
47,harridans,flapping,women,flap,harridans women,1
48,matador,flaps,cape,flap,matador cape,1
49,halves,flap,eyes,flap,halves eyes,1
50,eaglets,flap,wings,flap,eaglets wings,1
51,conflated,flapped,consonant,flap,conflated consonant,1
52,pigeon,flapped,wings,flap,pigeon wings,1
53,parrot,flaps,wings,flap,parrot wings,1
54,dancers,flapped,arms,flap,dancers arms,1
55,seat,flapped,gliders,flap,seat gliders,1
56,seal,flaps,flippers,flap,seal flippers,1
57,cuff,flaps,red,flap,cuff red,1
58,falcon,flaps,wings,flap,falcon wings,1
59,phoenixes,flapped,wings,flap,phoenixes wings,1
60,fish,flaps,fins,flap,fish fins,1
61,surfaces,flaps,equipment,flap,surfaces equipment,1
62,males,flap,wings,flap,males wings,1
63,participant,flaps,arms,flap,participant arms,1
64,ailerons,flaps,rest,flap,ailerons rest,1
65,eagle,flapping,wings,flap,eagle wings,1
66,ear,flaps,head,flap,ear head,1
67,monster,flaps,wings,flap,monster wings,1
68,father,flapping,arms,flap,father arms,1
69,trouser,flaps,time,flap,trouser time,1
70,wings,flapping,part,flap,wings part,1
71,device,flaps,wings,flap,device wings,1
72,parrots,flaps,wings,flap,parrots wings,1
73,wings,flap,tails,flap,wings tails,1
74,mats,flap,impression,flap,mats impression,1
75,roof,flap,piece,flap,roof piece,1
76,pads,flapping,bat,flap,pads bat,1
77,wings,flap,head,flap,wings head,1
78,pair,flap,wings,flap,pair wings,1
79,model,flapped,wings,flap,model wings,1
80,bird,flaps,flippers,flap,bird flippers,1
81,albatross,flaps,wings,flap,albatross wings,1
82,spans,flapped,range,flap,spans range,1
83,seater,flapped,glider,flap,seater glider,1
84,hen,flapped,wings,flap,hen wings,1
85,wearer,flap,arms,flap,wearer arms,1
86,smoke,flaps,door,flap,smoke door,1
87,ostrich,flap,wings,flap,ostrich wings,1
88,skin,flaps,heads,flap,skin heads,1
89,hawk,flaps,wings,flap,hawk wings,1
90,vulture,flaps,wings,flap,vulture wings,1
91,button,flaps,wings,flap,button wings,1
92,valve,flaps,mouth,flap,valve mouth,1
93,flaps,flaps,control,flap,flaps control,1
94,scleral,flaps,degrees,flap,scleral degrees,1
95,elephant,flaps,ears,flap,elephant ears,1
96,roof,flaps,help,flap,roof help,1
97,individuals,flap,wings,flap,individuals wings,1
98,attacks,flaps,arms,flap,attacks arms,1
99,pairs,flaps,branch,flap,pairs branch,1
100,pairs,flaps,endopods,flap,pairs endopods,1
