,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,species,foraging,flocks,forage,species flocks,6
1,species,foraging,flocks,forage,species flocks,6
2,species,foraging,flocks,forage,species flocks,6
3,species,foraging,flocks,forage,species flocks,6
4,species,foraging,flocks,forage,species flocks,6
5,species,foraging,flocks,forage,species flocks,6
6,bats,forage,surface,forage,bats surface,2
7,workers,forage,colony,forage,workers colony,2
8,migratory,foraging,behavior,forage,migratory behavior,2
9,workers,forage,colony,forage,workers colony,2
10,women,foraged,game,forage,women game,2
11,women,foraged,game,forage,women game,2
12,migratory,foraging,behavior,forage,migratory behavior,2
13,bats,forage,surface,forage,bats surface,2
14,fish,forage,substrate,forage,fish substrate,1
15,head,foraged,rainforest,forage,head rainforest,1
16,foregoes,foraging,resources,forage,foregoes resources,1
17,staff,foraged,produce,forage,staff produce,1
18,workers,forage,damage,forage,workers damage,1
19,cattle,foraged,cover,forage,cattle cover,1
20,group,foraged,elderberries,forage,group elderberries,1
21,rat,forages,sound,forage,rat sound,1
22,honeyeater,forages,flowers,forage,honeyeater flowers,1
23,information,foraging,efforts,forage,information efforts,1
24,ants,forage,nematodes,forage,ants nematodes,1
25,males,foraging,sites,forage,males sites,1
26,species,forages,foraging,forage,species foraging,1
27,family,foraged,food,forage,family food,1
28,fish,forage,areas,forage,fish areas,1
29,poultry,foraged,insects,forage,poultry insects,1
30,bees,foraged,choice,forage,bees choice,1
31,workers,forage,individuals,forage,workers individuals,1
32,birds,foraged,coast,forage,birds coast,1
33,workers,forage,nest,forage,workers nest,1
34,foragers,foraging,stops,forage,foragers stops,1
35,species,forages,fruits,forage,species fruits,1
36,turtles,forage,nest,forage,turtles nest,1
37,bird,forages,composition,forage,bird composition,1
38,species,forages,both,forage,species both,1
39,wild,foraged,edibles,forage,wild edibles,1
40,army,foraging,land,forage,army land,1
41,animal,forages,benefit,forage,animal benefit,1
42,crops,forage,sorghum,forage,crops sorghum,1
43,treaty,forage,crops,forage,treaty crops,1
44,birds,forage,food,forage,birds food,1
45,birds,forage,picture,forage,birds picture,1
46,whales,forage,amount,forage,whales amount,1
47,sisters,foraged,way,forage,sisters way,1
48,wattlebirds,foraged,insects,forage,wattlebirds insects,1
49,family,forages,ground,forage,family ground,1
50,workers,foraging,guard,forage,workers guard,1
51,infantry,foraged,villages,forage,infantry villages,1
52,women,foraged,distances,forage,women distances,1
53,sexes,forage,chicks,forage,sexes chicks,1
54,workers,forage,food,forage,workers food,1
55,populations,forage,prey,forage,populations prey,1
56,groups,forage,group,forage,groups group,1
57,amount,foraged,increases,forage,amount increases,1
58,towhees,forage,insects,forage,towhees insects,1
59,refuse,forage,dumps,forage,refuse dumps,1
60,bird,forages,substrate,forage,bird substrate,1
61,bat,foraged,feet,forage,bat feet,1
62,species,forage,adaptation,forage,species adaptation,1
63,bats,forage,echolocation,forage,bats echolocation,1
64,boreopterids,foraged,swimming,forage,boreopterids swimming,1
65,workers,forage,eggs,forage,workers eggs,1
66,females,forage,male,forage,females male,1
67,birds,forage,underwater,forage,birds underwater,1
68,hosts,foraging,trails,forage,hosts trails,1
69,genera,foraged,diets,forage,genera diets,1
