,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,beaver,gnaws,tree,gnaw,beaver tree,2
1,beaver,gnaws,tree,gnaw,beaver tree,2
2,function,gnawing,food,gnaw,function food,1
3,larvae,gnaw,way,gnaw,larvae way,1
4,parallels,gnawed,hyenas,gnaw,parallels hyenas,1
5,body,gnawed,rats,gnaw,body rats,1
6,mouse,gnawed,snake,gnaw,mouse snake,1
7,memory,gnaws,heart,gnaw,memory heart,1
8,love,gnawed,despair,gnaw,love despair,1
9,birds,gnaw,holes,gnaw,birds holes,1
10,legs,gnawed,wolves,gnaw,legs wolves,1
11,bookworms,gnaw,entrails,gnaw,bookworms entrails,1
12,face,gnawed,horror,gnaw,face horror,1
13,souls,gnawed,heads,gnaw,souls heads,1
14,bones,gnawed,animals,gnaw,bones animals,1
15,population,gnawed,trees,gnaw,population trees,1
16,skyline,gnawed,scrolls,gnaw,skyline scrolls,1
17,worms,gnaw,sides,gnaw,worms sides,1
18,snake,gnawed,way,gnaw,snake way,1
19,queen,gnaws,hole,gnaw,queen hole,1
20,mice,gnaw,rope,gnaw,mice rope,1
21,head,gnawed,mouth,gnaw,head mouth,1
22,shoe,gnawed,dog,gnaw,shoe dog,1
23,place,gnawed,water,gnaw,place water,1
24,rushing,gnawing,millimeter,gnaw,rushing millimeter,1
25,tanks,gnawed,defenses,gnaw,tanks defenses,1
