,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,frost,heave,patterns,heave,frost patterns,2
1,frost,heave,patterns,heave,frost patterns,2
2,men,heave,rocks,heave,men rocks,1
3,survivors,heave,sigh,heave,survivors sigh,1
4,dragons,heave,bodies,heave,dragons bodies,1
5,brigade,heaved,revolver,heave,brigade revolver,1
6,derrick,heave,cargo,heave,derrick cargo,1
7,keeper,heaved,line,heave,keeper line,1
8,sultan,heaved,breath,heave,sultan breath,1
9,elephants,heave,sighs,heave,elephants sighs,1
10,bosoms,heave,love,heave,bosoms love,1
11,era,heaved,sigh,heave,era sigh,1
12,voting,heaved,controversy,heave,voting controversy,1
13,animals,heave,bulk,heave,animals bulk,1
14,ships,hove,officers,heave,ships officers,1
15,customer,heaves,bomb,heave,customer bomb,1
16,gunboat,hove,minesweeper,heave,gunboat minesweeper,1
17,bosoms,heaved,cheeks,heave,bosoms cheeks,1
18,man,heaves,misery,heave,man misery,1
19,kick,heaved,bomb,heave,kick bomb,1
20,ships,heaved,efforts,heave,ships efforts,1
21,crew,hove,ship,heave,crew ship,1
22,batsmen,heaved,ball,heave,batsmen ball,1
23,vessel,heave,shots,heave,vessel shots,1
24,wind,hove,lead,heave,wind lead,1
25,mob,heaved,blocks,heave,mob blocks,1
26,editorial,heaved,sigh,heave,editorial sigh,1
27,object,heaved,body,heave,object body,1
28,group,heaved,objects,heave,group objects,1
29,world,heaved,sigh,heave,world sigh,1
30,goddess,heaved,fireball,heave,goddess fireball,1
31,crew,heaved,guns,heave,crew guns,1
