,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,goals,helped,club,help,goals club,16
1,goals,helped,club,help,goals club,16
2,goals,helped,club,help,goals club,16
3,goals,helped,club,help,goals club,16
4,goals,helped,club,help,goals club,16
5,goals,helped,club,help,goals club,16
6,goals,helped,club,help,goals club,16
7,goals,helped,club,help,goals club,16
8,goals,helped,club,help,goals club,16
9,goals,helped,club,help,goals club,16
10,goals,helped,club,help,goals club,16
11,goals,helped,club,help,goals club,16
12,goals,helped,club,help,goals club,16
13,goals,helped,club,help,goals club,16
14,goals,helped,club,help,goals club,16
15,goals,helped,club,help,goals club,16
16,program,helps,students,help,program students,10
17,program,helps,students,help,program students,10
18,program,helps,students,help,program students,10
19,program,helps,students,help,program students,10
20,program,helps,students,help,program students,10
21,program,helps,students,help,program students,10
22,program,helps,students,help,program students,10
23,program,helps,students,help,program students,10
24,program,helps,students,help,program students,10
25,program,helps,students,help,program students,10
26,organization,helps,people,help,organization people,9
27,organization,helped,people,help,organization people,9
28,organization,helps,people,help,organization people,9
29,organization,helps,people,help,organization people,9
30,organization,helped,people,help,organization people,9
31,organization,helped,people,help,organization people,9
32,organization,helped,people,help,organization people,9
33,organization,helps,people,help,organization people,9
34,organization,helps,people,help,organization people,9
35,program,helped,people,help,program people,6
36,program,helped,people,help,program people,6
37,program,helps,people,help,program people,6
38,program,helps,people,help,program people,6
39,program,helped,people,help,program people,6
40,program,helped,people,help,program people,6
41,success,helped,album,help,success album,5
42,performances,helped,team,help,performances team,5
43,wrestler,helps,another,help,wrestler another,5
44,performances,helped,team,help,performances team,5
45,performance,helped,team,help,performance team,5
46,wrestler,helps,another,help,wrestler another,5
47,son,helped,father,help,son father,5
48,son,helped,father,help,son father,5
49,success,helped,album,help,success album,5
50,performance,helped,team,help,performance team,5
51,wrestler,help,another,help,wrestler another,5
52,success,helped,album,help,success album,5
53,son,helping,father,help,son father,5
54,wrestler,help,another,help,wrestler another,5
55,women,help,men,help,women men,5
56,wrestler,help,another,help,wrestler another,5
57,performances,helped,team,help,performances team,5
58,women,help,men,help,women men,5
59,success,helped,album,help,success album,5
60,performances,help,team,help,performances team,5
61,performances,helped,team,help,performances team,5
62,son,helped,father,help,son father,5
63,son,helps,father,help,son father,5
64,women,helped,men,help,women men,5
65,women,helping,men,help,women men,5
66,success,helped,album,help,success album,5
67,performance,helped,team,help,performance team,5
68,women,helped,men,help,women men,5
69,performance,helped,team,help,performance team,5
70,performance,helped,team,help,performance team,5
71,daughter,helped,mother,help,daughter mother,4
72,people,helping,people,help,people people,4
73,people,helping,people,help,people people,4
74,players,helped,team,help,players team,4
75,bill,helps,databases,help,bill databases,4
76,daughter,helps,mother,help,daughter mother,4
77,men,helped,women,help,men women,4
78,self,help,groups,help,self groups,4
79,work,helped,usher,help,work usher,4
80,foundation,helped,people,help,foundation people,4
81,coming,helped,zone,help,coming zone,4
82,foundation,helped,people,help,foundation people,4
83,charity,helps,families,help,charity families,4
84,sons,helped,father,help,sons father,4
85,men,help,women,help,men women,4
86,goals,helped,team,help,goals team,4
87,organization,helps,women,help,organization women,4
88,guider,helps,client,help,guider client,4
89,self,help,groups,help,self groups,4
90,players,helped,team,help,players team,4
91,coming,helped,zone,help,coming zone,4
92,goals,helped,team,help,goals team,4
93,guider,helps,client,help,guider client,4
94,men,helped,women,help,men women,4
95,self,help,groups,help,self groups,4
96,work,helped,usher,help,work usher,4
