,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,men,hunted,game,hunt,men game,7
1,men,hunted,game,hunt,men game,7
2,men,hunted,game,hunt,men game,7
3,men,hunted,game,hunt,men game,7
4,men,hunted,game,hunt,men game,7
5,men,hunted,game,hunt,men game,7
6,men,hunting,game,hunt,men game,7
7,whaleships,hunted,whales,hunt,whaleships whales,5
8,whaleships,hunted,whales,hunt,whaleships whales,5
9,whaleships,hunted,whales,hunt,whaleships whales,5
10,whaleships,hunted,whales,hunt,whaleships whales,5
11,whaleships,hunted,whales,hunt,whaleships whales,5
12,species,hunts,prey,hunt,species prey,4
13,whale,hunting,voyages,hunt,whale voyages,4
14,whale,hunting,voyages,hunt,whale voyages,4
15,species,hunts,prey,hunt,species prey,4
16,whale,hunting,voyages,hunt,whale voyages,4
17,whale,hunting,voyages,hunt,whale voyages,4
18,people,hunted,animals,hunt,people animals,4
19,species,hunt,prey,hunt,species prey,4
20,people,hunted,animals,hunt,people animals,4
21,species,hunt,prey,hunt,species prey,4
22,people,hunted,animals,hunt,people animals,4
23,people,hunted,animals,hunt,people animals,4
24,tribes,hunted,land,hunt,tribes land,3
25,peoples,hunt,foxes,hunt,peoples foxes,3
26,inhabitants,hunted,animals,hunt,inhabitants animals,3
27,drone,hunted,target,hunt,drone target,3
28,man,hunted,mammoth,hunt,man mammoth,3
29,humans,hunted,animals,hunt,humans animals,3
30,peoples,hunt,foxes,hunt,peoples foxes,3
31,tribes,hunted,land,hunt,tribes land,3
32,tribes,hunted,land,hunt,tribes land,3
33,peoples,hunt,foxes,hunt,peoples foxes,3
34,inhabitants,hunted,animals,hunt,inhabitants animals,3
35,drone,hunted,target,hunt,drone target,3
36,man,hunted,mammoth,hunt,man mammoth,3
37,humans,hunted,animals,hunt,humans animals,3
38,man,hunted,mammoth,hunt,man mammoth,3
39,drone,hunted,target,hunt,drone target,3
40,humans,hunted,animals,hunt,humans animals,3
41,inhabitants,hunt,animals,hunt,inhabitants animals,3
42,hominins,hunted,animals,hunt,hominins animals,2
43,species,hunting,birds,hunt,species birds,2
44,men,hunted,animals,hunt,men animals,2
45,people,hunt,species,hunt,people species,2
46,chimpanzees,hunted,monkeys,hunt,chimpanzees monkeys,2
47,humans,hunted,horses,hunt,humans horses,2
48,families,hunting,bison,hunt,families bison,2
49,men,hunted,buffalo,hunt,men buffalo,2
50,chief,hunting,deer,hunt,chief deer,2
51,grandfather,hunted,bottles,hunt,grandfather bottles,2
52,humans,hunted,horses,hunt,humans horses,2
53,kings,hunted,lions,hunt,kings lions,2
54,species,hunts,birds,hunt,species birds,2
55,detective,hunts,killer,hunt,detective killer,2
56,father,hunting,rifle,hunt,father rifle,2
57,birds,hunt,prey,hunt,birds prey,2
58,whalers,hunt,whales,hunt,whalers whales,2
59,men,hunted,buffalo,hunt,men buffalo,2
60,animals,hunt,poles,hunt,animals poles,2
61,destroyers,hunted,submarine,hunt,destroyers submarine,2
62,whalers,hunted,whales,hunt,whalers whales,2
63,detective,hunts,killer,hunt,detective killer,2
64,population,hunted,animals,hunt,population animals,2
65,humans,hunted,mammals,hunt,humans mammals,2
66,chimpanzees,hunt,monkeys,hunt,chimpanzees monkeys,2
67,lynx,hunts,ungulates,hunt,lynx ungulates,2
68,destroyers,hunted,submarine,hunt,destroyers submarine,2
69,grandfather,hunted,bottles,hunt,grandfather bottles,2
70,tenetъ,hunting,net,hunt,tenetъ net,2
71,kings,hunted,lions,hunt,kings lions,2
72,people,hunted,food,hunt,people food,2
73,animals,hunt,poles,hunt,animals poles,2
74,people,hunt,species,hunt,people species,2
75,father,hunting,rifle,hunt,father rifle,2
76,chief,hunted,deer,hunt,chief deer,2
77,people,hunted,food,hunt,people food,2
78,tenetъ,hunting,net,hunt,tenetъ net,2
79,ships,hunted,whales,hunt,ships whales,2
80,population,hunted,animals,hunt,population animals,2
81,men,hunted,cattle,hunt,men cattle,2
82,lynx,hunts,ungulates,hunt,lynx ungulates,2
83,men,hunted,animals,hunt,men animals,2
