,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,channel,inflated,ratings,inflate,channel ratings,4
1,channel,inflated,ratings,inflate,channel ratings,4
2,channel,inflated,ratings,inflate,channel ratings,4
3,channel,inflated,ratings,inflate,channel ratings,4
4,agreement,inflated,price,inflate,agreement price,3
5,mast,inflates,kite,inflate,mast kite,3
6,agreement,inflated,price,inflate,agreement price,3
7,chuckwalla,inflates,lungs,inflate,chuckwalla lungs,3
8,mast,inflates,kite,inflate,mast kite,3
9,chuckwalla,inflates,lungs,inflate,chuckwalla lungs,3
10,mast,inflates,kite,inflate,mast kite,3
11,agreement,inflated,price,inflate,agreement price,3
12,chuckwalla,inflates,lungs,inflate,chuckwalla lungs,3
13,propaganda,inflated,number,inflate,propaganda number,2
14,miking,inflates,sound,inflate,miking sound,2
15,propaganda,inflated,number,inflate,propaganda number,2
16,one,inflated,tires,inflate,one tires,2
17,one,inflated,tires,inflate,one tires,2
18,operator,inflates,tire,inflate,operator tire,2
19,operator,inflates,tire,inflate,operator tire,2
20,author,inflated,number,inflate,author number,2
21,author,inflated,number,inflate,author number,2
22,fly,inflates,ptilinum,inflate,fly ptilinum,2
23,miking,inflates,sound,inflate,miking sound,2
24,fly,inflates,ptilinum,inflate,fly ptilinum,2
25,system,inflated,airbags,inflate,system airbags,1
26,accounts,inflated,number,inflate,accounts number,1
27,organization,inflated,number,inflate,organization number,1
28,device,inflated,balloon,inflate,device balloon,1
29,chuckwalla,inflates,body,inflate,chuckwalla body,1
30,hospitals,inflate,billings,inflate,hospitals billings,1
31,movement,inflated,impact,inflate,movement impact,1
32,rumour,inflated,number,inflate,rumour number,1
33,poem,inflates,importance,inflate,poem importance,1
34,crew,inflating,dinghy,inflate,crew dinghy,1
35,pilots,inflate,balloons,inflate,pilots balloons,1
36,activists,inflate,antisemitism,inflate,activists antisemitism,1
37,contractor,inflated,costs,inflate,contractor costs,1
38,game,inflate,balloon,inflate,game balloon,1
39,propellant,inflates,tire,inflate,propellant tire,1
40,claims,inflated,tally,inflate,claims tally,1
41,performance,inflated,presence,inflate,performance presence,1
42,club,inflated,price,inflate,club price,1
43,assistance,inflates,price,inflate,assistance price,1
44,schemes,inflated,prices,inflate,schemes prices,1
45,rockfowl,inflates,throat,inflate,rockfowl throat,1
46,male,inflates,throat,inflate,male throat,1
47,assistant,inflates,head,inflate,assistant head,1
48,mission,inflated,claims,inflate,mission claims,1
49,practices,inflate,credentials,inflate,practices credentials,1
50,frog,inflates,body,inflate,frog body,1
51,schools,inflate,grades,inflate,schools grades,1
52,company,inflated,costs,inflate,company costs,1
53,newspapers,inflated,exaggerations,inflate,newspapers exaggerations,1
54,countries,inflated,reserves,inflate,countries reserves,1
55,pair,inflated,revenues,inflate,pair revenues,1
