,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,forces,launched,attack,launch,forces attack,111
1,forces,launched,attack,launch,forces attack,111
2,forces,launched,attack,launch,forces attack,111
3,forces,launched,attack,launch,forces attack,111
4,forces,launched,attack,launch,forces attack,111
5,forces,launched,attack,launch,forces attack,111
6,forces,launched,attack,launch,forces attack,111
7,forces,launched,attack,launch,forces attack,111
8,forces,launched,attack,launch,forces attack,111
9,forces,launched,attack,launch,forces attack,111
10,forces,launched,attack,launch,forces attack,111
11,forces,launched,attack,launch,forces attack,111
12,forces,launched,attack,launch,forces attack,111
13,forces,launched,attack,launch,forces attack,111
14,forces,launched,attack,launch,forces attack,111
15,forces,launching,attack,launch,forces attack,111
16,forces,launched,attack,launch,forces attack,111
17,forces,launched,attack,launch,forces attack,111
18,forces,launched,attack,launch,forces attack,111
19,forces,launched,attack,launch,forces attack,111
20,forces,launch,attack,launch,forces attack,111
21,forces,launched,attack,launch,forces attack,111
22,forces,launched,attack,launch,forces attack,111
23,forces,launched,attack,launch,forces attack,111
24,forces,launched,attack,launch,forces attack,111
25,forces,launched,attack,launch,forces attack,111
26,forces,launched,attack,launch,forces attack,111
27,forces,launched,attack,launch,forces attack,111
28,forces,launched,attack,launch,forces attack,111
29,forces,launched,attack,launch,forces attack,111
30,forces,launched,attack,launch,forces attack,111
31,forces,launched,attack,launch,forces attack,111
32,forces,launched,attack,launch,forces attack,111
33,forces,launched,attack,launch,forces attack,111
34,forces,launched,attack,launch,forces attack,111
35,forces,launch,attack,launch,forces attack,111
36,forces,launched,attack,launch,forces attack,111
37,forces,launched,attack,launch,forces attack,111
38,forces,launched,attack,launch,forces attack,111
39,forces,launched,attack,launch,forces attack,111
40,forces,launched,attack,launch,forces attack,111
41,forces,launched,attack,launch,forces attack,111
42,forces,launched,attack,launch,forces attack,111
43,forces,launch,attack,launch,forces attack,111
44,forces,launched,attack,launch,forces attack,111
45,forces,launched,attack,launch,forces attack,111
46,forces,launched,attack,launch,forces attack,111
47,forces,launched,attack,launch,forces attack,111
48,forces,launch,attack,launch,forces attack,111
49,forces,launched,attack,launch,forces attack,111
50,forces,launched,attack,launch,forces attack,111
51,forces,launched,attack,launch,forces attack,111
52,forces,launched,attack,launch,forces attack,111
53,forces,launched,attack,launch,forces attack,111
54,forces,launched,attack,launch,forces attack,111
55,forces,launch,attack,launch,forces attack,111
56,forces,launched,attack,launch,forces attack,111
57,forces,launched,attack,launch,forces attack,111
58,forces,launch,attack,launch,forces attack,111
59,forces,launched,attack,launch,forces attack,111
60,forces,launched,attack,launch,forces attack,111
61,forces,launched,attack,launch,forces attack,111
62,forces,launched,attack,launch,forces attack,111
63,forces,launched,attack,launch,forces attack,111
64,forces,launched,attack,launch,forces attack,111
65,forces,launched,attack,launch,forces attack,111
66,forces,launch,attack,launch,forces attack,111
67,forces,launched,attack,launch,forces attack,111
