,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,dogs,licked,blood,lick,dogs blood,5
1,dogs,lick,blood,lick,dogs blood,5
2,dogs,licked,blood,lick,dogs blood,5
3,dogs,licked,blood,lick,dogs blood,5
4,dogs,licked,blood,lick,dogs blood,5
5,cat,licked,blood,lick,cat blood,3
6,cat,licks,blood,lick,cat blood,3
7,ghost,licks,blood,lick,ghost blood,3
8,ghost,licks,blood,lick,ghost blood,3
9,cat,licks,blood,lick,cat blood,3
10,ghost,licks,blood,lick,ghost blood,3
11,dog,lick,wounds,lick,dog wounds,2
12,cat,licked,fur,lick,cat fur,2
13,mother,licks,infant,lick,mother infant,2
14,hounds,licked,hands,lick,hounds hands,2
15,hounds,licked,hands,lick,hounds hands,2
16,females,lick,clitorises,lick,females clitorises,2
17,females,lick,clitorises,lick,females clitorises,2
18,cat,licked,fur,lick,cat fur,2
19,cat,licked,cream,lick,cat cream,2
20,mother,licks,infant,lick,mother infant,2
21,sheep,licks,ashes,lick,sheep ashes,2
22,sheep,licks,ashes,lick,sheep ashes,2
23,dog,licks,wounds,lick,dog wounds,2
24,cat,licking,cream,lick,cat cream,2
25,mouth,licks,lips,lick,mouth lips,1
26,dog,licked,wound,lick,dog wound,1
27,cat,licked,incision,lick,cat incision,1
28,cat,licked,fingers,lick,cat fingers,1
29,animal,licks,chops,lick,animal chops,1
30,foxes,licked,caretakers,lick,foxes caretakers,1
31,child,licks,plaything,lick,child plaything,1
32,bear,licks,face,lick,bear face,1
33,serpent,licked,face,lick,serpent face,1
34,everyone,licks,wounds,lick,everyone wounds,1
35,artist,licking,face,lick,artist face,1
36,puppy,licks,one,lick,puppy one,1
37,aardvark,licks,insects,lick,aardvark insects,1
38,king,licks,fingers,lick,king fingers,1
39,dogs,lick,sores,lick,dogs sores,1
40,person,licks,salt,lick,person salt,1
41,dog,licked,remains,lick,dog remains,1
42,male,licking,head,lick,male head,1
43,flames,licked,skin,lick,flames skin,1
44,dog,licks,mouth,lick,dog mouth,1
45,dogs,licked,stranger,lick,dogs stranger,1
46,woman,licks,peach,lick,woman peach,1
47,mother,licked,nose,lick,mother nose,1
48,dogs,lick,face,lick,dogs face,1
49,bullock,licks,face,lick,bullock face,1
50,control,licked,wounds,lick,control wounds,1
51,people,licked,dust,lick,people dust,1
52,species,lick,corneas,lick,species corneas,1
53,diplomat,licked,diplomat,lick,diplomat diplomat,1
54,males,lick,clitorises,lick,males clitorises,1
55,pigs,licked,blood,lick,pigs blood,1
56,beetles,lick,droplets,lick,beetles droplets,1
57,man,licking,hand,lick,man hand,1
58,horse,licked,face,lick,horse face,1
59,smoke,licking,front,lick,smoke front,1
60,shadows,lick,sun,lick,shadows sun,1
61,hedgehogs,lick,substances,lick,hedgehogs substances,1
62,animal,licks,paw,lick,animal paw,1
63,whatever,licks,sores,lick,whatever sores,1
64,dog,licks,owner,lick,dog owner,1
65,dog,licking,toothbrush,lick,dog toothbrush,1
66,mothers,lick,heads,lick,mothers heads,1
67,cow,licking,calf,lick,cow calf,1
68,deer,licked,ground,lick,deer ground,1
69,train,licks,valleys,lick,train valleys,1
70,man,licked,face,lick,man face,1
71,lady,licking,lollipop,lick,lady lollipop,1
72,pigs,licking,food,lick,pigs food,1
73,another,licking,behind,lick,another behind,1
74,cat,licks,chops,lick,cat chops,1
75,dog,licks,foot,lick,dog foot,1
76,flames,licked,face,lick,flames face,1
77,woman,licks,teeth,lick,woman teeth,1
78,dog,licks,bottom,lick,dog bottom,1
79,kangaroos,lick,testicles,lick,kangaroos testicles,1
80,animal,licks,fur,lick,animal fur,1
81,mother,licks,calf,lick,mother calf,1
82,male,licks,genitalia,lick,male genitalia,1
83,workers,licking,surfaces,lick,workers surfaces,1
84,urination,licking,urine,lick,urination urine,1
85,terrier,licked,hand,lick,terrier hand,1
86,individuals,lick,area,lick,individuals area,1
87,partners,lick,genitals,lick,partners genitals,1
88,mothers,lick,product,lick,mothers product,1
89,rams,lick,penis,lick,rams penis,1
90,dog,licked,cocaine,lick,dog cocaine,1
91,mothers,lick,infants,lick,mothers infants,1
92,album,lick,wounds,lick,album wounds,1
93,actors,licking,female,lick,actors female,1
94,dog,licks,face,lick,dog face,1
95,lip,licking,stops,lick,lip stops,1
96,water,licks,flanks,lick,water flanks,1
97,submission,licking,face,lick,submission face,1
98,flames,licked,brush,lick,flames brush,1
99,picture,licking,lips,lick,picture lips,1
100,feet,licked,mother,lick,feet mother,1
101,doe,licks,rock,lick,doe rock,1
102,tongue,licking,lips,lick,tongue lips,1
103,snake,licked,ears,lick,snake ears,1
104,mother,licks,puppy,lick,mother puppy,1
105,snake,licks,ear,lick,snake ear,1
106,somebody,licked,cream,lick,somebody cream,1
107,dog,licks,feet,lick,dog feet,1
108,sheepdogs,licked,back,lick,sheepdogs back,1
109,doe,licking,fluid,lick,doe fluid,1
110,mother,licks,area,lick,mother area,1
111,heart,licks,finger,lick,heart finger,1
112,dog,licking,hand,lick,dog hand,1
113,monkeys,licking,water,lick,monkeys water,1
114,majority,licked,caretakers,lick,majority caretakers,1
115,cat,lick,testicles,lick,cat testicles,1
116,cats,lick,area,lick,cats area,1
117,man,licked,lollipop,lick,man lollipop,1
118,rat,licks,face,lick,rat face,1
119,lemurs,lick,babies,lick,lemurs babies,1
120,case,licks,stripper,lick,case stripper,1
121,ewe,licks,ashes,lick,ewe ashes,1
122,dog,licks,shoes,lick,dog shoes,1
123,yōkai,licks,lanterns,lick,yōkai lanterns,1
124,cats,licked,lamps,lick,cats lamps,1
125,version,licked,hands,lick,version hands,1
126,loris,licks,glands,lick,loris glands,1
127,animals,licked,saliva,lick,animals saliva,1
128,dog,licks,bile,lick,dog bile,1
129,people,lick,fingertip,lick,people fingertip,1
130,people,lick,tongues,lick,people tongues,1
131,boy,licks,hand,lick,boy hand,1
132,male,licks,neck,lick,male neck,1
133,serow,licks,mouth,lick,serow mouth,1
134,dogs,lick,faces,lick,dogs faces,1
135,marmoset,licks,exudates,lick,marmoset exudates,1
136,child,licks,hand,lick,child hand,1
137,customer,lick,back,lick,customer back,1
138,male,licks,rump,lick,male rump,1
139,mother,licks,fawn,lick,mother fawn,1
140,female,licked,one,lick,female one,1
141,dog,licks,moxidectin,lick,dog moxidectin,1
142,male,licks,region,lick,male region,1
143,women,lick,lips,lick,women lips,1
144,flames,licked,building,lick,flames building,1
145,pet,licks,owner,lick,pet owner,1
