,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,production,lighting,design,light,production design,14
1,production,lighting,design,light,production design,14
2,people,light,candles,light,people candles,14
3,people,light,candles,light,people candles,14
4,people,light,candles,light,people candles,14
5,people,light,candles,light,people candles,14
6,people,lit,candles,light,people candles,14
7,people,lighting,candles,light,people candles,14
8,production,lighting,design,light,production design,14
9,people,lit,candles,light,people candles,14
10,people,lit,candles,light,people candles,14
11,production,lighting,design,light,production design,14
12,production,lighting,design,light,production design,14
13,people,lit,candles,light,people candles,14
14,production,lighting,design,light,production design,14
15,production,lighting,design,light,production design,14
16,production,lighting,design,light,production design,14
17,production,lighting,design,light,production design,14
18,people,light,candles,light,people candles,14
19,production,lighting,design,light,production design,14
20,production,lighting,design,light,production design,14
21,people,lit,candles,light,people candles,14
22,people,light,candles,light,people candles,14
23,people,light,candles,light,people candles,14
24,people,light,candles,light,people candles,14
25,production,lighting,design,light,production design,14
26,production,lighting,design,light,production design,14
27,production,lighting,design,light,production design,14
28,people,lit,bonfires,light,people bonfires,9
29,people,light,bonfires,light,people bonfires,9
30,people,light,bonfires,light,people bonfires,9
31,people,light,bonfires,light,people bonfires,9
32,people,light,bonfires,light,people bonfires,9
33,people,lit,bonfires,light,people bonfires,9
34,people,lit,bonfires,light,people bonfires,9
35,people,light,bonfires,light,people bonfires,9
36,people,lit,bonfires,light,people bonfires,9
37,windows,lit,interior,light,windows interior,7
38,windows,light,interior,light,windows interior,7
39,windows,light,interior,light,windows interior,7
40,windows,light,interior,light,windows interior,7
41,windows,light,interior,light,windows interior,7
42,windows,light,interior,light,windows interior,7
43,windows,light,interior,light,windows interior,7
44,show,lighting,design,light,show design,6
45,show,lighting,design,light,show design,6
46,show,lighting,design,light,show design,6
47,show,lighting,design,light,show design,6
48,show,lighting,design,light,show design,6
49,show,lighting,design,light,show design,6
50,people,lit,bonfire,light,people bonfire,5
51,people,light,bonfire,light,people bonfire,5
52,son,lights,pyre,light,son pyre,5
53,son,lit,pyre,light,son pyre,5
54,son,lighting,pyre,light,son pyre,5
55,people,light,bonfire,light,people bonfire,5
56,people,lit,bonfire,light,people bonfire,5
57,son,lit,pyre,light,son pyre,5
