,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,ringmaster,massages,legs,massage,ringmaster legs,2
1,ringmaster,massages,legs,massage,ringmaster legs,2
2,doctors,massaged,heart,massage,doctors heart,1
3,woman,massaging,scalp,massage,woman scalp,1
4,mouth,massaging,teat,massage,mouth teat,1
5,sunshine,massaged,ass,massage,sunshine ass,1
6,collector,massages,penis,massage,collector penis,1
7,embalmer,massages,body,massage,embalmer body,1
8,impactions,massaging,ileum,massage,impactions ileum,1
9,sponsor,massages,body,massage,sponsor body,1
10,software,massages,states,massage,software states,1
11,product,massages,clitoris,massage,product clitoris,1
12,venom,massaging,legs,massage,venom legs,1
13,tongue,massages,milk,massage,tongue milk,1
14,dreams,massage,woman,massage,dreams woman,1
15,players,massages,one,massage,players one,1
16,doctor,massaged,heart,massage,doctor heart,1
17,caress,massaging,body,massage,caress body,1
18,crab,massages,base,massage,crab base,1
19,model,massages,contestant,massage,model contestant,1
20,healer,massaging,areas,massage,healer areas,1
21,ears,massaged,melodies,massage,ears melodies,1
22,producers,massage,interactions,massage,producers interactions,1
23,devices,massaging,face,massage,devices face,1
