,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,farmers,milk,cows,milk,farmers cows,2
1,witch,milked,cow,milk,witch cow,2
2,farmers,milked,cows,milk,farmers cows,2
3,witch,milked,cow,milk,witch cow,2
4,play,milks,much,milk,play much,1
5,farmers,milked,animals,milk,farmers animals,1
6,farmer,milks,cow,milk,farmer cow,1
7,one,milks,cows,milk,one cows,1
8,milker,milk,cow,milk,milker cow,1
9,calves,milk,replacer,milk,calves replacer,1
10,ants,milking,aphids,milk,ants aphids,1
11,herders,milk,cows,milk,herders cows,1
12,staff,milk,cows,milk,staff cows,1
13,witch,milked,dry,milk,witch dry,1
14,cattle,milked,men,milk,cattle men,1
15,ants,milk,secretions,milk,ants secretions,1
16,farm,milking,cows,milk,farm cows,1
17,presenter,milked,cows,milk,presenter cows,1
18,film,milks,recent,milk,film recent,1
19,beings,milked,earth,milk,beings earth,1
20,children,milk,cow,milk,children cow,1
21,women,milk,cattle,milk,women cattle,1
22,neighbor,milk,cow,milk,neighbor cow,1
23,researchers,milk,snakes,milk,researchers snakes,1
24,father,milk,cow,milk,father cow,1
25,lawyers,milk,couple,milk,lawyers couple,1
26,shepherds,milked,sheep,milk,shepherds sheep,1
27,women,milking,cows,milk,women cows,1
28,farmer,milked,cows,milk,farmer cows,1
29,thousands,milking,place,milk,thousands place,1
30,director,milked,situation,milk,director situation,1
31,machines,milk,cows,milk,machines cows,1
32,mother,milked,cows,milk,mother cows,1
33,mothers,milk,day,milk,mothers day,1
34,church,milks,snakes,milk,church snakes,1
35,worker,milked,cows,milk,worker cows,1
36,labourers,milk,cows,milk,labourers cows,1
37,favorites,milk,friction,milk,favorites friction,1
38,creatures,milk,creature,milk,creatures creature,1
39,family,milked,cows,milk,family cows,1
