,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,minister,preached,sermon,preach,minister sermon,4
1,minister,preaches,sermon,preach,minister sermon,4
2,sermon,preached,sermon,preach,sermon sermon,4
3,sermon,preached,sermon,preach,sermon sermon,4
4,sermon,preached,sermon,preach,sermon sermon,4
5,sermon,preached,sermon,preach,sermon sermon,4
6,minister,preaches,sermon,preach,minister sermon,4
7,minister,preached,sermon,preach,minister sermon,4
8,missionaries,preaching,message,preach,missionaries message,3
9,missionaries,preached,message,preach,missionaries message,3
10,leaders,preached,sort,preach,leaders sort,3
11,ministers,preached,sermons,preach,ministers sermons,3
12,ministers,preached,sermons,preach,ministers sermons,3
13,leaders,preached,sort,preach,leaders sort,3
14,missionaries,preaching,message,preach,missionaries message,3
15,centers,preached,ideals,preach,centers ideals,3
16,centers,preached,ideals,preach,centers ideals,3
17,centers,preached,ideals,preach,centers ideals,3
18,ministers,preached,sermons,preach,ministers sermons,3
19,leaders,preached,sort,preach,leaders sort,3
20,ministers,preached,resistance,preach,ministers resistance,2
21,missionaries,preached,religion,preach,missionaries religion,2
22,missionaries,preached,religion,preach,missionaries religion,2
23,life,preaching,sermons,preach,life sermons,2
24,editorials,preached,philosophy,preach,editorials philosophy,2
25,vicars,preached,sermons,preach,vicars sermons,2
26,pope,preached,crusade,preach,pope crusade,2
27,leaders,preaching,emancipation,preach,leaders emancipation,2
28,brother,preached,sermon,preach,brother sermon,2
29,school,preached,enjoyment,preach,school enjoyment,2
30,companion,preached,sermon,preach,companion sermon,2
31,voices,preaching,homosexuals,preach,voices homosexuals,2
32,brother,preached,sermon,preach,brother sermon,2
33,members,preached,end,preach,members end,2
34,members,preached,end,preach,members end,2
35,ministers,preached,obedience,preach,ministers obedience,2
36,pastor,preaches,sermon,preach,pastor sermon,2
37,father,preached,sermon,preach,father sermon,2
38,band,preaches,religion,preach,band religion,2
39,pastor,preached,sermon,preach,pastor sermon,2
40,life,preaching,sermons,preach,life sermons,2
41,band,preaches,religion,preach,band religion,2
42,lecture,preaching,compatibility,preach,lecture compatibility,2
43,saints,preaching,teachings,preach,saints teachings,2
44,editorials,preached,philosophy,preach,editorials philosophy,2
45,friars,preached,gospel,preach,friars gospel,2
46,father,preach,sermon,preach,father sermon,2
47,lecture,preaching,compatibility,preach,lecture compatibility,2
48,same,preached,people,preach,same people,2
49,voices,preaching,homosexuals,preach,voices homosexuals,2
50,leaders,preached,emancipation,preach,leaders emancipation,2
51,school,preached,enjoyment,preach,school enjoyment,2
52,vicar,preached,sermon,preach,vicar sermon,2
53,members,preach,filiality,preach,members filiality,2
54,members,preach,filiality,preach,members filiality,2
55,vicars,preach,sermons,preach,vicars sermons,2
56,companion,preached,sermon,preach,companion sermon,2
57,saints,preaching,teachings,preach,saints teachings,2
58,ministers,preached,resistance,preach,ministers resistance,2
59,ministers,preached,obedience,preach,ministers obedience,2
60,same,preached,people,preach,same people,2
61,pope,preached,crusade,preach,pope crusade,2
62,friars,preached,gospel,preach,friars gospel,2
63,vicar,preached,sermon,preach,vicar sermon,2
64,sermon,preached,minister,preach,sermon minister,1
65,group,preached,possessions,preach,group possessions,1
66,socialists,preached,inevitability,preach,socialists inevitability,1
67,sentiments,preach,religion,preach,sentiments religion,1
68,missionaries,preached,wave,preach,missionaries wave,1
69,gospel,preached,majority,preach,gospel majority,1
70,gods,preaches,doctrine,preach,gods doctrine,1
71,sect,preached,doctrine,preach,sect doctrine,1
72,prophet,preached,gospel,preach,prophet gospel,1
73,founder,preached,form,preach,founder form,1
74,sermon,preached,place,preach,sermon place,1
75,publications,preached,alternatives,preach,publications alternatives,1
76,music,preached,change,preach,music change,1
77,exiles,preached,ideology,preach,exiles ideology,1
78,mother,preached,grandmother,preach,mother grandmother,1
79,sermon,preached,sentiments,preach,sermon sentiments,1
80,sermons,preached,confutation,preach,sermons confutation,1
81,philosophy,preaches,tolerance,preach,philosophy tolerance,1
82,sermon,preached,state,preach,sermon state,1
83,verses,preach,tolerance,preach,verses tolerance,1
84,caliph,preached,task,preach,caliph task,1
85,elaborations,preached,repentance,preach,elaborations repentance,1
86,priest,preached,cures,preach,priest cures,1
87,father,preached,music,preach,father music,1
88,reformer,preached,sermon,preach,reformer sermon,1
89,economy,preaches,utter,preach,economy utter,1
90,missionaries,preached,doctrine,preach,missionaries doctrine,1
91,dei,preached,sermon,preach,dei sermon,1
92,preachers,preached,sermon,preach,preachers sermon,1
93,church,preached,gospel,preach,church gospel,1
94,completion,preached,sermons,preach,completion sermons,1
95,evangelicals,preached,supporters,preach,evangelicals supporters,1
96,women,preached,values,preach,women values,1
97,mother,preached,sermon,preach,mother sermon,1
98,efforts,preached,cause,preach,efforts cause,1
99,ministers,preach,much,preach,ministers much,1
100,son,preaching,repentance,preach,son repentance,1
101,priest,preaching,passage,preach,priest passage,1
102,shivling,preached,family,preach,shivling family,1
103,actions,preaching,evils,preach,actions evils,1
104,three,preached,tenets,preach,three tenets,1
105,concept,preaching,tradition,preach,concept tradition,1
106,health,preaching,gospel,preach,health gospel,1
107,denominations,preached,doctrines,preach,denominations doctrines,1
108,sermons,preached,matter,preach,sermons matter,1
109,nuns,preached,value,preach,nuns value,1
110,missionaries,preached,ideals,preach,missionaries ideals,1
111,church,preaching,stations,preach,church stations,1
112,relics,preach,gospel,preach,relics gospel,1
113,boy,preaches,family,preach,boy family,1
114,scholars,preaching,desire,preach,scholars desire,1
115,revivalists,preached,doctrines,preach,revivalists doctrines,1
116,records,preached,conversion,preach,records conversion,1
117,manifesto,preached,democracy,preach,manifesto democracy,1
118,friar,preached,sermon,preach,friar sermon,1
119,preaching,preached,apostles,preach,preaching apostles,1
120,books,preaching,cult,preach,books cult,1
121,servant,preach,sermons,preach,servant sermons,1
122,ministers,preached,belief,preach,ministers belief,1
123,both,preached,idea,preach,both idea,1
124,text,preaches,chastity,preach,text chastity,1
125,minister,preached,discipline,preach,minister discipline,1
126,gospel,preached,worker,preach,gospel worker,1
127,pirate,preaches,all,preach,pirate all,1
128,confessor,preached,rump,preach,confessor rump,1
129,narrator,preaches,need,preach,narrator need,1
130,son,preached,students,preach,son students,1
131,movement,preached,faith,preach,movement faith,1
132,pupil,preached,dependence,preach,pupil dependence,1
133,figure,preaches,disbelief,preach,figure disbelief,1
134,elder,preached,gospel,preach,elder gospel,1
135,two,preached,basis,preach,two basis,1
136,son,preached,funeral,preach,son funeral,1
137,group,preached,hatred,preach,group hatred,1
138,churches,preached,gospel,preach,churches gospel,1
139,version,preached,abstinence,preach,version abstinence,1
140,socialism,preaching,revolution,preach,socialism revolution,1
141,writings,preached,theology,preach,writings theology,1
142,imams,preached,jihad,preach,imams jihad,1
143,prophetess,preached,gospel,preach,prophetess gospel,1
144,latter,preached,sacrament,preach,latter sacrament,1
145,grandfather,preached,people,preach,grandfather people,1
146,followers,preached,message,preach,followers message,1
147,prosecution,preached,sermon,preach,prosecution sermon,1
148,album,preaches,type,preach,album type,1
149,answer,preached,doctrine,preach,answer doctrine,1
150,leaders,preached,cooperation,preach,leaders cooperation,1
151,elders,preached,calling,preach,elders calling,1
152,believers,preaching,millenarianism,preach,believers millenarianism,1
153,organization,preached,unity,preach,organization unity,1
154,papers,preached,assimilation,preach,papers assimilation,1
155,church,preaches,message,preach,church message,1
156,prophets,preached,faith,preach,prophets faith,1
157,students,preach,college,preach,students college,1
158,mosque,preached,brand,preach,mosque brand,1
159,clergy,preached,areas,preach,clergy areas,1
160,head,preached,way,preach,head way,1
161,fellow,preached,sermons,preach,fellow sermons,1
162,faith,preaches,contrary,preach,faith contrary,1
163,priest,preached,affair,preach,priest affair,1
164,missionaries,preached,sermons,preach,missionaries sermons,1
165,discourses,preached,grasp,preach,discourses grasp,1
166,elders,preach,dogma,preach,elders dogma,1
167,group,preached,idea,preach,group idea,1
168,apostles,preached,gospel,preach,apostles gospel,1
169,cleric,preached,renewal,preach,cleric renewal,1
170,members,preached,ideas,preach,members ideas,1
171,both,preached,repentance,preach,both repentance,1
172,brother,preached,crown,preach,brother crown,1
173,mission,preach,gospel,preach,mission gospel,1
174,monk,preached,teachings,preach,monk teachings,1
175,rector,preached,sermon,preach,rector sermon,1
176,confessions,preached,sick,preach,confessions sick,1
177,deacon,preaches,verses,preach,deacon verses,1
178,beings,preach,glory,preach,beings glory,1
