,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,women,sewing,machinists,sew,women machinists,2
1,wife,sewed,flag,sew,wife flag,2
2,women,sewed,clothing,sew,women clothing,2
3,women,sew,clothes,sew,women clothes,2
4,women,sewed,clothes,sew,women clothes,2
5,one,sews,patch,sew,one patch,2
6,tailor,sew,pocket,sew,tailor pocket,2
7,doctor,sew,ear,sew,doctor ear,2
8,doctor,sew,ear,sew,doctor ear,2
9,women,sewing,machinists,sew,women machinists,2
10,tailor,sew,flag,sew,tailor flag,2
11,tailor,sew,pocket,sew,tailor pocket,2
12,wife,sewed,flag,sew,wife flag,2
13,dragons,sewn,hair,sew,dragons hair,2
14,tailor,sew,flag,sew,tailor flag,2
15,one,sews,patch,sew,one patch,2
16,dragons,sewn,hair,sew,dragons hair,2
17,women,sewed,clothing,sew,women clothing,2
18,buttons,sewn,means,sew,buttons means,1
19,children,sew,patchwork,sew,children patchwork,1
20,scale,sewed,garments,sew,scale garments,1
21,brand,sew,program,sew,brand program,1
22,colonists,sewed,pages,sew,colonists pages,1
23,hand,sews,clothes,sew,hand clothes,1
24,workers,sewed,thousands,sew,workers thousands,1
25,canvas,sewing,flag,sew,canvas flag,1
26,departure,sewed,seeds,sew,departure seeds,1
27,mother,sewed,gowns,sew,mother gowns,1
28,staff,sewed,emblem,sew,staff emblem,1
29,students,sewed,costumes,sew,students costumes,1
30,people,sew,footballs,sew,people footballs,1
31,group,sewed,one,sew,group one,1
32,majority,sewn,person,sew,majority person,1
33,assistants,sewed,wound,sew,assistants wound,1
34,daughter,sewed,flag,sew,daughter flag,1
35,worm,sews,brassiere,sew,worm brassiere,1
36,wife,sews,hramota,sew,wife hramota,1
37,wife,sewed,kimonos,sew,wife kimonos,1
38,grandmother,sews,dress,sew,grandmother dress,1
39,crew,sews,head,sew,crew head,1
40,basic,sewn,range,sew,basic range,1
41,couth,sew,bot,sew,couth bot,1
42,cloth,sewn,hand,sew,cloth hand,1
43,wife,sewed,pattern,sew,wife pattern,1
44,wife,sewed,binding,sew,wife binding,1
45,pages,sewn,hand,sew,pages hand,1
46,exit,sewn,seeds,sew,exit seeds,1
47,agencies,sew,flags,sew,agencies flags,1
48,word,sewn,all,sew,word all,1
49,men,sew,care,sew,men care,1
50,women,sew,articles,sew,women articles,1
51,actors,sewed,costumes,sew,actors costumes,1
52,existence,sewed,dissent,sew,existence dissent,1
53,most,sewn,mother,sew,most mother,1
54,women,sew,patterns,sew,women patterns,1
55,style,sewing,shoes,sew,style shoes,1
56,machine,sewed,seams,sew,machine seams,1
57,mother,sewed,cape,sew,mother cape,1
58,people,sewed,shoes,sew,people shoes,1
59,ability,sew,household,sew,ability household,1
60,mother,sew,wounds,sew,mother wounds,1
61,action,sews,layers,sew,action layers,1
62,doctor,sewed,finger,sew,doctor finger,1
63,mother,sewed,shirts,sew,mother shirts,1
64,queen,sews,babygrow,sew,queen babygrow,1
65,kimono,sewn,women,sew,kimono women,1
66,teachers,sewed,masks,sew,teachers masks,1
67,community,sewed,clothing,sew,community clothing,1
68,volunteers,sewed,masks,sew,volunteers masks,1
69,tailor,sew,suit,sew,tailor suit,1
70,artist,sewed,names,sew,artist names,1
71,grandmother,sewed,garment,sew,grandmother garment,1
72,men,sewing,lips,sew,men lips,1
73,girls,sew,clothes,sew,girls clothes,1
74,chimpanzee,sew,couple,sew,chimpanzee couple,1
75,saint,sews,hands,sew,saint hands,1
76,women,sew,braiding,sew,women braiding,1
77,players,sewed,uniforms,sew,players uniforms,1
78,one,sew,apron,sew,one apron,1
79,company,sewing,yards,sew,company yards,1
80,designers,sewed,costumes,sew,designers costumes,1
81,women,sewed,handkerchiefs,sew,women handkerchiefs,1
82,work,sews,images,sew,work images,1
83,mother,sewed,clothing,sew,mother clothing,1
84,women,sewing,costumes,sew,women costumes,1
85,volunteers,sewed,miniature,sew,volunteers miniature,1
86,activists,sew,chevrons,sew,activists chevrons,1
87,woman,sewed,star,sew,woman star,1
88,women,sewing,sandbags,sew,women sandbags,1
89,stomach,sews,shut,sew,stomach shut,1
90,objects,sewn,objects,sew,objects objects,1
91,families,sewed,clothing,sew,families clothing,1
92,leaders,sew,skin,sew,leaders skin,1
93,hand,sewing,pages,sew,hand pages,1
94,teams,sewed,shirts,sew,teams shirts,1
95,woman,sews,flag,sew,woman flag,1
96,women,sewed,uniforms,sew,women uniforms,1
97,rebels,sewed,clothes,sew,rebels clothes,1
98,mother,sewed,lead,sew,mother lead,1
99,women,sew,corpse,sew,women corpse,1
100,expedition,sewed,blankets,sew,expedition blankets,1
101,sister,sewed,fabric,sew,sister fabric,1
102,commander,sewed,stripe,sew,commander stripe,1
103,man,sewed,stone,sew,man stone,1
104,mother,sewed,soles,sew,mother soles,1
105,ears,sewed,head,sew,ears head,1
106,winds,sewed,harnesses,sew,winds harnesses,1
107,sister,sewed,garments,sew,sister garments,1
108,mother,sewed,dresses,sew,mother dresses,1
109,cloth,sewn,monks,sew,cloth monks,1
110,tailor,sew,bands,sew,tailor bands,1
111,father,sewed,mouth,sew,father mouth,1
112,thrifty,sew,hems,sew,thrifty hems,1
113,voters,sewed,nomination,sew,voters nomination,1
114,lady,sewed,eyebrows,sew,lady eyebrows,1
115,institution,sewed,dresses,sew,institution dresses,1
116,people,sewed,hand,sew,people hand,1
117,women,sewed,garments,sew,women garments,1
118,material,sewn,stripes,sew,material stripes,1
119,students,sewed,gifts,sew,students gifts,1
120,auxiliary,sewed,slogan,sew,auxiliary slogan,1
121,mother,sewed,coats,sew,mother coats,1
122,festival,sew,bonds,sew,festival bonds,1
123,colony,sews,clothes,sew,colony clothes,1
124,surgeon,sews,glans,sew,surgeon glans,1
125,activities,sewing,clothes,sew,activities clothes,1
126,friend,sews,jewel,sew,friend jewel,1
127,mother,sewed,flag,sew,mother flag,1
128,mother,sewed,pads,sew,mother pads,1
129,ward,sewed,swimsuits,sew,ward swimsuits,1
130,artist,sewing,skin,sew,artist skin,1
131,tablia,sewn,pairwise,sew,tablia pairwise,1
132,history,sewn,canoes,sew,history canoes,1
133,dait,sew,form,sew,dait form,1
134,seamstress,sewed,flag,sew,seamstress flag,1
135,stranger,sews,skin,sew,stranger skin,1
136,woman,sews,tailback,sew,woman tailback,1
137,character,sews,head,sew,character head,1
138,dog,sewing,fish,sew,dog fish,1
139,mother,sews,name,sew,mother name,1
140,seamstress,sews,clothing,sew,seamstress clothing,1
141,surgeon,sews,tendon,sew,surgeon tendon,1
142,rockers,sewed,jeans,sew,rockers jeans,1
143,clothes,sewn,machine,sew,clothes machine,1
144,stylist,sewed,fabric,sew,stylist fabric,1
145,mother,sewed,samples,sew,mother samples,1
146,government,sewed,tears,sew,government tears,1
147,mother,sewed,bases,sew,mother bases,1
148,prisoners,sewed,uniforms,sew,prisoners uniforms,1
149,creators,sew,costumes,sew,creators costumes,1
150,dwellings,sewn,mats,sew,dwellings mats,1
151,needle,sewing,seam,sew,needle seam,1
152,images,sewing,pearls,sew,images pearls,1
153,sister,sewed,flag,sew,sister flag,1
154,hand,sewn,gift,sew,hand gift,1
155,women,sewed,skirts,sew,women skirts,1
156,mother,sew,designs,sew,mother designs,1
157,surgeon,sews,graft,sew,surgeon graft,1
158,wife,sewed,flags,sew,wife flags,1
159,captors,sewed,skull,sew,captors skull,1
160,climax,sews,narrative,sew,climax narrative,1
161,three,sewed,examples,sew,three examples,1
162,students,sewing,students,sew,students students,1
163,inmates,sew,one,sew,inmates one,1
164,people,sew,fabric,sew,people fabric,1
165,witch,sews,boys,sew,witch boys,1
166,flag,sewn,ladies,sew,flag ladies,1
167,mother,sewing,clothes,sew,mother clothes,1
168,tailor,sews,suits,sew,tailor suits,1
169,brides,sew,shirt,sew,brides shirt,1
170,mother,sewed,work,sew,mother work,1
171,customer,sew,operation,sew,customer operation,1
172,doctor,sewing,shut,sew,doctor shut,1
