,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,brokers,shop,risks,shop,brokers risks,1
1,shops,shops,doors,shop,shops doors,1
2,hosts,shopping,events,shop,hosts events,1
3,people,shopped,place,shop,people place,1
4,subjects,shop,courses,shop,subjects courses,1
5,group,shopped,version,shop,group version,1
6,results,shop,lenders,shop,results lenders,1
7,houses,shop,space,shop,houses space,1
8,two,shopping,complex,shop,two complex,1
9,trio,shopped,demos,shop,trio demos,1
10,work,shopped,staff,shop,work staff,1
11,brand,shops,opening,shop,brand opening,1
12,people,shopped,needs,shop,people needs,1
13,construction,shopping,complex,shop,construction complex,1
14,girls,shopping,people,shop,girls people,1
15,town,shopping,churches,shop,town churches,1
16,band,shopped,record,shop,band record,1
17,residents,shop,business,shop,residents business,1
18,carpenters,shop,facilities,shop,carpenters facilities,1
19,comparison,shopping,items,shop,comparison items,1
20,majority,shop,window,shop,majority window,1
21,customers,shop,most,shop,customers most,1
22,band,shopped,demo,shop,band demo,1
23,agent,shopped,novel,shop,agent novel,1
24,residents,shop,services,shop,residents services,1
25,people,shop,fashion,shop,people fashion,1
26,boss,shopped,design,shop,boss design,1
27,band,shopped,demos,shop,band demos,1
28,manager,shopped,song,shop,manager song,1
29,women,shopped,saris,shop,women saris,1
30,owner,shop,favors,shop,owner favors,1
31,band,shopped,album,shop,band album,1
32,activists,shop,windows,shop,activists windows,1
33,grocery,shopping,evening,shop,grocery evening,1
34,manager,shopped,tapes,shop,manager tapes,1
35,producers,shopped,film,shop,producers film,1
36,users,shop,videos,shop,users videos,1
37,agent,shopped,draft,shop,agent draft,1
