,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,events,sowed,seeds,sow,events seeds,5
1,events,sowed,seeds,sow,events seeds,5
2,events,sowed,seeds,sow,events seeds,5
3,events,sowed,seeds,sow,events seeds,5
4,events,sow,seeds,sow,events seeds,5
5,forces,sowed,city,sow,forces city,4
6,event,sowed,seeds,sow,event seeds,4
7,forces,sowed,city,sow,forces city,4
8,event,sowed,seeds,sow,event seeds,4
9,forces,sowed,city,sow,forces city,4
10,forces,sowed,city,sow,forces city,4
11,event,sowed,seeds,sow,event seeds,4
12,event,sowed,seeds,sow,event seeds,4
13,arrival,sowed,panic,sow,arrival panic,3
14,arrival,sowed,panic,sow,arrival panic,3
15,farmer,sow,seeds,sow,farmer seeds,3
16,raids,sowed,fear,sow,raids fear,3
17,farmer,sow,seeds,sow,farmer seeds,3
18,farmer,sow,seeds,sow,farmer seeds,3
19,arrival,sowed,panic,sow,arrival panic,3
20,raids,sowed,fear,sow,raids fear,3
21,raids,sowed,fear,sow,raids fear,3
22,angel,sowed,destruction,sow,angel destruction,2
23,angel,sowed,destruction,sow,angel destruction,2
24,man,sows,whatever,sow,man whatever,2
25,general,sowed,city,sow,general city,2
26,success,sowed,seeds,sow,success seeds,2
27,resentment,sowed,seeds,sow,resentment seeds,2
28,people,sow,filthiness,sow,people filthiness,2
29,population,sowed,seeds,sow,population seeds,2
30,success,sowed,seeds,sow,success seeds,2
31,giant,sow,thistle,sow,giant thistle,2
32,women,sow,seeds,sow,women seeds,2
33,man,sows,whatever,sow,man whatever,2
34,farmers,sow,fields,sow,farmers fields,2
35,rats,sowed,hatred,sow,rats hatred,2
36,father,sowed,seeds,sow,father seeds,2
37,father,sows,seeds,sow,father seeds,2
38,people,sow,filthiness,sow,people filthiness,2
39,tree,sow,sowthistle,sow,tree sowthistle,2
40,marketing,sowed,seeds,sow,marketing seeds,2
41,rats,sowed,hatred,sow,rats hatred,2
42,delays,sow,mistrust,sow,delays mistrust,2
43,delays,sow,mistrust,sow,delays mistrust,2
44,farmers,sow,fields,sow,farmers fields,2
45,marketing,sowed,seeds,sow,marketing seeds,2
46,women,sow,seeds,sow,women seeds,2
47,tree,sow,sowthistle,sow,tree sowthistle,2
48,presence,sowed,panic,sow,presence panic,2
49,presence,sowed,panic,sow,presence panic,2
50,general,sowed,city,sow,general city,2
51,giant,sow,thistle,sow,giant thistle,2
52,resentment,sowed,seeds,sow,resentment seeds,2
53,population,sowing,seeds,sow,population seeds,2
54,armies,sowed,terror,sow,armies terror,1
55,one,sows,field,sow,one field,1
56,wife,sows,seeds,sow,wife seeds,1
57,wins,sowed,seeds,sow,wins seeds,1
58,settlers,sowed,kinds,sow,settlers kinds,1
59,ideals,sow,seeds,sow,ideals seeds,1
