,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,horse,stumbled,saddle,stumble,horse saddle,2
1,horse,stumbled,saddle,stumble,horse saddle,2
2,team,stumbled,team,stumble,team team,2
3,team,stumbled,team,stumble,team team,2
4,protagonist,stumbles,woman,stumble,protagonist woman,1
5,eyes,stumbled,grin,stumble,eyes grin,1
6,explorer,stumbles,fire,stumble,explorer fire,1
7,mother,stumbled,entries,stumble,mother entries,1
8,two,stumbled,group,stumble,two group,1
9,friends,stumble,visions,stumble,friends visions,1
10,cartoonist,stumbling,decades,stumble,cartoonist decades,1
11,group,stumbled,alternatives,stumble,group alternatives,1
12,stranger,stumbles,intent,stumble,stranger intent,1
13,horses,stumbled,veterinarians,stumble,horses veterinarians,1
14,forces,stumbled,outpost,stumble,forces outpost,1
15,journalist,stumbles,tale,stumble,journalist tale,1
16,team,stumbled,contenders,stumble,team contenders,1
17,customer,stumbled,commotion,stumble,customer commotion,1
18,actors,stumble,footage,stumble,actors footage,1
19,attendant,stumbled,oath,stumble,attendant oath,1
20,career,stumbled,couple,stumble,career couple,1
21,agents,stumble,way,stumble,agents way,1
22,horse,stumbled,both,stumble,horse both,1
23,government,stumble,much,stumble,government much,1
24,two,stumbles,stance,stumble,two stance,1
25,man,stumbles,laugh,stumble,man laugh,1
26,boat,stumbles,reconnaissance,stumble,boat reconnaissance,1
27,party,stumbled,camp,stumble,party camp,1
28,time,stumbled,hours,stumble,time hours,1
29,person,stumbles,third,stumble,person third,1
30,everyman,stumble,way,stumble,everyman way,1
31,woman,stumbles,slaughter,stumble,woman slaughter,1
32,group,stumble,one,stumble,group one,1
33,state,stumbled,arguments,stumble,state arguments,1
34,team,stumbled,little,stumble,team little,1
35,troops,stumbled,one,stumble,troops one,1
36,group,stumbled,man,stumble,group man,1
37,episode,stumbled,season,stumble,episode season,1
38,favourite,stumbled,yards,stumble,favourite yards,1
39,horse,stumbled,succession,stumble,horse succession,1
40,hero,stumbling,gesture,stumble,hero gesture,1
41,team,stumble,inscriptions,stumble,team inscriptions,1
42,men,stumble,factions,stumble,men factions,1
43,artist,stumbling,step,stumble,artist step,1
44,game,stumbles,line,stumble,game line,1
45,pair,stumble,home,stumble,pair home,1
46,horse,stumbled,stones,stumble,horse stones,1
47,man,stumbles,ingenuity,stumble,man ingenuity,1
48,tracks,stumble,naif,stumble,tracks naif,1
49,patrolman,stumbled,whistle,stumble,patrolman whistle,1
50,staggers,stumbles,head,stumble,staggers head,1
51,three,stumble,box,stumble,three box,1
52,drunkard,stumbled,pistol,stumble,drunkard pistol,1
53,teacher,stumbled,police,stumble,teacher police,1
54,runaway,stumbled,position,stumble,runaway position,1
55,ship,stumbled,inhabitants,stumble,ship inhabitants,1
56,poet,stumbles,song,stumble,poet song,1
57,characters,stumble,reindeer,stumble,characters reindeer,1
58,people,stumbled,limbs,stumble,people limbs,1
59,destroyers,stumbled,opposition,stumble,destroyers opposition,1
60,operator,stumbled,find,stumble,operator find,1
61,oracles,stumbled,number,stumble,oracles number,1
62,man,stumbles,gun,stumble,man gun,1
63,reading,stumbles,manufacturing,stumble,reading manufacturing,1
64,police,stumble,clip,stumble,police clip,1
65,characters,stumble,supplies,stumble,characters supplies,1
66,men,stumble,delegation,stumble,men delegation,1
67,boys,stumble,swim,stumble,boys swim,1
68,crew,stumbled,history,stumble,crew history,1
69,driver,stumbles,news,stumble,driver news,1
70,writer,stumbled,article,stumble,writer article,1
71,club,stumbled,winless,stumble,club winless,1
72,several,stumbled,overland,stumble,several overland,1
73,sentries,stumbled,bayonets,stumble,sentries bayonets,1
74,man,stumbles,girl,stumble,man girl,1
75,form,stumbled,season,stumble,form season,1
76,team,stumbled,season,stumble,team season,1
77,journalist,stumbles,motorist,stumble,journalist motorist,1
78,issues,stumbles,meeting,stumble,issues meeting,1
79,visitors,stumbled,tape,stumble,visitors tape,1
80,father,stumbled,truth,stumble,father truth,1
81,convicts,stumble,pair,stumble,convicts pair,1
82,group,stumble,mercenaries,stumble,group mercenaries,1
83,men,stumble,mark,stumble,men mark,1
84,summer,stumbled,trip,stumble,summer trip,1
85,girl,stumbled,deal,stumble,girl deal,1
86,group,stumbled,fireworks,stumble,group fireworks,1
87,group,stumble,butler,stumble,group butler,1
88,students,stumbled,flag,stumble,students flag,1
89,team,stumbled,playoffs,stumble,team playoffs,1
90,group,stumble,counterparts,stumble,group counterparts,1
