,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,troops,subdued,rebellion,subdue,troops rebellion,6
1,troops,subdued,rebellion,subdue,troops rebellion,6
2,troops,subdued,rebellion,subdue,troops rebellion,6
3,troops,subdued,rebellion,subdue,troops rebellion,6
4,troops,subdued,rebellion,subdue,troops rebellion,6
5,troops,subdued,rebellion,subdue,troops rebellion,6
6,forces,subdued,kingdoms,subdue,forces kingdoms,2
7,man,subdues,nature,subdue,man nature,2
8,defense,subdued,drive,subdue,defense drive,2
9,dynasty,subdued,neighbors,subdue,dynasty neighbors,2
10,intelligence,subdues,senses,subdue,intelligence senses,2
11,intelligence,subdues,senses,subdue,intelligence senses,2
12,forces,subdued,revolt,subdue,forces revolt,2
13,forces,subdued,kingdoms,subdue,forces kingdoms,2
14,tanks,subdued,strongpoints,subdue,tanks strongpoints,2
15,defense,subdued,drive,subdue,defense drive,2
16,man,subdued,nature,subdue,man nature,2
17,forces,subdued,revolt,subdue,forces revolt,2
18,men,subdued,revolt,subdue,men revolt,2
19,dynasty,subdued,neighbors,subdue,dynasty neighbors,2
20,men,subdued,revolt,subdue,men revolt,2
21,tanks,subdued,strongpoints,subdue,tanks strongpoints,2
22,terrain,subdued,terrain,subdue,terrain terrain,1
23,people,subdued,man,subdue,people man,1
24,police,subdued,men,subdue,police men,1
25,conquistadors,subdued,inhabitants,subdue,conquistadors inhabitants,1
26,player,subdues,girls,subdue,player girls,1
27,wall,subdued,backdrop,subdue,wall backdrop,1
28,army,subdued,island,subdue,army island,1
29,croon,subdues,note,subdue,croon note,1
30,team,subdues,tenants,subdue,team tenants,1
31,generations,subdued,islands,subdue,generations islands,1
32,fall,subdued,princess,subdue,fall princess,1
33,hatred,subdues,fear,subdue,hatred fear,1
34,advanced,subdued,crew,subdue,advanced crew,1
35,defeat,subdued,region,subdue,defeat region,1
36,fleet,subdued,fortifications,subdue,fleet fortifications,1
37,guardsmen,subdued,sheriff,subdue,guardsmen sheriff,1
38,van,subdued,woman,subdue,van woman,1
39,officer,subdued,one,subdue,officer one,1
40,lip,subdued,dancing,subdue,lip dancing,1
41,defeat,subdued,organization,subdue,defeat organization,1
42,valour,subdued,aborigines,subdue,valour aborigines,1
43,forces,subdued,supporters,subdue,forces supporters,1
44,officers,subdued,mutineers,subdue,officers mutineers,1
45,raids,subdues,kingdom,subdue,raids kingdom,1
46,professionalism,subdue,leanings,subdue,professionalism leanings,1
47,government,subdued,opposition,subdue,government opposition,1
48,men,subdue,rebels,subdue,men rebels,1
49,death,subdued,rag,subdue,death rag,1
50,desert,subdued,tab,subdue,desert tab,1
51,prefers,subdued,light,subdue,prefers light,1
52,designs,subdued,lighting,subdue,designs lighting,1
