,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,teams,tackles,tackles,tackle,teams tackles,16
1,teams,tackle,tackles,tackle,teams tackles,16
2,teams,tackles,tackles,tackle,teams tackles,16
3,teams,tackle,tackles,tackle,teams tackles,16
4,teams,tackle,tackles,tackle,teams tackles,16
5,teams,tackle,tackles,tackle,teams tackles,16
6,teams,tackle,tackles,tackle,teams tackles,16
7,teams,tackle,tackles,tackle,teams tackles,16
8,teams,tackle,tackles,tackle,teams tackles,16
9,teams,tackles,tackles,tackle,teams tackles,16
10,teams,tackles,tackles,tackle,teams tackles,16
11,teams,tackles,tackles,tackle,teams tackles,16
12,teams,tackles,tackles,tackle,teams tackles,16
13,teams,tackle,tackles,tackle,teams tackles,16
14,teams,tackles,tackles,tackle,teams tackles,16
15,teams,tackle,tackles,tackle,teams tackles,16
16,riders,tackling,climb,tackle,riders climb,13
17,riders,tackling,climb,tackle,riders climb,13
18,riders,tackled,climb,tackle,riders climb,13
19,riders,tackled,climb,tackle,riders climb,13
20,riders,tackled,climb,tackle,riders climb,13
21,riders,tackled,climb,tackle,riders climb,13
22,riders,tackled,climb,tackle,riders climb,13
23,riders,tackled,climb,tackle,riders climb,13
24,riders,tackling,climb,tackle,riders climb,13
25,riders,tackled,climb,tackle,riders climb,13
26,riders,tackled,climb,tackle,riders climb,13
27,riders,tackled,climb,tackle,riders climb,13
28,riders,tackled,climb,tackle,riders climb,13
29,football,tackles,players,tackle,football players,11
30,football,tackles,players,tackle,football players,11
31,football,tackles,players,tackle,football players,11
32,football,tackles,players,tackle,football players,11
33,football,tackles,players,tackle,football players,11
34,football,tackles,players,tackle,football players,11
35,football,tackles,players,tackle,football players,11
36,football,tackles,players,tackle,football players,11
37,football,tackles,players,tackle,football players,11
38,football,tackles,players,tackle,football players,11
39,football,tackles,players,tackle,football players,11
40,show,tackled,issues,tackle,show issues,10
41,show,tackled,issues,tackle,show issues,10
42,show,tackled,issues,tackle,show issues,10
43,show,tackles,issues,tackle,show issues,10
44,show,tackled,issues,tackle,show issues,10
45,show,tackles,issues,tackle,show issues,10
46,show,tackled,issues,tackle,show issues,10
47,show,tackled,issues,tackle,show issues,10
48,show,tackles,issues,tackle,show issues,10
49,show,tackle,issues,tackle,show issues,10
50,film,tackled,subject,tackle,film subject,9
51,film,tackles,subject,tackle,film subject,9
52,film,tackles,subject,tackle,film subject,9
53,film,tackles,subject,tackle,film subject,9
54,film,tackles,subject,tackle,film subject,9
55,film,tackles,subject,tackle,film subject,9
56,film,tackles,subject,tackle,film subject,9
57,film,tackles,subject,tackle,film subject,9
58,film,tackles,subject,tackle,film subject,9
59,firefighters,tackled,fire,tackle,firefighters fire,6
60,firefighters,tackled,fire,tackle,firefighters fire,6
61,firefighters,tackled,fire,tackle,firefighters fire,6
62,firefighters,tackled,fire,tackle,firefighters fire,6
63,firefighters,tackled,fire,tackle,firefighters fire,6
64,firefighters,tackled,fire,tackle,firefighters fire,6
65,lyrics,tackled,issues,tackle,lyrics issues,5
66,lyrics,tackling,topics,tackle,lyrics topics,5
67,songs,tackled,issues,tackle,songs issues,5
68,lyrics,tackle,topics,tackle,lyrics topics,5
69,lyrics,tackle,themes,tackle,lyrics themes,5
70,lyrics,tackle,topics,tackle,lyrics topics,5
71,lyrics,tackled,topics,tackle,lyrics topics,5
72,songs,tackle,issues,tackle,songs issues,5
73,lyrics,tackle,topics,tackle,lyrics topics,5
74,lyrics,tackle,issues,tackle,lyrics issues,5
75,songs,tackle,issues,tackle,songs issues,5
76,lyrics,tackles,themes,tackle,lyrics themes,5
77,songs,tackle,issues,tackle,songs issues,5
78,lyrics,tackle,issues,tackle,lyrics issues,5
79,lyrics,tackle,themes,tackle,lyrics themes,5
80,lyrics,tackle,issues,tackle,lyrics issues,5
81,lyrics,tackle,themes,tackle,lyrics themes,5
82,songs,tackle,issues,tackle,songs issues,5
83,lyrics,tackle,themes,tackle,lyrics themes,5
84,lyrics,tackle,issues,tackle,lyrics issues,5
85,show,tackled,subject,tackle,show subject,4
86,teams,tackle,fumble,tackle,teams fumble,4
87,play,tackles,issues,tackle,play issues,4
88,film,tackles,issues,tackle,film issues,4
89,series,tackled,issues,tackle,series issues,4
90,series,tackled,issues,tackle,series issues,4
91,story,tackles,issue,tackle,story issue,4
92,play,tackles,issues,tackle,play issues,4
93,series,tackles,issues,tackle,series issues,4
94,story,tackles,issue,tackle,story issue,4
95,player,tackles,opponent,tackle,player opponent,4
96,films,tackle,issues,tackle,films issues,4
97,riders,tackled,climbs,tackle,riders climbs,4
