,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,corner,threw,towel,throw,corner towel,87
1,corner,threw,towel,throw,corner towel,87
2,corner,threw,towel,throw,corner towel,87
3,corner,threw,towel,throw,corner towel,87
4,corner,threw,towel,throw,corner towel,87
5,corner,threw,towel,throw,corner towel,87
6,corner,threw,towel,throw,corner towel,87
7,corner,threw,towel,throw,corner towel,87
8,corner,throw,towel,throw,corner towel,87
9,corner,threw,towel,throw,corner towel,87
10,corner,threw,towel,throw,corner towel,87
11,corner,threw,towel,throw,corner towel,87
12,corner,threw,towel,throw,corner towel,87
13,corner,threw,towel,throw,corner towel,87
14,corner,threw,towel,throw,corner towel,87
15,corner,threw,towel,throw,corner towel,87
16,corner,threw,towel,throw,corner towel,87
17,corner,threw,towel,throw,corner towel,87
18,corner,threw,towel,throw,corner towel,87
19,corner,throwing,towel,throw,corner towel,87
20,corner,threw,towel,throw,corner towel,87
21,corner,threw,towel,throw,corner towel,87
22,corner,threw,towel,throw,corner towel,87
23,corner,threw,towel,throw,corner towel,87
24,corner,threw,towel,throw,corner towel,87
25,corner,threw,towel,throw,corner towel,87
26,corner,throwing,towel,throw,corner towel,87
27,corner,threw,towel,throw,corner towel,87
28,corner,threw,towel,throw,corner towel,87
29,corner,threw,towel,throw,corner towel,87
30,corner,throwing,towel,throw,corner towel,87
31,corner,threw,towel,throw,corner towel,87
32,corner,threw,towel,throw,corner towel,87
33,corner,threw,towel,throw,corner towel,87
34,corner,threw,towel,throw,corner towel,87
35,corner,threw,towel,throw,corner towel,87
36,corner,throwing,towel,throw,corner towel,87
37,corner,threw,towel,throw,corner towel,87
38,corner,threw,towel,throw,corner towel,87
39,corner,threw,towel,throw,corner towel,87
40,corner,threw,towel,throw,corner towel,87
41,corner,throw,towel,throw,corner towel,87
42,corner,threw,towel,throw,corner towel,87
43,corner,threw,towel,throw,corner towel,87
44,corner,throw,towel,throw,corner towel,87
45,corner,threw,towel,throw,corner towel,87
46,corner,threw,towel,throw,corner towel,87
47,corner,threw,towel,throw,corner towel,87
48,corner,threw,towel,throw,corner towel,87
49,corner,threw,towel,throw,corner towel,87
50,corner,threw,towel,throw,corner towel,87
51,corner,threw,towel,throw,corner towel,87
52,corner,threw,towel,throw,corner towel,87
53,corner,threw,towel,throw,corner towel,87
54,corner,threw,towel,throw,corner towel,87
55,corner,threw,towel,throw,corner towel,87
56,corner,threw,towel,throw,corner towel,87
57,corner,threw,towel,throw,corner towel,87
58,corner,threw,towel,throw,corner towel,87
59,corner,threw,towel,throw,corner towel,87
60,corner,threw,towel,throw,corner towel,87
61,corner,threw,towel,throw,corner towel,87
62,corner,threw,towel,throw,corner towel,87
63,corner,threw,towel,throw,corner towel,87
64,corner,threw,towel,throw,corner towel,87
65,corner,throw,towel,throw,corner towel,87
66,corner,threw,towel,throw,corner towel,87
67,corner,threw,towel,throw,corner towel,87
68,corner,threw,towel,throw,corner towel,87
69,corner,threw,towel,throw,corner towel,87
70,corner,threw,towel,throw,corner towel,87
71,corner,threw,towel,throw,corner towel,87
72,corner,threw,towel,throw,corner towel,87
73,corner,threw,towel,throw,corner towel,87
74,corner,threw,towel,throw,corner towel,87
75,corner,throwing,towel,throw,corner towel,87
76,corner,threw,towel,throw,corner towel,87
77,corner,threw,towel,throw,corner towel,87
78,corner,threw,towel,throw,corner towel,87
79,corner,threw,towel,throw,corner towel,87
80,corner,threw,towel,throw,corner towel,87
81,corner,threw,towel,throw,corner towel,87
82,corner,threw,towel,throw,corner towel,87
83,corner,threw,towel,throw,corner towel,87
84,corner,threw,towel,throw,corner towel,87
85,corner,threw,towel,throw,corner towel,87
86,corner,threw,towel,throw,corner towel,87
87,native,threw,handed,throw,native handed,55
88,native,threw,handed,throw,native handed,55
89,native,threw,handed,throw,native handed,55
90,native,threw,handed,throw,native handed,55
91,native,threw,handed,throw,native handed,55
92,native,threw,handed,throw,native handed,55
93,native,threw,handed,throw,native handed,55
94,native,threw,handed,throw,native handed,55
95,native,threw,handed,throw,native handed,55
96,native,threw,handed,throw,native handed,55
97,native,threw,handed,throw,native handed,55
98,native,threw,handed,throw,native handed,55
99,native,threw,handed,throw,native handed,55
100,native,threw,handed,throw,native handed,55
101,native,threw,handed,throw,native handed,55
102,native,threw,handed,throw,native handed,55
103,native,threw,handed,throw,native handed,55
104,native,threw,handed,throw,native handed,55
105,native,threw,handed,throw,native handed,55
106,native,threw,handed,throw,native handed,55
107,native,threw,handed,throw,native handed,55
108,native,threw,handed,throw,native handed,55
109,native,threw,handed,throw,native handed,55
110,native,threw,handed,throw,native handed,55
111,native,threw,handed,throw,native handed,55
112,native,threw,handed,throw,native handed,55
113,native,threw,handed,throw,native handed,55
114,native,threw,handed,throw,native handed,55
115,native,threw,handed,throw,native handed,55
116,native,threw,handed,throw,native handed,55
117,native,threw,handed,throw,native handed,55
118,native,threw,handed,throw,native handed,55
119,native,threw,handed,throw,native handed,55
120,native,threw,handed,throw,native handed,55
121,native,threw,handed,throw,native handed,55
122,native,threw,handed,throw,native handed,55
123,native,threw,handed,throw,native handed,55
124,native,threw,handed,throw,native handed,55
125,native,threw,handed,throw,native handed,55
126,native,threw,handed,throw,native handed,55
127,native,threw,handed,throw,native handed,55
128,native,threw,handed,throw,native handed,55
129,native,threw,handed,throw,native handed,55
130,native,threw,handed,throw,native handed,55
131,native,threw,handed,throw,native handed,55
132,native,threw,handed,throw,native handed,55
133,native,threw,handed,throw,native handed,55
134,native,threw,handed,throw,native handed,55
135,native,threw,handed,throw,native handed,55
136,native,threw,handed,throw,native handed,55
137,native,threw,handed,throw,native handed,55
138,native,threw,handed,throw,native handed,55
139,native,threw,handed,throw,native handed,55
140,native,threw,handed,throw,native handed,55
141,native,threw,handed,throw,native handed,55
142,player,threw,ball,throw,player ball,47
143,player,throws,ball,throw,player ball,47
144,player,throws,ball,throw,player ball,47
145,player,throws,ball,throw,player ball,47
146,player,throws,ball,throw,player ball,47
147,player,throw,ball,throw,player ball,47
148,player,throws,ball,throw,player ball,47
149,player,throws,ball,throw,player ball,47
150,player,threw,ball,throw,player ball,47
151,player,throw,ball,throw,player ball,47
152,player,throws,ball,throw,player ball,47
153,player,throw,ball,throw,player ball,47
154,player,throwing,ball,throw,player ball,47
155,player,throw,ball,throw,player ball,47
156,player,throws,ball,throw,player ball,47
157,player,throws,ball,throw,player ball,47
158,player,throws,ball,throw,player ball,47
159,player,throw,ball,throw,player ball,47
160,player,throws,ball,throw,player ball,47
161,player,throws,ball,throw,player ball,47
162,player,throwing,ball,throw,player ball,47
163,player,throws,ball,throw,player ball,47
164,player,throws,ball,throw,player ball,47
165,player,throws,ball,throw,player ball,47
166,player,throws,ball,throw,player ball,47
167,player,throws,ball,throw,player ball,47
168,player,throws,ball,throw,player ball,47
169,player,threw,ball,throw,player ball,47
170,player,throws,ball,throw,player ball,47
