,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,frog,wrinkled,frog,wrinkle,frog frog,4
1,frog,wrinkled,frog,wrinkle,frog frog,4
2,frog,wrinkled,frog,wrinkle,frog frog,4
3,frog,wrinkled,frog,wrinkle,frog frog,4
4,plums,wrinkled,appearance,wrinkle,plums appearance,1
5,garments,wrinkles,ironing,wrinkle,garments ironing,1
6,tales,wrinkled,men,wrinkle,tales men,1
7,animal,wrinkles,nose,wrinkle,animal nose,1
8,sons,wrinkles,nose,wrinkle,sons nose,1
9,loose,wrinkled,skin,wrinkle,loose skin,1
10,bases,wrinkled,skin,wrinkle,bases skin,1
11,species,wrinkled,skin,wrinkle,species skin,1
12,hail,wrinkled,skin,wrinkle,hail skin,1
13,cat,wrinkles,muzzle,wrinkle,cat muzzle,1
14,surface,wrinkled,skin,wrinkle,surface skin,1
15,show,wrinkled,enamel,wrinkle,show enamel,1
16,jaws,wrinkled,enamel,wrinkle,jaws enamel,1
17,fur,wrinkled,clothing,wrinkle,fur clothing,1
18,liposuction,wrinkled,skin,wrinkle,liposuction skin,1
19,years,wrinkled,faces,wrinkle,years faces,1
20,giant,wrinkled,frog,wrinkle,giant frog,1
21,dwarf,wrinkled,frog,wrinkle,dwarf frog,1
22,set,wrinkled,leaves,wrinkle,set leaves,1
23,bears,wrinkled,seeds,wrinkle,bears seeds,1
24,person,wrinkles,nose,wrinkle,person nose,1
25,head,wrinkled,appearance,wrinkle,head appearance,1
26,lesions,wrinkled,skin,wrinkle,lesions skin,1
27,elytra,wrinkled,areas,wrinkle,elytra areas,1
28,brownish,wrinkled,blotches,wrinkle,brownish blotches,1
29,genus,wrinkled,frog,wrinkle,genus frog,1
30,forms,wrinkled,fruit,wrinkle,forms fruit,1
31,flowers,wrinkled,oranges,wrinkle,flowers oranges,1
32,boned,wrinkled,man,wrinkle,boned man,1
33,all,wrinkled,tentacle,wrinkle,all tentacle,1
