,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,band,wrote,songs,write,band songs,143
1,band,wrote,songs,write,band songs,143
2,band,wrote,songs,write,band songs,143
3,band,wrote,songs,write,band songs,143
4,band,wrote,songs,write,band songs,143
5,band,writes,songs,write,band songs,143
6,band,wrote,songs,write,band songs,143
7,band,wrote,songs,write,band songs,143
8,band,wrote,songs,write,band songs,143
9,band,wrote,songs,write,band songs,143
10,band,wrote,songs,write,band songs,143
11,band,wrote,songs,write,band songs,143
12,band,wrote,songs,write,band songs,143
13,band,wrote,songs,write,band songs,143
14,band,wrote,songs,write,band songs,143
15,band,wrote,songs,write,band songs,143
16,band,wrote,songs,write,band songs,143
17,band,wrote,songs,write,band songs,143
18,band,wrote,songs,write,band songs,143
19,band,wrote,songs,write,band songs,143
20,band,wrote,songs,write,band songs,143
21,band,wrote,songs,write,band songs,143
22,band,wrote,songs,write,band songs,143
23,band,wrote,songs,write,band songs,143
24,band,wrote,songs,write,band songs,143
25,band,wrote,songs,write,band songs,143
26,band,wrote,songs,write,band songs,143
27,band,wrote,songs,write,band songs,143
28,band,wrote,songs,write,band songs,143
29,band,wrote,songs,write,band songs,143
30,band,wrote,songs,write,band songs,143
31,band,write,songs,write,band songs,143
32,band,wrote,songs,write,band songs,143
33,band,wrote,songs,write,band songs,143
34,band,wrote,songs,write,band songs,143
35,band,wrote,songs,write,band songs,143
36,band,wrote,songs,write,band songs,143
37,band,wrote,songs,write,band songs,143
38,band,wrote,songs,write,band songs,143
39,band,wrote,songs,write,band songs,143
40,band,wrote,songs,write,band songs,143
41,band,wrote,songs,write,band songs,143
42,band,wrote,songs,write,band songs,143
43,band,wrote,songs,write,band songs,143
44,band,write,songs,write,band songs,143
45,band,wrote,songs,write,band songs,143
46,band,wrote,songs,write,band songs,143
47,band,wrote,songs,write,band songs,143
48,band,wrote,songs,write,band songs,143
49,band,wrote,songs,write,band songs,143
50,band,writes,songs,write,band songs,143
51,band,wrote,songs,write,band songs,143
52,band,wrote,songs,write,band songs,143
53,band,wrote,songs,write,band songs,143
54,band,wrote,songs,write,band songs,143
55,band,wrote,songs,write,band songs,143
56,band,writing,songs,write,band songs,143
57,band,wrote,songs,write,band songs,143
58,band,wrote,songs,write,band songs,143
59,band,wrote,songs,write,band songs,143
60,band,writes,songs,write,band songs,143
61,band,wrote,songs,write,band songs,143
62,band,wrote,songs,write,band songs,143
63,band,wrote,songs,write,band songs,143
64,band,writing,songs,write,band songs,143
65,band,wrote,songs,write,band songs,143
66,band,wrote,songs,write,band songs,143
67,band,wrote,songs,write,band songs,143
68,band,wrote,songs,write,band songs,143
69,band,wrote,songs,write,band songs,143
70,band,wrote,songs,write,band songs,143
71,band,wrote,songs,write,band songs,143
72,band,wrote,songs,write,band songs,143
73,band,wrote,songs,write,band songs,143
74,band,wrote,songs,write,band songs,143
75,band,wrote,songs,write,band songs,143
76,band,writing,songs,write,band songs,143
77,band,wrote,songs,write,band songs,143
78,band,wrote,songs,write,band songs,143
79,band,writing,songs,write,band songs,143
80,band,wrote,songs,write,band songs,143
81,band,write,songs,write,band songs,143
82,band,wrote,songs,write,band songs,143
83,band,wrote,songs,write,band songs,143
84,band,wrote,songs,write,band songs,143
85,band,wrote,songs,write,band songs,143
86,band,wrote,songs,write,band songs,143
87,band,wrote,songs,write,band songs,143
88,band,writing,songs,write,band songs,143
89,band,write,songs,write,band songs,143
90,band,wrote,songs,write,band songs,143
91,band,write,songs,write,band songs,143
92,band,wrote,songs,write,band songs,143
93,band,wrote,songs,write,band songs,143
94,band,wrote,songs,write,band songs,143
95,band,wrote,songs,write,band songs,143
96,band,writes,songs,write,band songs,143
97,band,wrote,songs,write,band songs,143
98,band,wrote,songs,write,band songs,143
99,band,wrote,songs,write,band songs,143
100,band,wrote,songs,write,band songs,143
101,band,wrote,songs,write,band songs,143
102,band,wrote,songs,write,band songs,143
103,band,wrote,songs,write,band songs,143
104,band,wrote,songs,write,band songs,143
105,band,wrote,songs,write,band songs,143
106,band,wrote,songs,write,band songs,143
107,band,wrote,songs,write,band songs,143
108,band,wrote,songs,write,band songs,143
109,band,wrote,songs,write,band songs,143
110,band,writing,songs,write,band songs,143
111,band,wrote,songs,write,band songs,143
112,band,wrote,songs,write,band songs,143
113,band,wrote,songs,write,band songs,143
114,band,wrote,songs,write,band songs,143
115,band,wrote,songs,write,band songs,143
116,band,writes,songs,write,band songs,143
117,band,write,songs,write,band songs,143
118,band,wrote,songs,write,band songs,143
119,band,wrote,songs,write,band songs,143
120,band,wrote,songs,write,band songs,143
121,band,wrote,songs,write,band songs,143
122,band,wrote,songs,write,band songs,143
123,band,wrote,songs,write,band songs,143
124,band,wrote,songs,write,band songs,143
125,band,writes,songs,write,band songs,143
126,band,writes,songs,write,band songs,143
127,band,wrote,songs,write,band songs,143
128,band,wrote,songs,write,band songs,143
129,band,wrote,songs,write,band songs,143
130,band,wrote,songs,write,band songs,143
131,band,wrote,songs,write,band songs,143
132,band,wrote,songs,write,band songs,143
133,band,writing,songs,write,band songs,143
134,band,writes,songs,write,band songs,143
135,band,wrote,songs,write,band songs,143
136,band,wrote,songs,write,band songs,143
137,band,wrote,songs,write,band songs,143
138,band,wrote,songs,write,band songs,143
139,band,written,songs,write,band songs,143
140,band,wrote,songs,write,band songs,143
141,band,wrote,songs,write,band songs,143
142,band,wrote,songs,write,band songs,143
143,poet,wrote,poem,write,poet poem,107
144,poet,wrote,poem,write,poet poem,107
145,poet,wrote,poem,write,poet poem,107
146,poet,wrote,poem,write,poet poem,107
147,poet,wrote,poem,write,poet poem,107
