,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,station,adjusted,format,adjust,station format,13
1,station,adjusted,format,adjust,station format,13
2,station,adjusted,format,adjust,station format,13
3,station,adjusted,format,adjust,station format,13
4,station,adjusted,format,adjust,station format,13
5,station,adjusted,format,adjust,station format,13
6,station,adjusted,format,adjust,station format,13
7,station,adjusted,format,adjust,station format,13
8,station,adjusted,format,adjust,station format,13
9,station,adjusted,format,adjust,station format,13
10,station,adjusted,format,adjust,station format,13
11,station,adjusted,format,adjust,station format,13
12,station,adjusted,format,adjust,station format,13
13,inflation,adjusted,billion,adjust,inflation billion,11
14,inflation,adjusted,billion,adjust,inflation billion,11
15,inflation,adjusted,billion,adjust,inflation billion,11
16,inflation,adjusted,billion,adjust,inflation billion,11
17,inflation,adjusted,billion,adjust,inflation billion,11
18,inflation,adjusted,billion,adjust,inflation billion,11
19,inflation,adjusted,billion,adjust,inflation billion,11
20,inflation,adjusted,billion,adjust,inflation billion,11
21,inflation,adjusted,billion,adjust,inflation billion,11
22,inflation,adjusted,billion,adjust,inflation billion,11
23,inflation,adjusted,billion,adjust,inflation billion,11
24,government,adjusts,policies,adjust,government policies,4
25,government,adjusts,policies,adjust,government policies,4
26,government,adjust,policies,adjust,government policies,4
27,government,adjusted,policies,adjust,government policies,4
28,team,adjusted,game,adjust,team game,3
29,game,adjusts,difficulty,adjust,game difficulty,3
30,first,adjusted,distance,adjust,first distance,3
31,speakers,adjust,speech,adjust,speakers speech,3
32,markets,adjust,prices,adjust,markets prices,3
33,speakers,adjust,speech,adjust,speakers speech,3
34,court,adjusted,amounts,adjust,court amounts,3
35,markets,adjust,prices,adjust,markets prices,3
36,markets,adjust,prices,adjust,markets prices,3
37,first,adjusted,distance,adjust,first distance,3
38,government,adjusted,policy,adjust,government policy,3
39,game,adjusts,difficulty,adjust,game difficulty,3
40,court,adjusted,amounts,adjust,court amounts,3
41,court,adjusted,amounts,adjust,court amounts,3
42,people,adjust,behavior,adjust,people behavior,3
43,speakers,adjusted,speech,adjust,speakers speech,3
44,government,adjusted,policy,adjust,government policy,3
45,team,adjusted,game,adjust,team game,3
46,government,adjusting,policy,adjust,government policy,3
47,people,adjust,behavior,adjust,people behavior,3
48,team,adjusted,game,adjust,team game,3
49,first,adjusted,distance,adjust,first distance,3
50,people,adjust,behavior,adjust,people behavior,3
51,game,adjusts,difficulty,adjust,game difficulty,3
52,train,adjusts,speed,adjust,train speed,2
53,methodology,adjusts,amount,adjust,methodology amount,2
54,child,adjusts,environment,adjust,child environment,2
55,gunlayers,adjusted,elevation,adjust,gunlayers elevation,2
56,user,adjusts,level,adjust,user level,2
57,team,adjusted,controls,adjust,team controls,2
58,operator,adjust,speed,adjust,operator speed,2
59,admirals,adjusted,doctrines,adjust,admirals doctrines,2
60,volunteers,adjusted,ropes,adjust,volunteers ropes,2
61,county,adjust,budget,adjust,county budget,2
62,team,adjusted,car,adjust,team car,2
63,player,adjust,settings,adjust,player settings,2
64,property,adjusting,values,adjust,property values,2
65,player,adjust,speed,adjust,player speed,2
66,fish,adjust,focus,adjust,fish focus,2
67,surveyor,adjusts,level,adjust,surveyor level,2
68,player,adjust,speed,adjust,player speed,2
69,system,adjusts,power,adjust,system power,2
70,dial,adjusts,balance,adjust,dial balance,2
71,dial,adjusts,balance,adjust,dial balance,2
72,train,adjusts,speed,adjust,train speed,2
73,station,adjusts,playlist,adjust,station playlist,2
74,club,adjusted,name,adjust,club name,2
75,child,adjusts,environment,adjust,child environment,2
76,motor,adjusted,component,adjust,motor component,2
77,fish,adjust,focus,adjust,fish focus,2
78,system,adjusts,power,adjust,system power,2
79,user,adjust,level,adjust,user level,2
80,navigators,adjust,chronometers,adjust,navigators chronometers,2
81,surveyor,adjusts,level,adjust,surveyor level,2
82,government,adjusted,structure,adjust,government structure,2
83,admirals,adjusted,doctrines,adjust,admirals doctrines,2
84,motor,adjusted,component,adjust,motor component,2
85,methodology,adjusts,amount,adjust,methodology amount,2
86,manufacturers,adjust,clocks,adjust,manufacturers clocks,2
87,government,adjusted,structure,adjust,government structure,2
88,firm,adjusted,strategy,adjust,firm strategy,2
89,county,adjust,budget,adjust,county budget,2
90,player,adjust,settings,adjust,player settings,2
91,government,adjusted,plan,adjust,government plan,2
92,user,adjust,focus,adjust,user focus,2
93,opponents,adjusted,style,adjust,opponents style,2
94,firm,adjusted,strategy,adjust,firm strategy,2
95,player,adjusts,lifestyle,adjust,player lifestyle,2
96,club,adjusted,name,adjust,club name,2
97,males,adjust,behavior,adjust,males behavior,2
98,player,adjusts,lifestyle,adjust,player lifestyle,2
99,moons,adjusting,inclination,adjust,moons inclination,2
100,governors,adjust,generators,adjust,governors generators,2
101,user,adjust,focus,adjust,user focus,2
102,governors,adjust,generators,adjust,governors generators,2
103,property,adjusting,values,adjust,property values,2
104,victory,adjusted,score,adjust,victory score,2
105,court,adjusted,decree,adjust,court decree,2
106,males,adjust,behavior,adjust,males behavior,2
107,court,adjusted,decree,adjust,court decree,2
108,gunlayers,adjusted,elevation,adjust,gunlayers elevation,2
109,team,adjusted,controls,adjust,team controls,2
110,navigators,adjust,chronometers,adjust,navigators chronometers,2
111,team,adjusted,car,adjust,team car,2
112,people,adjust,behaviour,adjust,people behaviour,2
113,manufacturers,adjust,clocks,adjust,manufacturers clocks,2
114,opponents,adjusted,style,adjust,opponents style,2
115,government,adjusted,plan,adjust,government plan,2
116,victory,adjusted,score,adjust,victory score,2
117,volunteers,adjusted,ropes,adjust,volunteers ropes,2
118,operator,adjusts,speed,adjust,operator speed,2
119,people,adjust,behaviour,adjust,people behaviour,2
120,moons,adjusting,inclination,adjust,moons inclination,2
121,station,adjusted,playlist,adjust,station playlist,2
122,practitioners,adjusting,sections,adjust,practitioners sections,1
123,organism,adjusts,metabolism,adjust,organism metabolism,1
124,nations,adjusted,armies,adjust,nations armies,1
125,coach,adjusted,numbers,adjust,coach numbers,1
126,collectors,adjusted,notation,adjust,collectors notation,1
127,elements,adjusting,reticle,adjust,elements reticle,1
128,system,adjusts,direction,adjust,system direction,1
129,feedback,adjusts,state,adjust,feedback state,1
130,sunlight,adjusts,hat,adjust,sunlight hat,1
131,systems,adjust,output,adjust,systems output,1
132,system,adjusts,attacks,adjust,system attacks,1
133,inflation,adjusted,investments,adjust,inflation investments,1
134,communists,adjusted,strategies,adjust,communists strategies,1
135,trackers,adjust,position,adjust,trackers position,1
136,mod,adjusts,level,adjust,mod level,1
137,golfer,adjusts,putt,adjust,golfer putt,1
138,cat,adjust,cat,adjust,cat cat,1
139,judges,adjusted,people,adjust,judges people,1
140,histories,adjust,start,adjust,histories start,1
141,camshaft,adjusting,screws,adjust,camshaft screws,1
142,computer,adjusts,score,adjust,computer score,1
143,team,adjust,behavior,adjust,team behavior,1
144,countries,adjust,rate,adjust,countries rate,1
145,brain,adjust,eyes,adjust,brain eyes,1
146,muscles,adjust,position,adjust,muscles position,1
147,players,adjust,level,adjust,players level,1
148,treaty,adjusted,gains,adjust,treaty gains,1
149,management,adjusts,current,adjust,management current,1
150,factor,adjusts,value,adjust,factor value,1
151,committee,adjusted,decision,adjust,committee decision,1
152,options,adjust,range,adjust,options range,1
153,guns,adjust,offsets,adjust,guns offsets,1
154,technicians,adjust,color,adjust,technicians color,1
155,treaty,adjusts,number,adjust,treaty number,1
156,ovens,adjust,temperatures,adjust,ovens temperatures,1
157,producers,adjusted,speed,adjust,producers speed,1
158,factor,adjusts,price,adjust,factor price,1
159,food,adjust,diet,adjust,food diet,1
160,employee,adjusts,thermostat,adjust,employee thermostat,1
161,solution,adjust,speed,adjust,solution speed,1
162,staffer,adjusted,storyline,adjust,staffer storyline,1
163,investors,adjust,reject,adjust,investors reject,1
164,everyone,adjusted,footing,adjust,everyone footing,1
165,search,adjust,displays,adjust,search displays,1
166,inverter,adjusts,current,adjust,inverter current,1
167,scheme,adjusts,system,adjust,scheme system,1
168,command,adjusted,tone,adjust,command tone,1
