,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,genes,assort,thousands,assort,genes thousands,1
1,enrollment,assorted,classrooms,assort,enrollment classrooms,1
2,ingredients,assorted,nuts,assort,ingredients nuts,1
3,excavation,assorted,pieces,assort,excavation pieces,1
4,species,assorted,hybrids,assort,species hybrids,1
5,people,assorted,reactions,assort,people reactions,1
6,shorts,assorted,reelers,assort,shorts reelers,1
7,genes,assort,potential,assort,genes potential,1
8,infantrymen,assorted,instruments,assort,infantrymen instruments,1
9,segments,assort,exons,assort,segments exons,1
10,hones,assorted,skills,assort,hones skills,1
11,stations,assorted,programming,assort,stations programming,1
12,channel,assorted,events,assort,channel events,1
13,square,assorted,works,assort,square works,1
14,college,assorted,ensembles,assort,college ensembles,1
15,courtiers,assorted,livestock,assort,courtiers livestock,1
16,rooms,assorted,noises,assort,rooms noises,1
17,regions,assorted,institutions,assort,regions institutions,1
18,organization,assorted,buildings,assort,organization buildings,1
