,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,clamps,attach,animal,attach,clamps animal,67
1,clamps,attach,animal,attach,clamps animal,67
2,clamps,attach,animal,attach,clamps animal,67
3,clamps,attach,animal,attach,clamps animal,67
4,clamps,attach,animal,attach,clamps animal,67
5,clamps,attach,animal,attach,clamps animal,67
6,clamps,attach,animal,attach,clamps animal,67
7,clamps,attach,animal,attach,clamps animal,67
8,clamps,attach,animal,attach,clamps animal,67
9,clamps,attach,animal,attach,clamps animal,67
10,clamps,attach,animal,attach,clamps animal,67
11,clamps,attach,animal,attach,clamps animal,67
12,clamps,attach,animal,attach,clamps animal,67
13,clamps,attach,animal,attach,clamps animal,67
14,clamps,attach,animal,attach,clamps animal,67
15,clamps,attach,animal,attach,clamps animal,67
16,clamps,attach,animal,attach,clamps animal,67
17,clamps,attach,animal,attach,clamps animal,67
18,clamps,attach,animal,attach,clamps animal,67
19,clamps,attach,animal,attach,clamps animal,67
20,clamps,attach,animal,attach,clamps animal,67
21,clamps,attach,animal,attach,clamps animal,67
22,clamps,attach,animal,attach,clamps animal,67
23,clamps,attach,animal,attach,clamps animal,67
24,clamps,attach,animal,attach,clamps animal,67
25,clamps,attach,animal,attach,clamps animal,67
26,clamps,attach,animal,attach,clamps animal,67
27,clamps,attach,animal,attach,clamps animal,67
28,clamps,attach,animal,attach,clamps animal,67
29,clamps,attach,animal,attach,clamps animal,67
30,clamps,attach,animal,attach,clamps animal,67
31,clamps,attach,animal,attach,clamps animal,67
32,clamps,attach,animal,attach,clamps animal,67
33,clamps,attach,animal,attach,clamps animal,67
34,clamps,attach,animal,attach,clamps animal,67
35,clamps,attach,animal,attach,clamps animal,67
36,clamps,attach,animal,attach,clamps animal,67
37,clamps,attach,animal,attach,clamps animal,67
38,clamps,attach,animal,attach,clamps animal,67
39,clamps,attach,animal,attach,clamps animal,67
40,clamps,attach,animal,attach,clamps animal,67
41,clamps,attach,animal,attach,clamps animal,67
42,clamps,attach,animal,attach,clamps animal,67
43,clamps,attach,animal,attach,clamps animal,67
44,clamps,attach,animal,attach,clamps animal,67
45,clamps,attach,animal,attach,clamps animal,67
46,clamps,attach,animal,attach,clamps animal,67
47,clamps,attach,animal,attach,clamps animal,67
48,clamps,attach,animal,attach,clamps animal,67
49,clamps,attach,animal,attach,clamps animal,67
50,clamps,attach,animal,attach,clamps animal,67
51,clamps,attach,animal,attach,clamps animal,67
52,clamps,attach,animal,attach,clamps animal,67
53,clamps,attach,animal,attach,clamps animal,67
54,clamps,attach,animal,attach,clamps animal,67
55,clamps,attach,animal,attach,clamps animal,67
56,clamps,attach,animal,attach,clamps animal,67
57,clamps,attach,animal,attach,clamps animal,67
58,clamps,attach,animal,attach,clamps animal,67
59,clamps,attach,animal,attach,clamps animal,67
60,clamps,attach,animal,attach,clamps animal,67
61,clamps,attach,animal,attach,clamps animal,67
62,clamps,attach,animal,attach,clamps animal,67
63,clamps,attach,animal,attach,clamps animal,67
64,clamps,attach,animal,attach,clamps animal,67
65,clamps,attach,animal,attach,clamps animal,67
66,clamps,attach,animal,attach,clamps animal,67
67,government,attach,importance,attach,government importance,13
68,government,attached,importance,attach,government importance,13
69,government,attaches,importance,attach,government importance,13
70,government,attached,importance,attach,government importance,13
71,government,attached,importance,attach,government importance,13
72,government,attached,importance,attach,government importance,13
73,government,attaches,importance,attach,government importance,13
74,government,attaches,importance,attach,government importance,13
75,government,attaches,importance,attach,government importance,13
76,government,attached,importance,attach,government importance,13
77,government,attached,importance,attach,government importance,13
78,government,attached,importance,attach,government importance,13
79,government,attached,importance,attach,government importance,13
80,females,attach,eggs,attach,females eggs,7
81,females,attach,eggs,attach,females eggs,7
82,females,attach,eggs,attach,females eggs,7
83,females,attach,eggs,attach,females eggs,7
84,females,attach,eggs,attach,females eggs,7
85,females,attach,eggs,attach,females eggs,7
86,females,attach,eggs,attach,females eggs,7
87,university,attaches,importance,attach,university importance,6
88,university,attaches,importance,attach,university importance,6
89,university,attaches,importance,attach,university importance,6
90,university,attaches,importance,attach,university importance,6
91,university,attaches,importance,attach,university importance,6
92,university,attaches,importance,attach,university importance,6
93,school,attaches,importance,attach,school importance,5
94,school,attaches,importance,attach,school importance,5
95,school,attaches,importance,attach,school importance,5
96,school,attaches,importance,attach,school importance,5
97,school,attaches,importance,attach,school importance,5
