,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,captain,beached,ship,beach,captain ship,5
1,captain,beached,ship,beach,captain ship,5
2,captain,beached,ship,beach,captain ship,5
3,captain,beached,ship,beach,captain ship,5
4,captain,beached,ship,beach,captain ship,5
5,crew,beached,ship,beach,crew ship,3
6,crew,beached,ship,beach,crew ship,3
7,crew,beached,ship,beach,crew ship,3
8,tug,beached,ship,beach,tug ship,2
9,storm,beached,ships,beach,storm ships,2
10,tug,beached,ship,beach,tug ship,2
11,storm,beached,ships,beach,storm ships,2
12,barge,beached,downstream,beach,barge downstream,2
13,crew,beached,craft,beach,crew craft,2
14,barge,beached,downstream,beach,barge downstream,2
15,crew,beached,craft,beach,crew craft,2
16,frigate,beached,ship,beach,frigate ship,1
17,repairs,beached,crew,beach,repairs crew,1
18,captain,beached,ferry,beach,captain ferry,1
19,assistant,beaches,ship,beach,assistant ship,1
20,most,beach,property,beach,most property,1
21,typhoon,beached,ship,beach,typhoon ship,1
22,traders,beach,ships,beach,traders ships,1
23,raiders,beached,ships,beach,raiders ships,1
24,vessels,beach,shelter,beach,vessels shelter,1
25,hurricane,beached,vessels,beach,hurricane vessels,1
26,seawater,beached,vessels,beach,seawater vessels,1
27,study,beached,evidence,beach,study evidence,1
28,amounts,beaches,downstream,beach,amounts downstream,1
29,crew,beached,steamboat,beach,crew steamboat,1
30,shores,beaches,ideal,beach,shores ideal,1
31,another,beached,rockets,beach,another rockets,1
32,crew,beached,boat,beach,crew boat,1
33,drop,beached,most,beach,drop most,1
34,crew,beached,submarine,beach,crew submarine,1
35,tide,beached,ships,beach,tide ships,1
36,protagonists,beach,ship,beach,protagonists ship,1
37,links,beaches,establishments,beach,links establishments,1
38,seas,beached,ship,beach,seas ship,1
39,boaters,beach,boats,beach,boaters boats,1
40,ocean,beaches,location,beach,ocean location,1
41,sailors,beach,launch,beach,sailors launch,1
42,craft,beached,quality,beach,craft quality,1
43,ammunition,beached,ship,beach,ammunition ship,1
44,crews,beached,ships,beach,crews ships,1
45,ship,beaching,methods,beach,ship methods,1
46,tug,beached,vessel,beach,tug vessel,1
47,vessel,beached,day,beach,vessel day,1
48,ships,beached,bow,beach,ships bow,1
