,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,male,bites,female,bite,male female,8
1,male,bites,female,bite,male female,8
2,male,bites,female,bite,male female,8
3,male,biting,female,bite,male female,8
4,male,bites,female,bite,male female,8
5,male,biting,female,bite,male female,8
6,male,biting,female,bite,male female,8
7,male,bites,female,bite,male female,8
8,shark,bites,leg,bite,shark leg,5
9,shark,bites,leg,bite,shark leg,5
10,shark,bit,leg,bite,shark leg,5
11,shark,bit,leg,bite,shark leg,5
12,dog,bites,cat,bite,dog cat,5
13,dog,bites,cat,bite,dog cat,5
14,dog,bites,cat,bite,dog cat,5
15,dog,bites,cat,bite,dog cat,5
16,dog,bites,cat,bite,dog cat,5
17,shark,bites,leg,bite,shark leg,5
18,lorises,bite,aggressors,bite,lorises aggressors,4
19,man,bites,dog,bite,man dog,4
20,dog,bites,man,bite,dog man,4
21,man,bites,dog,bite,man dog,4
22,lorises,bite,aggressors,bite,lorises aggressors,4
23,dog,bites,man,bite,dog man,4
24,man,bites,dog,bite,man dog,4
25,dog,bites,man,bite,dog man,4
26,dog,bites,man,bite,dog man,4
27,lorises,bite,aggressors,bite,lorises aggressors,4
28,lorises,bite,aggressors,bite,lorises aggressors,4
29,man,bites,dog,bite,man dog,4
30,one,bite,dust,bite,one dust,3
31,dogs,bite,enemies,bite,dogs enemies,3
32,species,bites,humans,bite,species humans,3
33,species,bites,humans,bite,species humans,3
34,dogs,bite,enemies,bite,dogs enemies,3
35,one,bites,dust,bite,one dust,3
36,species,bite,humans,bite,species humans,3
37,dogs,bite,enemies,bite,dogs enemies,3
38,one,bite,dust,bite,one dust,3
39,spider,bites,student,bite,spider student,2
40,clam,bites,nose,bite,clam nose,2
41,wife,bites,neck,bite,wife neck,2
42,dog,bit,one,bite,dog one,2
43,snake,bit,prince,bite,snake prince,2
44,cobra,bites,people,bite,cobra people,2
45,cobra,bites,people,bite,cobra people,2
46,male,bites,nape,bite,male nape,2
47,dog,bit,person,bite,dog person,2
48,coyote,bit,jogger,bite,coyote jogger,2
49,dog,bit,neck,bite,dog neck,2
