,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,municipality,borders,municipalities,border,municipality municipalities,92
1,municipality,borders,municipalities,border,municipality municipalities,92
2,municipality,borders,municipalities,border,municipality municipalities,92
3,municipality,borders,municipalities,border,municipality municipalities,92
4,municipality,borders,municipalities,border,municipality municipalities,92
5,municipality,borders,municipalities,border,municipality municipalities,92
6,municipality,borders,municipalities,border,municipality municipalities,92
7,municipality,borders,municipalities,border,municipality municipalities,92
8,municipality,borders,municipalities,border,municipality municipalities,92
9,municipality,borders,municipalities,border,municipality municipalities,92
10,municipality,borders,municipalities,border,municipality municipalities,92
11,municipality,borders,municipalities,border,municipality municipalities,92
12,municipality,borders,municipalities,border,municipality municipalities,92
13,municipality,borders,municipalities,border,municipality municipalities,92
14,municipality,borders,municipalities,border,municipality municipalities,92
15,municipality,borders,municipalities,border,municipality municipalities,92
16,municipality,borders,municipalities,border,municipality municipalities,92
17,municipality,borders,municipalities,border,municipality municipalities,92
18,municipality,borders,municipalities,border,municipality municipalities,92
19,municipality,borders,municipalities,border,municipality municipalities,92
20,municipality,borders,municipalities,border,municipality municipalities,92
21,municipality,borders,municipalities,border,municipality municipalities,92
22,municipality,borders,municipalities,border,municipality municipalities,92
23,municipality,borders,municipalities,border,municipality municipalities,92
24,municipality,borders,municipalities,border,municipality municipalities,92
25,municipality,borders,municipalities,border,municipality municipalities,92
26,municipality,borders,municipalities,border,municipality municipalities,92
27,municipality,borders,municipalities,border,municipality municipalities,92
28,municipality,borders,municipalities,border,municipality municipalities,92
29,municipality,borders,municipalities,border,municipality municipalities,92
30,municipality,borders,municipalities,border,municipality municipalities,92
31,municipality,borders,municipalities,border,municipality municipalities,92
32,municipality,borders,municipalities,border,municipality municipalities,92
33,municipality,borders,municipalities,border,municipality municipalities,92
34,municipality,borders,municipalities,border,municipality municipalities,92
35,municipality,bordered,municipalities,border,municipality municipalities,92
36,municipality,borders,municipalities,border,municipality municipalities,92
37,municipality,borders,municipalities,border,municipality municipalities,92
38,municipality,borders,municipalities,border,municipality municipalities,92
39,municipality,borders,municipalities,border,municipality municipalities,92
40,municipality,borders,municipalities,border,municipality municipalities,92
41,municipality,borders,municipalities,border,municipality municipalities,92
42,municipality,borders,municipalities,border,municipality municipalities,92
43,municipality,borders,municipalities,border,municipality municipalities,92
44,municipality,borders,municipalities,border,municipality municipalities,92
45,municipality,borders,municipalities,border,municipality municipalities,92
46,municipality,borders,municipalities,border,municipality municipalities,92
47,municipality,borders,municipalities,border,municipality municipalities,92
48,municipality,borders,municipalities,border,municipality municipalities,92
49,municipality,borders,municipalities,border,municipality municipalities,92
50,municipality,borders,municipalities,border,municipality municipalities,92
51,municipality,borders,municipalities,border,municipality municipalities,92
52,municipality,borders,municipalities,border,municipality municipalities,92
53,municipality,borders,municipalities,border,municipality municipalities,92
54,municipality,borders,municipalities,border,municipality municipalities,92
55,municipality,borders,municipalities,border,municipality municipalities,92
56,municipality,borders,municipalities,border,municipality municipalities,92
57,municipality,borders,municipalities,border,municipality municipalities,92
58,municipality,borders,municipalities,border,municipality municipalities,92
59,municipality,borders,municipalities,border,municipality municipalities,92
60,municipality,bordered,municipalities,border,municipality municipalities,92
61,municipality,borders,municipalities,border,municipality municipalities,92
62,municipality,borders,municipalities,border,municipality municipalities,92
63,municipality,borders,municipalities,border,municipality municipalities,92
64,municipality,borders,municipalities,border,municipality municipalities,92
65,municipality,borders,municipalities,border,municipality municipalities,92
66,municipality,borders,municipalities,border,municipality municipalities,92
67,municipality,borders,municipalities,border,municipality municipalities,92
68,municipality,borders,municipalities,border,municipality municipalities,92
69,municipality,borders,municipalities,border,municipality municipalities,92
70,municipality,borders,municipalities,border,municipality municipalities,92
71,municipality,borders,municipalities,border,municipality municipalities,92
72,municipality,borders,municipalities,border,municipality municipalities,92
73,municipality,borders,municipalities,border,municipality municipalities,92
74,municipality,borders,municipalities,border,municipality municipalities,92
75,municipality,borders,municipalities,border,municipality municipalities,92
76,municipality,borders,municipalities,border,municipality municipalities,92
77,municipality,borders,municipalities,border,municipality municipalities,92
78,municipality,borders,municipalities,border,municipality municipalities,92
79,municipality,borders,municipalities,border,municipality municipalities,92
80,municipality,borders,municipalities,border,municipality municipalities,92
81,municipality,borders,municipalities,border,municipality municipalities,92
82,municipality,borders,municipalities,border,municipality municipalities,92
83,municipality,borders,municipalities,border,municipality municipalities,92
84,municipality,borders,municipalities,border,municipality municipalities,92
85,municipality,borders,municipalities,border,municipality municipalities,92
86,municipality,borders,municipalities,border,municipality municipalities,92
87,municipality,borders,municipalities,border,municipality municipalities,92
88,municipality,borders,municipalities,border,municipality municipalities,92
89,municipality,borders,municipalities,border,municipality municipalities,92
90,municipality,borders,municipalities,border,municipality municipalities,92
91,municipality,borders,municipalities,border,municipality municipalities,92
92,district,borders,districts,border,district districts,71
93,district,borders,districts,border,district districts,71
94,district,borders,districts,border,district districts,71
95,district,borders,districts,border,district districts,71
96,district,borders,districts,border,district districts,71
97,district,borders,districts,border,district districts,71
98,district,borders,districts,border,district districts,71
99,district,borders,districts,border,district districts,71
100,district,borders,districts,border,district districts,71
101,district,borders,districts,border,district districts,71
102,district,borders,districts,border,district districts,71
103,district,borders,districts,border,district districts,71
104,district,borders,districts,border,district districts,71
105,district,borders,districts,border,district districts,71
106,district,borders,districts,border,district districts,71
107,district,borders,districts,border,district districts,71
108,district,borders,districts,border,district districts,71
109,district,borders,districts,border,district districts,71
110,district,borders,districts,border,district districts,71
111,district,borders,districts,border,district districts,71
112,district,borders,districts,border,district districts,71
113,district,borders,districts,border,district districts,71
114,district,borders,districts,border,district districts,71
115,district,borders,districts,border,district districts,71
116,district,borders,districts,border,district districts,71
117,district,borders,districts,border,district districts,71
118,district,borders,districts,border,district districts,71
119,district,borders,districts,border,district districts,71
120,district,borders,districts,border,district districts,71
121,district,borders,districts,border,district districts,71
122,district,borders,districts,border,district districts,71
123,district,borders,districts,border,district districts,71
124,district,borders,districts,border,district districts,71
125,district,borders,districts,border,district districts,71
126,district,borders,districts,border,district districts,71
127,district,borders,districts,border,district districts,71
128,district,borders,districts,border,district districts,71
129,district,borders,districts,border,district districts,71
130,district,borders,districts,border,district districts,71
131,district,borders,districts,border,district districts,71
132,district,borders,districts,border,district districts,71
133,district,borders,districts,border,district districts,71
134,district,borders,districts,border,district districts,71
135,district,borders,districts,border,district districts,71
136,district,borders,districts,border,district districts,71
137,district,borders,districts,border,district districts,71
138,district,borders,districts,border,district districts,71
139,district,borders,districts,border,district districts,71
140,district,borders,districts,border,district districts,71
141,district,borders,districts,border,district districts,71
142,district,borders,districts,border,district districts,71
143,district,borders,districts,border,district districts,71
144,district,borders,districts,border,district districts,71
145,district,borders,districts,border,district districts,71
146,district,bordered,districts,border,district districts,71
147,district,borders,districts,border,district districts,71
148,district,borders,districts,border,district districts,71
149,district,borders,districts,border,district districts,71
150,district,borders,districts,border,district districts,71
151,district,borders,districts,border,district districts,71
152,district,borders,districts,border,district districts,71
153,district,borders,districts,border,district districts,71
154,district,borders,districts,border,district districts,71
155,district,borders,districts,border,district districts,71
156,district,borders,districts,border,district districts,71
157,district,borders,districts,border,district districts,71
158,district,bordered,districts,border,district districts,71
159,district,bordered,districts,border,district districts,71
160,district,borders,districts,border,district districts,71
161,district,borders,districts,border,district districts,71
162,district,borders,districts,border,district districts,71
163,township,borders,municipalities,border,township municipalities,57
164,township,borders,municipalities,border,township municipalities,57
165,township,borders,municipalities,border,township municipalities,57
166,township,borders,municipalities,border,township municipalities,57
167,township,borders,municipalities,border,township municipalities,57
168,township,borders,municipalities,border,township municipalities,57
169,township,borders,municipalities,border,township municipalities,57
170,township,borders,municipalities,border,township municipalities,57
171,township,borders,municipalities,border,township municipalities,57
172,township,borders,municipalities,border,township municipalities,57
173,township,borders,municipalities,border,township municipalities,57
174,township,borders,municipalities,border,township municipalities,57
175,township,borders,municipalities,border,township municipalities,57
176,township,borders,municipalities,border,township municipalities,57
177,township,borders,municipalities,border,township municipalities,57
178,township,borders,municipalities,border,township municipalities,57
179,township,borders,municipalities,border,township municipalities,57
180,township,borders,municipalities,border,township municipalities,57
181,township,borders,municipalities,border,township municipalities,57
182,township,borders,municipalities,border,township municipalities,57
183,township,borders,municipalities,border,township municipalities,57
184,township,borders,municipalities,border,township municipalities,57
185,township,borders,municipalities,border,township municipalities,57
186,township,borders,municipalities,border,township municipalities,57
187,township,borders,municipalities,border,township municipalities,57
188,township,borders,municipalities,border,township municipalities,57
189,township,borders,municipalities,border,township municipalities,57
190,township,borders,municipalities,border,township municipalities,57
191,township,borders,municipalities,border,township municipalities,57
192,township,borders,municipalities,border,township municipalities,57
193,township,borders,municipalities,border,township municipalities,57
194,township,borders,municipalities,border,township municipalities,57
195,township,borders,municipalities,border,township municipalities,57
196,township,borders,municipalities,border,township municipalities,57
197,township,borders,municipalities,border,township municipalities,57
198,township,borders,municipalities,border,township municipalities,57
199,township,borders,municipalities,border,township municipalities,57
200,township,borders,municipalities,border,township municipalities,57
201,township,borders,municipalities,border,township municipalities,57
202,township,borders,municipalities,border,township municipalities,57
203,township,borders,municipalities,border,township municipalities,57
204,township,borders,municipalities,border,township municipalities,57
205,township,borders,municipalities,border,township municipalities,57
206,township,borders,municipalities,border,township municipalities,57
207,township,borders,municipalities,border,township municipalities,57
208,township,borders,municipalities,border,township municipalities,57
209,township,borders,municipalities,border,township municipalities,57
210,township,borders,municipalities,border,township municipalities,57
211,township,borders,municipalities,border,township municipalities,57
212,township,borders,municipalities,border,township municipalities,57
213,township,borders,municipalities,border,township municipalities,57
214,township,borders,municipalities,border,township municipalities,57
215,township,borders,municipalities,border,township municipalities,57
216,township,borders,municipalities,border,township municipalities,57
217,township,borders,municipalities,border,township municipalities,57
218,township,borders,municipalities,border,township municipalities,57
219,township,borders,municipalities,border,township municipalities,57
220,borough,borders,municipalities,border,borough municipalities,19
221,borough,borders,municipalities,border,borough municipalities,19
222,borough,borders,municipalities,border,borough municipalities,19
223,borough,borders,municipalities,border,borough municipalities,19
